Date,Lower Respiratory,Diarrhea,Tuberculosis,HIV/AIDS,Malaria,Typhoid,Whooping cough,Encephalitis(brain inflammation),STI(not including HIV),Measles,Hepatitis,Salmonella,Dengue,Tetanus,COVID-19
2020-12-08,2349487,1574349,1115812,840248,664624,137751,123364,94357,100273,99027,75728,76994,26024,34854,1556866
2020-12-09,2356797,1577993,1119288,842930,665915,138280,123894,94588,100716,99474,75961,77134,26110,34974,1569344
2020-12-10,2363104,1582370,1122833,845206,668741,138480,124227,94921,101158,99781,76197,77405,26137,35083,1581982
2020-12-11,2370152,1588159,1126211,847930,670062,138707,124443,95151,101576,99976,76415,77726,26174,35168,1594878
2020-12-12,2377560,1591722,1129203,850183,673165,138987,124767,95460,101835,100419,76623,77933,26261,35246,1605103
2020-12-13,2383809,1596994,1132243,852723,674729,139605,125064,95778,102317,100597,76853,78178,26355,35354,1612487
2020-12-14,2390830,1602383,1135406,855014,676428,140107,125606,96101,102494,100839,77052,78374,26415,35427,1621452
2020-12-15,2397195,1606693,1138656,857617,678101,140697,125920,96437,102850,100987,77252,78641,26505,35518,1635415
2020-12-16,2404463,1612505,1141651,859827,680969,141135,126131,96695,103313,101251,77434,78880,26609,35648,1648970
2020-12-17,2410824,1616081,1144933,862012,682428,141422,126508,97021,103630,101392,77632,79119,26638,35776,1662217
2020-12-18,2417126,1619827,1148396,864247,683989,141882,126871,97261,103981,101584,77825,79291,26743,35851,1674862
2020-12-19,2424562,1623140,1151497,866528,686965,142095,127351,97486,104295,101796,78019,79594,26775,35958,1685526
2020-12-20,2431168,1627490,1154626,869070,688937,142674,127763,97750,104437,102011,78206,79914,26812,36074,1693205
2020-12-21,2437503,1630513,1157958,871730,690978,143174,128205,97978,104881,102368,78413,80096,26850,36185,1702596
2020-12-22,2444437,1636129,1161236,874467,692849,143393,128476,98249,105207,102709,78669,80318,26879,36305,1717055
2020-12-23,2451544,1639282,1164300,876668,694871,143633,128837,98459,105473,103121,78922,80478,26938,36426,1730663
2020-12-24,2458562,1643512,1167623,878885,696063,144149,129419,98725,105697,103617,79145,80761,27045,36508,1742301
2020-12-25,2465981,1647073,1170999,881057,697234,144742,129611,98970,105898,103983,79404,81016,27160,36591,1750628
2020-12-26,2472553,1651640,1174020,883485,699002,145354,129903,99204,106331,104180,79610,81345,27187,36676,1757722
2020-12-27,2478869,1656513,1177517,886016,701282,145793,130484,99465,106670,104566,79826,81651,27302,36805,1764955
2020-12-28,2485654,1662589,1180939,888560,702922,146369,130975,99752,107136,104866,80059,81866,27391,36914,1774390
2020-12-29,2492948,1668635,1184377,890798,703909,146795,131344,100048,107265,105302,80276,82185,27416,37025,1789915
2020-12-30,2500328,1672751,1187397,893375,706074,147278,131715,100348,107664,105683,80513,82447,27531,37138,1805008
2020-12-31,2507142,1678272,1190764,895956,707949,147726,132046,100647,108091,105792,80747,82777,27580,37226,1818116
