date,name,category,value,lastValue
12,COVID-19,,0,0
13,Lower Respiratory,,89950,82880
13,Diarrhea,,58907,52879
13,Tuberculosis,,42209,39150
13,HIV/AIDS,,31429,28734
13,Malaria,,25762,23841
13,Typhoid,,5122,4637
13,Whooping cough,,4884,4493
13,Encephalitis(brain inflammation),,3711,3421
13,STI(not including HIV),,4194,4061
13,Measles,,3494,3226
13,Hepatitis,,2845,2650
13,Salmonella,,2932,2639
13,Dengue,,966,886
13,Tetanus,,1292,1187
13,COVID-19,,0,0
14,Lower Respiratory,,97284,89950
14,Diarrhea,,62282,58907
14,Tuberculosis,,45232,42209
14,HIV/AIDS,,34035,31429
14,Malaria,,28156,25762
14,Typhoid,,5426,5122
14,Whooping cough,,5068,4884
14,Encephalitis(brain inflammation),,4038,3711
14,STI(not including HIV),,4677,4194
14,Measles,,3831,3494
14,Hepatitis,,3089,2845
14,Salmonella,,3125,2932
14,Dengue,,1018,966
14,Tetanus,,1393,1292
14,COVID-19,,0,0
15,Lower Respiratory,,103936,97284
15,Diarrhea,,65667,62282
15,Tuberculosis,,48746,45232
15,HIV/AIDS,,36626,34035
15,Malaria,,30293,28156
15,Typhoid,,5784,5426
15,Whooping cough,,5481,5068
15,Encephalitis(brain inflammation),,4300,4038
15,STI(not including HIV),,4894,4677
15,Measles,,4182,3831
15,Hepatitis,,3326,3089
15,Salmonella,,3390,3125
15,Dengue,,1077,1018
15,Tetanus,,1475,1393
15,COVID-19,,0,0
16,Lower Respiratory,,111142,103936
16,Diarrhea,,69918,65667
16,Tuberculosis,,51854,48746
16,HIV/AIDS,,39330,36626
16,Malaria,,32274,30293
16,Typhoid,,6383,5784
16,Whooping cough,,5712,5481
16,Encephalitis(brain inflammation),,4562,4300
16,STI(not including HIV),,5359,4894
16,Measles,,4439,4182
16,Hepatitis,,3564,3326
16,Salmonella,,3613,3390
16,Dengue,,1170,1077
16,Tetanus,,1554,1475
16,COVID-19,,0,0
17,Lower Respiratory,,117404,111142
17,Diarrhea,,74037,69918
17,Tuberculosis,,54861,51854
17,HIV/AIDS,,41913,39330
17,Malaria,,35258,32274
17,Typhoid,,6680,6383
17,Whooping cough,,6246,5712
17,Encephalitis(brain inflammation),,4892,4562
17,STI(not including HIV),,5628,5359
17,Measles,,4670,4439
17,Hepatitis,,3824,3564
17,Salmonella,,3833,3613
17,Dengue,,1259,1170
17,Tetanus,,1673,1554
17,COVID-19,,0,0
18,Lower Respiratory,,123803,117404
18,Diarrhea,,78745,74037
18,Tuberculosis,,58304,54861
18,HIV/AIDS,,44528,41913
18,Malaria,,36116,35258
18,Typhoid,,7086,6680
18,Whooping cough,,6569,6246
18,Encephalitis(brain inflammation),,5200,4892
18,STI(not including HIV),,6070,5628
18,Measles,,4869,4670
18,Hepatitis,,4062,3824
18,Salmonella,,3997,3833
18,Dengue,,1295,1259
