country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.8301886792452833,3.508771929824561,2.8368794326241136,2.4096385542168677,2.083333333333333,1.702127659574468,1.702127659574468,1.8518518518518516,2.341137123745819,2.0771513353115725,2.997275204359673,3.309692671394799,3.0991735537190084,2.8790786948176583,3.2432432432432434,2.9654036243822075,3.1578947368421053,3.221288515406162,3.188775510204082,3.6523929471032743,3.5502958579881656,3.303964757709251,3.313253012048193,3.394762366634336,3.296703296703297,3.4013605442176873,3.278688524590164,3.182827535159141,3.2125768967874233,3.7230568256041803,3.3470346447445682
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","",4.0,4.0650406504065035,3.4246575342465753,3.4482758620689653,4.838709677419355,5.0761421319796955,4.716981132075472,5.381165919282512,6.172839506172839,5.7915057915057915,5.776173285198556,5.592105263157895,5.7057057057057055,5.8171745152354575,5.835543766578249,5.7441253263707575,5.5,5.623471882640587,5.528846153846153,5.311778290993072,5.15695067264574,4.925053533190578,5.052631578947368,5.060728744939271,5.019305019305019,4.823747680890538,4.744525547445255,4.6263345195729535,4.4520547945205475,4.269293924466338,4.2586750788643535,4.072398190045249,3.982300884955752,3.7921348314606744,3.8567493112947657,3.804347826086957
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",9.803921568627452,10.79136690647482,8.45771144278607,7.391304347826087,7.196969696969697,6.95364238410596,6.811989100817439,6.356968215158925,6.387665198237885,6.066536203522505,5.993150684931506,6.145251396648044,6.8476977567886665,6.389452332657202,8.9666951323655,10.391686650679457,11.515151515151516,12.157413914265636,13.147138964577657,13.040712468193385,14.105642256902762,14.537194775695628,15.068493150684931,15.308254963427379,15.784165405950578,15.70048309178744,15.555555555555555,15.343915343915343,15.053763440860216,14.477317554240631,14.263978699125143,14.1280353200883,13.945215225898258,13.814432989690722,13.535084802128367,13.271506236008953,12.86855036855037,12.566528681253697,12.283195905601364
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",1.3392857142857142,1.1235955056179776,1.2987012987012987,1.7964071856287425,2.1621621621621623,3.1914893617021276,3.5897435897435894,3.5046728971962615,3.644646924829157,3.648068669527897,3.592814371257485,3.9923954372623576,4.036697247706423,4.078014184397164,4.288164665523156,4.326123128119801,4.501607717041801,4.545454545454546,4.489164086687306,4.704097116843703,4.903417533432393,4.838709677419355,5.028735632183908,4.971590909090909,5.049088359046284,5.02092050209205,5.160390516039052,5.117565698478561,5.110497237569061,5.471956224350205,5.457025920873124,5.405405405405405,5.383580080753701
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","",2.34375,1.89873417721519,1.7777777777777777,1.5037593984962405,1.3289036544850499,1.550387596899225,1.593625498007968,2.037351443123939,2.4637681159420293,2.5503355704697985,2.4390243902439024,2.484472049689441,2.484472049689441,2.736098852603707,3.000882612533098,2.924901185770751,2.963473466574776,2.9601029601029603,3.2555282555282554,3.498542274052478,3.6211699164345403,4.171066525871172,4.151898734177215,4.16471689284043,4.312301407172038,4.313380281690141,4.317434210526316,4.481907894736842,4.4921875,4.5899172310007526,4.667609618104668,4.573378839590444,4.701986754966887,4.821200510855683,4.853479853479854,4.820333041191937,4.8787613204791125,4.911069816830369,4.937616140164587,4.9373433583959905
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.303951367781155,0.2688172043010753,0.7075471698113208,0.7075471698113208,0.6224066390041494,0.5639097744360901,0.5253940455341506,0.603318250377074,0.9510869565217392,0.9090909090909091,0.851581508515815,0.9603841536614646,0.9378663540445485,1.0215664018161181,1.0857763300760044,1.1739594450373532,1.344364012409514,1.2833168805528135,1.3474494706448508,1.5301530153015301,1.553062985332183,1.5820149875104081,1.6025641025641024,1.549186676994578,1.6430171769977595,1.7130620985010707,1.6293279022403258,1.5758371634931057,1.6917293233082706,1.6696481812760882,1.6036655211912942,1.6039823008849559,1.6068559185859668
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,"","","","","","","","","",3.0,2.6785714285714284,2.380952380952381,1.9230769230769231,1.5228426395939088,1.2048192771084338,1.6778523489932886,1.3333333333333335,1.1013215859030838,1.0619469026548671,0.846262341325811,0.8009153318077803,0.6375227686703097,0.40959625511995323,0.38398244651673064,0.33016921172100705,0.3929974991068239,0.410612760581175,0.3848431024274719,0.36755053819900235,0.3909113119960909,0.41694096993636165,0.42489908646696406,0.42202572347266887,0.4402756508422665,0.5407354001441961,0.5978547564621066,0.6267409470752089,0.7186858316221766,0.755540631296172,0.8261731658955718,0.8452535760728219,0.8656620711766592,0.906344410876133,0.9648845302119582,0.9582155199497331,0.9507481296758105,0.9755342211210901,0.9696783130675697,1.0255625287004437,1.0476768903735194,1.0586811857229281,1.0716981132075472,1.113284188355649,1.1121130147279832,1.1249437528123594,1.1813967399431733,1.2084141429210802,1.2364069715477433,1.2490706319702602
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","",0.2770083102493075,0.1984126984126984,0.15267175572519084,0.11627906976744186,0.2952755905511811,0.22522522522522523,0.24301336573511542,0.273224043715847,0.22650056625141565,0.26455026455026454,0.4406499586890664,0.5572893446277307,0.5679666792881485,0.577445652173913,0.7397922890880637,0.883461088735871,0.8201664455433603,0.9758311585158288,1.122894572676232,1.2571204085641328,1.3630846793016524,1.4197142600413335,1.457700650759219,1.580826109127996,1.702411749979137,1.7890542408717574,1.9224683544303796,2.1050196622715704,2.2267512077294684,2.3525073746312684,2.440790903165061,2.51130085384229,2.6205226803389587,2.697765912603625,2.7348643006263047,2.837763012181617,2.9514483325344107,3.0214159050607012,3.072739632902787,3.1252113914631674,3.1214184588417715,3.3101045296167246,3.3900567233900567,3.4045659676134856,3.5416941984934587,3.568371848047929,3.5985841636077613
