country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,733520,720102,700415,676984,653812,634732,619871,608651,606307,619534,652030,707278,783101,869965,954455,1028533,1086454,1131993,1163473,1192680,1228925,1274895,1329825,1390046,1449475,1504433,1553745,1599691,1644245,1691957,1743624,1800309,1862700
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,360902,371658,382557,393867,405919,418871,433002,448005,462614,474490,482850,487892,489417,488078,485775,483593,481723,475222,470397,465894,461078,455877,450636,434588,422860,426583,433852,443830,455797,469352,481678,494981,509040
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,1636110,1696285,1759249,1826283,1896411,1969586,2045829,2125295,2211486,2302051,2396876,2497165,2602202,2714059,2831649,2954172,3081682,3138907,3190250,3243047,3296121,3344091,3378788,3297692,3205753,3115071,3051530,2999483,2962131,2944512,2948128,3028690,3123101
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,7636,8671,9232,9711,10058,10585,11102,11436,11861,12139,12649,13530,14305,15001,15325,15201,15240,15387,15548,15598,15541,15479,15516,15952,16734,17121,17322,17576,17716,17751,17718,17686,17757
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,355432,368686,383039,397824,412279,425787,437990,448940,459222,470041,482103,495826,511147,528509,546030,562869,577854,593637,610351,628396,648075,670045,693035,717513,742615,767136,791084,814860,839378,865678,893543,923026,954216
Antigua & Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,2425,2398,2371,2313,2228,2133,2027,1926,1835,1764,1723,1711,1728,1758,1792,1835,1873,1905,1932,1956,1976,1998,2014,2028,2039,2052,2060,2069,2088,2121,2157,2197,2236
Argentina,https://images.reference.com/amg-cms-reference-images/prod/argentina-flag-colors-meaning-of_b7cf58aa-cdaa-479b-867d-2b57d7a723da.jpg,5141750,5176002,5222601,5270415,5318259,5375991,5427830,5483239,5547633,5627009,5711538,5788048,5862939,5937593,6008934,6091760,6175547,6210715,6231683,6266828,6315848,6378514,6460856,6530178,6578400,6598388,6543968,6478164,6416750,6348211,6218327,6085273,5987695
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,560278,576592,591772,606217,620530,635163,650468,666044,679682,688658,691309,686801,676808,663085,648834,637232,629091,619192,612686,609215,607845,605465,606408,609887,614375,618988,620158,620281,620155,620825,622517,626850,631086
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,3355016,3364053,3380260,3391400,3375172,3353929,3334770,3321084,3313344,3317820,3338082,3360141,3378500,3396002,3390339,3382914,3370175,3350770,3328343,3285821,3250473,3222749,3196807,3166639,3129217,3087272,3044524,3006203,2988559,2979659,2944091,2938308,2961263
