country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,169.700067938,169.60779972699999,169.85792370500002,170.17094345499999,172.203559035,173.250692408,173.59605966,174.455380467,175.16675971200002,176.902818068,179.62478589,181.716998122,182.426026541,182.696876819,183.44146941399998,182.42192802600002,181.839962955,181.496906151,180.149948438,178.575157299,177.598158269,176.23671232,174.812330075,173.751845066,172.528974298,171.54198714999998,170.99313777,170.370039484
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,186.30873128,190.046658982,187.646580839,184.770403706,181.419721805,183.178817238,187.578977893,191.441639896,195.03358890200002,199.906515017,200.70832806299998,201.60059095799997,204.04950274,206.34518088000002,207.96457992700002,209.28278873199997,210.937696208,210.77262937600003,214.14736759200002,214.477610334,214.70554716900003,216.15457346000002,217.27115912699998,218.70605824099997,220.77023969200002,222.047841682,223.19856334399998,223.694227937
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,94.2323469474,94.50261551349999,94.4935603051,94.644205262,94.6540726616,95.2548164284,95.1585868203,95.2614142828,95.0505304186,95.9646369501,96.9656902927,98.26948695860001,99.7961311345,101.42440415600001,103.183708787,104.99349559400001,106.55356935,107.688362322,108.49217674,109.37862414800001,109.438944775,109.11426927000001,108.703025302,108.47750276299999,108.445720221,108.430041416,108.10808785399999,108.02231624199999
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,359.60242864699995,365.44601936000004,373.468811519,380.44577514,386.309008716,386.477621288,389.010665115,392.75592345099994,397.98595347800006,401.276883622,403.138239871,403.200552846,404.010234911,406.239037828,410.239614478,410.73299308900005,409.73058166000004,409.726731896,410.789729008,412.580399852,412.79462437600006,411.57140573199996,410.57356990500006,409.607948916,408.091993763,405.584559088,404.66102718300004,403.712701095
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,182.402343935,183.025232868,183.670567869,185.28565041,186.261879204,184.642683853,179.71398107899998,177.16609569,182.332489886,178.52529831200002,176.575216723,173.776455491,172.396158725,172.16488436999998,172.823993809,169.82109805,168.441366437,165.975566977,165.19437923499999,163.993126741,163.19608936,162.608965203,162.17378964600002,161.42724447700002,158.86483574,158.879085151,158.718159267,158.527110392
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,196.239065517,198.24980668799998,201.54505993,204.52392810799998,209.163650997,211.08872505199997,213.38414947899997,215.738594555,217.26458712200002,221.562391513,225.51625451599998,223.889379642,224.202138677,222.860074703,222.58987318100003,220.877817095,223.071362231,225.02491471899998,226.960734095,228.65705744500002,230.435319135,232.016381132,234.84332062,235.000912297,237.240114821,237.450698655,238.967000383,239.90598240799997
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,235.78196661299998,234.832832292,237.99488228699997,236.17171504499998,234.830103147,234.948526372,238.666585047,238.78817648100002,239.14951913500002,241.57931039099998,236.052054938,235.86641817699999,236.75801856,238.155567399,233.50281328,231.896935906,232.57159007700002,236.143420293,230.781111581,231.87234359299998,229.218064895,229.722079765,230.615259133,230.367262553,227.554833521,228.417978785,231.00717215699999,231.54426894000002
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,237.164430768,240.007892235,243.81822074000002,241.146111413,235.618667342,232.06152446699997,232.97729977199998,230.553799307,230.12533090099998,229.71367380599997,229.596995545,231.71267605100002,234.813173967,238.000573989,239.78095791200002,243.009191091,246.176793662,247.97469215599997,253.782262468,256.52466445600004,258.458234242,258.368398705,258.173195889,256.359269252,257.78157590899997,262.06196685,260.654777429,259.739307119
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,915.218271597,927.487653142,945.201170767,956.8057244160001,976.48028061,984.1599494879999,997.064777126,1008.04386384,1016.36229614,1017.7749813,1016.1468517700001,1004.3892488,994.981376402,979.5663283279999,965.7901897469999,952.7813480939999,943.957905987,942.678139467,936.8322987079999,929.792097968,919.8011657369999,910.787342295,893.640119101,881.630523629,872.4933045619999,859.969334341,843.96026054,830.0802319960001
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,313.74200981999996,317.040570482,318.491280271,324.30391157,323.87007993000003,324.157258018,324.751944643,318.9947624,321.220878432,322.9359781,321.580717833,317.199165167,318.405199359,320.67132949,315.409115621,314.909143312,307.679574255,309.041839573,307.761771173,314.25862643600004,313.463483193,314.173989621,312.319096011,312.090022696,315.042544931,313.7084869,311.09038422599997,310.440093361
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,195.19493206299998,201.464960235,210.79894487500002,214.71759397900001,219.069700191,215.277718265,213.745632975,211.155878753,208.746528505,205.918048131,202.784508084,201.64213341800001,203.62424654299997,206.766511385,207.25179796,209.268375497,210.311626166,210.06590981300002,212.995770081,215.003129819,217.13763956300002,218.43743550000002,219.405767643,220.334434223,221.38219430599997,222.29633735700003,224.41825841099998,225.419535335
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,240.15637837,236.869912832,234.92658768299998,238.162141979,242.847652715,244.734107026,253.944952938,249.94090164,251.469371188,261.352770804,263.26233851,263.831818572,258.657752963,255.91213290200002,255.37651337100002,254.48882148700002,264.956849984,264.46343557700004,267.713216236,271.374535106,274.149116378,277.980648069,278.181593136,278.79930727799996,278.671062437,277.955670565,277.261536243,276.620563413
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,157.624510093,161.29495490399998,164.766791268,165.624410334,166.067251898,166.771308494,168.52348657299999,170.323005847,170.1208435,165.38264467000002,158.503956437,156.170634264,154.864562283,157.589037701,156.90987078,150.24260794,141.54626364799998,136.722327742,131.67851417100002,125.70337816800001,122.20265747399999,119.55832454800002,118.405499292,116.72711185,116.04861638700001,116.452523596,116.812144536,117.0049627
