country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","",70,70,70,100,106,115,120,125,130,135,140,145,155,160,163,166,169,171,174,176,178,180,182,184,185,187,189,190,191,193,194,196,200,198,199,203,205,206,208
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,800,875,896,900,836,880,900,990,1150,1400,1900,2100,2470,2970,2569,2230,2270,1775,1640,1825,1395,1105,1179,1126,975,917,863,895,925,935,968,792,830,860,890,905,920,920,965,975,978,980,1026,1087,1161,1170,1244,1269,1284,828,825,808,813,1133,1263,1220,1137,1178
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3000,3511,2000,2145,2000,2600,4566,4092,3277,3673,5173,3279,4246,4421,3916,3265,3098,2424,1854,1835,1494,1812,1812,2196,2315,1760,2715
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,167839,187040,206806,210427,248182,228284,242817,258019,250224,244000,244172,263168,234280,296175,285934,298645,356999,405191,421708,404860,365738,420329,392578,413598,410474,385136,395645,427900,443869,445489,413831,575652,655739,519541,455986,476638,596952,505353,629525,579727,568505,670309,656200,921281,889426,900381,908679,851058,863079,787817,951933,810550,850673,862396,867355,677472,865620,762266
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,55866,106745,105161,149553,122993,132207,118095,115448,96221,121906,119852,158128,141477,144903,161931,165094,117536,139469,159292,122291,132952,148985,111963,140789,126028,126122,133098,116065,81061,76542,72403,65947,44859,32715,18803,39788,61299,38692,34475,32296,57818,62250,61539,69569,58336,41956,41130,42424,51322,41056,40607,28060,36446,29996,23480,15211,13040,8640
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,350,350,350,400,400,500,464,800,800,800,800,800,800,700,800,850,900,950,1000,1100,1200,1200,1200,1000,705,619,581,652,802,922,930,950,970,700,500,426,392,400,446,500,545,565,578,580,550,500,525,567,633,689,744,800,850,894,725,655,597,548
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,600,600,700,1000,1300,1500,1300,1000,800,586,1000,1000,1590,1600,1600,1600,1600,2500,3000,3400,3400,3400,3500,3000,3600,3700,4000,4000,4000,4000,4100,4200,4100,1360,600,600,475,200,367,762,893,641,683,900,1100,770,800,1028,1209,1351,1180,1240,1276,1290,1287,1298,1304,1312
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,5661,6500,6900,10500,10500,10100,11800,13700,16300,9700,8900,8900,5100,7300,7300,7300,7300,6000,4200,4500,4500,4500,5000,5000,5600,6100,6600,5800,5900,7800,8800,8900,4980,12000,11079,9620,10493,10144,6358,7665,4662,4692,7601,2479,14143,14231,13644,17404,13486,14625,13846,13846,14436,13830,13621,13727,13784,13856
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,2584,2764,2978,2160,2082,3764,3798,4858,3527,4344,4216,3541,3300,3094,2980,3082,2809,3297,1962,1918,2068,1783,1814,2200,1627,3271,1674,2000,844,155,1493,2000,2014,2500,3000,2000,1700,2000,4700,4700,4225,4465,4500,4465,4500,4811,5238,5169,5343,5516,5690,5864,6037,6191,6364,6426,6549,6672
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,95127,92091,91237,69587,76602,106223,96658,99249,112248,100635,102040,84747,116715,116476,106053,81497,104273,115614,78851,107868,112369,70205,111715,89400,96672,67515,61388,58341,75573,63057,78704,65640,77476,70140,74219,70151,76204,73178,70215,53010,58606,54550,46338,42430,43000,43185,44000,39234,37303,34904,32780,30723,28620,27744,27525,25915,24564,23105
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,450,400,400,470,700,765,873,816,973,1029,1081,1117,1372,1603,1876,2442,2753,1972,1799,1189,1000,1200,700,753,1098,1076,624,553,431,501,600,700,500,650,650,500,498,525,570,652,600,475,520,475,480,503,521,524,522,520,518,516,514,509,510,512,510,509
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","",16,93,222,143,135,172,200,200,210,220,220,210,210,200,200,200,200,200,200,200,183,193,193,192,192,191,192,199,205,210,184,180,180,180,180,184,186,190,187,182,183,183,183,182,182,182,182,182,182
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,7586,7370,5600,7090,5900,4930,7386,9405,6015,8532,6406,5449,3778,5362,8354,7673,8697,9422,7508,14412,5901,5655,5750,8135,7770,7849,8271,10425,10545,14412,15409,16498,19636,16007,12159,10999,11117,11679,11789,10521,7382,6976,7713,9321,9850,8349,8341,6214,5626,7950,7554,7554,7934,6362,7274,7561,4315,5700
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,395854,436077,497413,569379,616301,804254,865935,868844,796109,805800,801808,856417,967883,1001713,978109,996433,1011695,1264129,962876,919747,1519718,2204570,1403322,1815491,2450207,1731464,1967005,2754206,2848837,2645610,3051686,3514954,3468428,2256526,2326685,3245230,4261283,2373978,2478295,2563854,2358842,2454105,2262658,2411490,2685743,2746193,2397152,2839947,3067928,3005928,3158737,3408142,3375400,2997050,2678604,2575371,2392335,2242177
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,27884,38213,41771,41395,40190,44250,42500,43000,44500,42000,39300,36100,39700,41100,57600,68300,57300,45900,59600,45400,50400,48700,47800,34599,27237,28574,34870,35700,33710,32989,34338,27908,34321,26905,26000,30412,23319,30235,26057,27767,26158,26475,34458,32486,34940,20557,18109,21176,9953,10760,17838,22267,22604,28600,10475,10475,12920,14649
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
