country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,378000,378000,378000,380000,380000,375000,357000,361000,365000,370000,355000,350000,360000,380000,384000,400000,300000,325000,318000,321000,300000,276000,266000,254000,240000,231000,231000,235000,231000,216000,217000,200000,250000,230000,200000,220000,250000,240000,216000,74000,87000,345000,240000,290000,337000,364000,370000,333000,486000,437000,305900,504000,514000,521000,403000,301856,94995,56781
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,8930,6934,7886,8304,7300,9600,10400,7900,7500,9700,7500,7700,9000,10000,10000,15000,18000,20000,23000,25000,25000,25400,30000,30000,30000,36000,38000,40000,40000,5000,3323,5569,4153,9000,7274,3195,3738,3248,2900,1800,3000,3800,2900,3700,4100,6000,3500,3600,4500,7300,8700,7000,6970,7300,7000,9000,9035,9655
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,211919,818700,691083,277266,378643,129770,339619,537852,466377,571438,371768,643995,373869,331422,742720,588672,260309,396965,456584,794190,524800,483443,446753,502700,1330180,1082800,819894,389660,789882,833400,1809960,1398290,408023,234067,584980,1800222,190892,700000,510000,163287,574654,416112,1221976,1211600,1032819,1235880,1186658,395922,2203359,1503900,1258080,1591715,1498639,939401,1030556,919907,969696,1957327
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,800000,345000,1020000,826000,404000,438000,588000,556000,570000,367000,553000,880000,732000,430000,522700,760000,353000,554000,339000,217000,131500,211400,166000,224000,118000,139900,281700,328800,364770,326600,573360,583200,459439,344692,385848,536443,925790,538408,419556,722490,530045,549830,1005460,894610,799423,1268465,1474510,1681880,1355801,2964075,4085770,5158180,4705160,2901492,2901495,4938723,3741158,5061069
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",150900,83300,69100,89300,105200,59327,71211,65128,32944,107451,109495,68273,131138,110771,49476,162566,149091,145141,118574,178226,170118,188783,190120,187296,197057,92930,124167
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,941304,897655,984200,1118465,948822,1396808,834580,1646296,1698732,2351000,3065000,1727000,2397000,2515000,3179000,2846939,2383369,4006000,3703449,2682000,3450000,1938763,4889501,5554305,4801000,3548000,3417000,3241585,4044167,4107755,4529797,5396721,6668230,2913190,5822680,6696110,6482000,5987000,5043000,6743000,6743463,8279769,3864833,10381828,7739767,9481741,4257032,7160168,7996506,7864551,7994720,8220863,7471592,9174417,8646321,8992274,13505990,9253852
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,511571,556640,617331,605177,522864,705712,772210,769979,933706,913301,1015991,977097,1086730,1237869,1006242,1286583,1211734,1423602,1128714,1514491,1219816,1436543,1448917,1516981,1521408,1292450,1178686,1366424,1421645,1520554,1427045,1342141,1099646,1184350,1065188,1082789,1257800,1211557,1152801,854667,1012407,861391,882322,1006742,879628,914052,810980,967921,835107,777961,859375,662466,734051,845705,840433,859702,782029,695072
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",354224,276791,262173,262480,213165,144796,76398,102321,219463,326983,295188,324306,349853,368947,399737,474646,605525,643680,513302,616440,721203,799043,681759,1036482,928923,792182,916036
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
