country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.02568822544993633,"","","","","",0.10275290179974532,"","",0.17981757814955432,"","","",0.2568822544993633,0.4110116071989813,0.5394527344486629,0.5651409598985992,0.5651409598985992,0.5651409598985992,0.6165174107984719,0.6165174107984719,0.8733996652978353,1.0275290179974532,1.0789054688973259,1.9266169087452247,1.9266169087452247,2.337628515944206,2.722951897693251,2.9284577012927415,3.6220397884410227,4.264245424689431,4.932139286387775,6.036732980735038,6.036732980735038,6.935820871482809,7.680779409530963,8.656931976628544,9.427578740126634,10.866119365323067,12.433101117769183,13.383565459416829,14.256965124714664
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6949753283758426,2.0849259851275277,3.474876641879213,3.8223643060671346,7.99221627632219,11.467092918201404,13.20453123914101,14.594481895892695,17.72187087358399,19.11182153033567,20.501772187087358,24.32413649315449,24.32413649315449,26.40906247828202,30.926402112724997,34.74876641879213,42.74098269511432,50.733198971436515,60.46285356869831,64.63270553895336,68.4550698450205,73.66738480783931,77.48974911390646,84.43950239766488,89.99930502467161,96.2540829800542,105.63624991312808,115.71339217457779,125.44304677183959,131.00284939884634,133.08777538397385,138.99506567516852,142.12245465285983,144.55486830217527,150.46215859336994
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022804474684900884,0.022804474684900884,0.022804474684900884,0.022804474684900884,0.022804474684900884,0.06841342405470265,"",0.11402237342450441,0.2736536962188106,0.387676069643315,"","",0.45608949369801766,"","",0.45608949369801766,0.5473073924376212,0.5929163418074229,0.8437655633413327,1.0946147848752423,1.368268481094053,1.368268481094053,1.6647266519977644,1.8699669241618724,2.143620620380683,2.143620620380683,2.32605641785989,4.310045715446267,5.267833652212104,6.020381316813833,6.9553647788947695,6.9553647788947695,9.32703014612446,10.353231506945,11.65308656398435,13.317813215982115,19.31539005811105,19.31539005811105,22.48521203931227,29.645817090371146,30.101906584069166,32.450767476613954,33.4769688374345,35.84863420466419,37.992254825044874,40.15867992011046,41.618166299944114
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12.942470717660001,"","","","","","","","","","",25.884941435320002,"",64.7123535883,181.19459004724,181.19459004724,685.9509480359801,970.6853038245001,970.6853038245001,1138.93742315408,1462.49919109558,1721.34860544878,2122.5651976962404,2433.1844949200804,2899.11344075584,3455.6396816152205,3986.2809810392805,4322.78521969844,4788.7141655342,4866.368989840161,5047.563579887401,5539.377467158481,5681.74464505274,6031.19135442956,6484.177829547661,6807.739597489161,7053.646541124701,7299.55348476024,7545.460428395781,7778.4249013136605,8050.216786384521
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0912789976641096,0.1217053302188128,0.1217053302188128,0.2129843278829224,0.2129843278829224,0.2129843278829224,0.2434106604376256,0.2434106604376256,0.2434106604376256,0.304263325547032,0.4259686557658448,0.4868213208752512,0.5172476534299544,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10.211584020913325,"","","","","",10.211584020913325,10.211584020913325,10.211584020913325,10.211584020913325,30.63475206273997,30.63475206273997,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,91.90425618821992,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,194.02009639735314,214.4432644391798,214.4432644391798
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.022125961016225035,"",0.04425192203245007,0.17700768812980028,0.1991336491460253,0.2655115321947004,"",0.42039325930827565,"",0.685904791502976,0.7522826745516511,0.9956682457301265,1.2390538169086018,1.4381874660546272,1.7479509202817776,2.146218218573828,2.8321230100768044,3.495901840563555,4.978341228650633,5.885505630315859,6.659914265883735,8.562746913279089,11.107232430144967,13.032191038556546,15.266913101195273,16.48384095708765,18.14328803330453,21.373678341673383,21.373678341673383,25.068713831382965,25.068713831382965,27.989340685524667,32.104769434542526,34.3837434192137,36.02106453441436,37.946023142825936,39.71610002412393,41.90657016473021,43.698773007044444,47.283178691672894
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374691300113322,0.3374691300113322,"","","","","","","","","",1.3498765200453289,2.0248147800679934,4.387098690147319,6.749382600226644,10.124073900339967,17.548394760589275,26.322592140883913,38.808949951303205,41.17123386138253,45.89580168154118,53.99506080181315,64.11913470215312,65.46901122219845,89.42931945300303,97.86604770328634,111.0273437737283,125.53851636421558,143.08691112480486,143.08691112480486,162.66012066546213,179.53357716602875,192.6948732364707,223.74203319751325,248.3772796883405,259.8512301087258,277.39962486931506,281.11178529943976,287.8611678996664,297.3103035399837,310.809068740437,316.2085748206183,326.3326487209583
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.03921586928189979,0.15686347712759915,0.15686347712759915,0.15686347712759915,0.15686347712759915,0.23529521569139872,0.2745110849732985,0.3529428235370981,0.4313745621008977,0.4313745621008977,0.4313745621008977,0.47059043138279744,0.5098063006646972,0.549022169946597,0.549022169946597,0.549022169946597,0.549022169946597,0.549022169946597,0.549022169946597,0.549022169946597,0.5882380392284968,0.5882380392284968,0.5882380392284968,0.5882380392284968,0.5882380392284968,0.5882380392284968,0.5882380392284968,0.6666697777922964,0.8235332549198956,0.8627491242017954,0.8627491242017954,0.8627491242017954,0.8627491242017954,0.9019649934836952,0.9019649934836952,0.9803967320474947,1.0196126013293945,1.1372602091750939,1.294123686302693,1.6078506405578914,2.039225202658789,2.3137362876320875,2.4705997647596867,2.9019743268605844,3.137269542551983,3.9215869281899787,4.392177359572776,4.941199529519373,6.117675607976367,7.725526248534258,9.764751451193048,11.686329046006136,14.705950980712421,17.804004653982503,22.15696614427338,27.80405132086695,34.27466975238041,43.059024471525966,67.01992060276673,71.49052970090331,95.02005127004318,109.7652181200375,124.15744214649473,132.47120643425748,149.3732460947563,160.51055297081584,178.70671631761735,184.5890967099023,195.13816554673335,204.8637011286445,217.56964277598001,223.0206486061641,225.2559531552324,229.17754008342237,233.56971744299514,237.3344408940575,241.2560278222475,244.62859258049087,246.62860191386778
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220643098241251,0.2220643098241251,0.5551607745603128,0.7772250843844378,1.1103215491206255,1.5544501687688757,1.9985787884171258,2.664771717889501,3.219932492449814,4.552318351394565,8.216379463492627,10.992183336294191,11.32527980103038,14.545212293480192,20.207852193995382,27.313910108367384,40.08260792325458,55.96020607567952,72.72606146740097,95.48765322437379,112.80866939065554,147.8948303428673,182.75892698525493,243.82661218688935,294.12417836205367,335.7612364540771,403.1577544856991,498.09024693551254,586.4718422455144,653.7573281222243,780.4450168768876,854.6144963581454,920.5675963759105,978.5263812400071,1067.9072659442174,1130.5294013146208,1189.265411263102,1235.6768520163441,1279.6455853615207,1306.4043346953279,1330.4983123112454,1365.3624089536331,1403.4464380884706,1439.9760170545392,1470.9539882750046,1505.596020607568,1533.0209628708476
