country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,37368.7314735,37785.1143185,40331.8774395,43410.046286,45214.9504278,46796.8762999,48104.3623727,49339.1549334,50438.2124774,51061.451809,52057.9208181,53174.4435085,55216.1153698,59016.5289844,61359.7110459,63392.1051143,64479.7609334,65888.1811181,67349.6763429,68560.5719349,70710.5738785,73070.9038731,74999.6781605,78180.3205701,80653.1791184,82117.2216815,84807.7411906,87681.2840664
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,19960.9943439,20607.3601626,20876.013714,21127.0587321,21437.8735245,21952.9758043,22601.2618081,23170.5629031,24727.1084419,25567.9427549,25274.5366593,25880.7182568,26702.8969909,27536.5694097,28291.1325123,29038.8148214,29895.0454113,30605.8586424,31793.9609256,32613.1369995,33272.5297178,34021.9919745,34750.9975073,35492.5066717,36179.3569016,36822.6189154,37514.6593403,38021.9808866
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,62999.3565557,65779.7751077,68840.8046757,71480.8640535,74612.3066499,77405.1144768,80499.7951515,83662.5511109,86598.3524686,90222.0661136,94278.5825472,99014.6612821,104307.499091,109824.380088,116185.327742,122461.688772,128512.827913,134488.307349,140468.185696,147174.200097,153271.200609,160033.111243,166635.561031,173388.09472,180972.880918,188205.382258,195581.911738,203242.362065
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,951.676834885,1042.81295557,1140.40897165,1263.41825915,1324.25462889,1370.58251644,1438.63105568,1524.80987418,1615.55353677,1693.07792778,1767.33573541,1831.97431321,1908.3145223,2037.60310795,2150.2063758,2205.62982796,2287.64330392,2375.54554242,2461.34434224,2528.19382958,2582.19366138,2372.39755024,2314.38624845,2350.63021118,2406.13641451,2466.8245286,2524.22265471,2623.83352591
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,25795.2069783,26809.7045943,27907.4139503,29191.8877666,30454.3798495,31235.8971079,31142.6689797,31746.1986698,34550.9296328,34958.7329683,35973.6508041,36628.0021613,38144.0185968,39690.1586511,41950.4250417,42683.9362953,43752.7580714,44723.5348077,45888.4370726,46872.6828983,48422.3553362,49946.08549,51498.1439006,53161.815224,54255.3666777,56617.593628,59161.5228773,61834.3744338
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,431.997780454,447.673019563,465.048262437,484.63902786,506.042782801,524.95110838,548.017852872,569.425391955,594.075269994,620.132280761,644.062632187,661.532291887,681.505799597,701.417564222,723.274362691,745.08481501,773.816791696,806.937130015,843.732311994,878.957030707,915.765936726,951.740980903,991.314559473,1030.43575882,1073.54763608,1115.40899708,1157.45133648,1200.07470208
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,297185.606156,305936.669459,316688.255367,324973.872119,333394.915424,341796.249385,352684.762666,360438.76995,368698.033043,378713.144525,382648.394451,390151.504429,397691.061938,405888.716497,409990.014496,416844.637123,426974.511822,438494.812659,444234.901824,456666.81616,464647.662672,475394.581194,487337.885436,498941.291428,507071.115902,519596.433356,533221.013456,545859.036685
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,22338.0922635,22829.9877223,23442.7143685,23569.4668409,23602.4762106,23861.4008129,24429.0531355,24887.9913171,25499.52717,25974.8576841,26671.3574601,27378.0018619,27897.1167175,28438.056254,28910.6015249,29469.9801302,30123.343298,30708.8600275,31506.9875176,32106.3265316,32721.2244499,33408.4040718,34104.4069241,34597.2385553,35383.6503464,36438.3739701,36970.8836524,37262.7342339
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,394015.086954,415912.091744,441154.383431,462587.189668,487910.509296,506091.530552,528835.840193,553830.614024,579442.43471,601804.312701,621180.503289,637599.953575,660772.093153,681474.819893,701351.418984,718321.359809,735431.336664,761907.890519,786048.935773,810005.111941,828699.07876,846926.725362,862623.295059,886351.308141,913332.232934,936073.197603,954195.114154,972873.508634
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,184914.273126,189268.476332,193766.19144,198941.559942,203092.57896,206720.336355,209744.100567,212423.18655,216926.383045,221467.883553,225107.390752,227031.727732,230335.954668,234298.271646,236244.93095,239850.968314,241033.05581,245396.744614,249095.304768,255393.400081,259305.124492,263437.096206,267784.004402,272975.918487,279542.546664,284249.204489,287422.748203,290814.961113
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,32093.6128017,33533.3270283,34974.8469089,36025.8831422,37053.1691222,37377.3257991,37857.4016822,38365.6127073,38899.8822625,39354.3157343,39953.8181252,40670.7411626,41676.2950127,42656.906063,43762.4152574,45155.7171673,46625.5838043,48374.31357,50880.7229327,53504.754239,56215.4739064,58607.6577225,61254.9680233,63472.9203914,66284.2903037,68999.008681,71817.1219476,74531.6855442
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,1790.80418334,1862.38821277,1935.60467911,2017.40174109,2132.2304312,2255.73394167,2387.35039037,2532.12648192,2686.94681658,2840.69872838,2972.17433532,3042.02204385,3108.303938,3188.48476687,3280.47708045,3397.51285863,3580.17479143,3756.94192289,3953.45663963,4158.10107118,4330.88397295,4485.92874701,4617.33396771,4759.18938495,4887.98152646,5016.1592945,5138.09264777,5257.10513265
