country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,319000,319000,319000,380000,380000,337000,396000,402000,407000,366000,350000,400000,420000,420000,435000,448000,400000,428000,439000,415000,390000,364000,350000,334000,317000,336000,324000,343000,320000,333000,335000,300000,300000,342000,390000,340000,400000,450000,280000,260000,242000,388000,434000,463000,485000,540000,552000,612000,645000,672000,672000,500000,512094,537000,410000,356565,338420,352177
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,4603,5683,9135,8173,10225,10524,11254,12807,14276,14924,10760,12000,15168,12000,13500,14000,14400,14800,15520,13000,13900,11900,13000,12600,12000,11000,10600,8830,8450,7000,2283,960,585,0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,9512,8000,6659,5014,5530,5550,4558,6110,6711,2166,1568,2218,2447,2520,1600,1279,1409,291,1000,1200,1200,1200,1200,1200,1200,1240,1300,1480,1480,1540,1500,1410,1290,1244,1158,1073,300,492,456,437,419,400,425,414,390,360,348,334,320,312,320,300,320,320,308,304,313,313
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,29000,23000,25000,26000,32000,30000,33000,15148,15945,29950,27791,20347,29051,16779,20000,20000,20000,15000,13000,11000,10000,10000,8000,8000,5000,5000,2000,2000,3000,3000,4000,4000,4000,21000,19000,14000,12000,10000,7402,5776,5335,4890,10831,13000,8650,3831,4635,8414,14291,17697,23209,21492,37608,42288,45322,61000,63000,56441
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,149000,182300,178200,190000,267600,165300,217000,282900,345000,407000,288000,294000,260000,316000,351000,309000,320000,310000,312000,266000,286300,437200,337100,480400,400000,438600,371000,383400,490000,428100,347600,732700,608300,607600,926200,986000,1205140,1011135,1658200,903630,873183,709295,717630,1060083,956253,1193492,1080070,1245800,1334155,1243259,1748075,1567971,1563450,1581810,1558100,1404980,1328340,1367968
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,118000,139000,140000,146000,158000,187000,221000,228000,267000,250000,301000,248000,309000,409000,387000,417000,530000,489697,692151,613163,760000,857000,520000,634000,864000,687000,549000,761000,805000,924000,787000,1122000,955000,1082000,1137000,951200,1388000,1330900,1389800,1100700,1643403,1192202,438111,553114,338885,1002654,162806,17614,60868,196684,723283,918733,1161115,819276,690390,273942,807304,635113
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",622,1124,1029,3807,8070,10797,11608,15874,22335,18365,16640,15651,10243,8308,5085,3575,3740,4353,3930,3695,3749,4833,2679,2834,5406,15916,11975
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,14426184,13304520,15934944,15753588,15750540,14363000,16757000,17015504,18007296,16714900,14896689,15133678,17862704,16929568,19142624,17628320,19451488,19582160,19109472,20821008,20445872,21324640,21761008,21933456,22556288,23110032,23120624,23316464,26784480,26777904,27242000,27373000,26928000,25124000,26399000,28182000,28152000,29710000,34430000,37627500,36269000,37593000,38361420,36235976,39795616,40773000,43181000,46742000,48144000,50061200,50627000,50497000,51534000,51806593,51805464,50452866,54148000,56417319
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,848,750,1225,2045,2372,1420,1615,2875,3470,3493,4548,5799,8165,7530,4853,6305,8589,6350,6668,8618,10830,7938,6123,5672,5578,4404,4593,5551,5042,4614,4791,6679,9745,6359,9628,12757,16727,9452,12619,9847,12121,10949,12752,10441,17760,11855,17775,11780,20615,20523,19081,12318,20505,16259,12663,16203,18751,13375
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,756,738,872,1007,1479,1526,1253,1779,2605,4840,5400,6615,8000,9910,13504,18400,18400,7500,10300,10186,8530,8792,5300,7500,6748,8538,8141,9708,8976,10940,10282,10390,9955,13686,17219,22259,26891,35562,34040,49245,54901,63219,54183,64699,78329,61818,72960,109371,150604,124975,219626,216644,362589,234145,204310,281428,278718,459313
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56600,57400,58500,60000,66001,62000,63000,65000,43141,43000,55157,37793,39262,41655,45000,50000,49473,49184,48076,46958,44300,40000,37391,44902,54324,67982,72513,74432,77391,66393,71637,78730,78014,78730,76621,80261,83332,86385,88753
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,34320,38571,42857,47142,51286,51714,56651,73560,83375,72530,85335,85200,77800,85200,126560,113045,121335,89315,76125,95225,101225,86660,61725,163863,173156,136760,164230,171485,226852,211263,240770,229292,222594,247333,264612,343520,255586,296253,256789,299083,332437,259452,423278,331336,479246,446462,352104,337800,410994,442017,428007,474664,442912,484057,527341,406954,478578,541157
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
