date,name,category,value,lastValue
0,Apache Hive,,0.0005,0.0005
0,CouchBase,,0.0,0.0
0,CouchDB,,0.0,0.0
0,DB2,,0.0351,0.0351
0,dBase,,0.0049,0.0049
0,DynamoDB,,0.0,0.0
0,Elasticsearch,,0.0,0.0
0,FileMaker,,0.0185,0.0185
0,Firebase,,0.0,0.0
0,Firebird,,0.0175,0.0175
0,Hbase,,0.0002,0.0002
0,Informix,,0.0099,0.0099
0,Ingres,,0.0029,0.0029
0,MariaDB,,0.0,0.0
0,Memcached,,0.0002,0.0002
0,Microsoft Access,,0.2072,0.2072
0,MongoDB,,0.0,0.0
0,MySQL,,0.2187,0.2187
0,Neo4j,,0.0,0.0
0,Netezza,,0.0003,0.0003
0,Oracle,,0.3116,0.3116
0,PostgreSQL,,0.027,0.027
0,Redis,,0.0003,0.0003
0,Riak,,0.0002,0.0002
0,SAP HANA,,0.0,0.0
0,Solr,,0.0003,0.0003
0,Splunk,,0.0,0.0
0,SQLite,,0.0028,0.0028
0,SQL Server,,0.1175,0.1175
0,Sybase,,0.0225,0.0225
0,Teradata,,0.002,0.002
1,Apache Hive,,0.0004,0.0005
1,CouchBase,,0.0,0.0
1,CouchDB,,0.0,0.0
1,DB2,,0.0352,0.0351
1,dBase,,0.0047,0.0049
1,DynamoDB,,0.0,0.0
1,Elasticsearch,,0.0,0.0
1,FileMaker,,0.0184,0.0185
1,Firebase,,0.0,0.0
1,Firebird,,0.0155,0.0175
1,Hbase,,0.0003,0.0002
1,Informix,,0.0098,0.0099
1,Ingres,,0.0028,0.0029
1,MariaDB,,0.0,0.0
1,Memcached,,0.0002,0.0002
1,Microsoft Access,,0.2042,0.2072
1,MongoDB,,0.0,0.0
1,MySQL,,0.22,0.2187
1,Neo4j,,0.0,0.0
1,Netezza,,0.0003,0.0003
1,Oracle,,0.3133,0.3116
1,PostgreSQL,,0.0267,0.027
1,Redis,,0.0003,0.0003
1,Riak,,0.0002,0.0002
1,SAP HANA,,0.0,0.0
1,Solr,,0.0003,0.0003
1,Splunk,,0.0,0.0
1,SQLite,,0.0031,0.0028
1,SQL Server,,0.1195,0.1175
1,Sybase,,0.0226,0.0225
1,Teradata,,0.0021,0.002
2,Apache Hive,,0.0004,0.0004
2,CouchBase,,0.0,0.0
2,CouchDB,,0.0,0.0
2,DB2,,0.0356,0.0352
2,dBase,,0.0045,0.0047
2,DynamoDB,,0.0,0.0
2,Elasticsearch,,0.0,0.0
2,FileMaker,,0.0184,0.0184
2,Firebase,,0.0,0.0
2,Firebird,,0.0137,0.0155
2,Hbase,,0.0002,0.0003
2,Informix,,0.0097,0.0098
2,Ingres,,0.0029,0.0028
2,MariaDB,,0.0,0.0
2,Memcached,,0.0002,0.0002
2,Microsoft Access,,0.2019,0.2042
2,MongoDB,,0.0,0.0
2,MySQL,,0.2215,0.22
2,Neo4j,,0.0,0.0
2,Netezza,,0.0003,0.0003
2,Oracle,,0.3154,0.3133
2,PostgreSQL,,0.0264,0.0267
2,Redis,,0.0004,0.0003
2,Riak,,0.0001,0.0002
2,SAP HANA,,0.0,0.0
2,Solr,,0.0003,0.0003
2,Splunk,,0.0,0.0
2,SQLite,,0.0032,0.0031
2,SQL Server,,0.1201,0.1195
2,Sybase,,0.0226,0.0226
2,Teradata,,0.0021,0.0021
3,Apache Hive,,0.0004,0.0004
3,CouchBase,,0.0,0.0
3,CouchDB,,0.0,0.0
3,DB2,,0.0359,0.0356
3,dBase,,0.0043,0.0045
3,DynamoDB,,0.0,0.0
3,Elasticsearch,,0.0,0.0
3,FileMaker,,0.0178,0.0184
3,Firebase,,0.0,0.0
3,Firebird,,0.0133,0.0137
3,Hbase,,0.0001,0.0002
3,Informix,,0.0096,0.0097
3,Ingres,,0.0028,0.0029
3,MariaDB,,0.0,0.0
3,Memcached,,0.0002,0.0002
3,Microsoft Access,,0.1992,0.2019
3,MongoDB,,0.0,0.0
3,MySQL,,0.2214,0.2215
3,Neo4j,,0.0,0.0
3,Netezza,,0.0003,0.0003
3,Oracle,,0.3188,0.3154
3,PostgreSQL,,0.0261,0.0264
3,Redis,,0.0004,0.0004
3,Riak,,0.0002,0.0001
3,SAP HANA,,0.0,0.0
3,Solr,,0.0002,0.0003
3,Splunk,,0.0,0.0
3,SQLite,,0.0033,0.0032
3,SQL Server,,0.1212,0.1201
3,Sybase,,0.0224,0.0226
3,Teradata,,0.0022,0.0021
4,Apache Hive,,0.0004,0.0004
4,CouchBase,,0.0,0.0
4,CouchDB,,0.0,0.0
4,DB2,,0.0359,0.0359
4,dBase,,0.0041,0.0043
4,DynamoDB,,0.0,0.0
4,Elasticsearch,,0.0,0.0
4,FileMaker,,0.0175,0.0178
4,Firebase,,0.0,0.0
4,Firebird,,0.0128,0.0133
4,Hbase,,0.0001,0.0001
4,Informix,,0.0096,0.0096
4,Ingres,,0.0029,0.0028
4,MariaDB,,0.0,0.0
4,Memcached,,0.0002,0.0002
4,Microsoft Access,,0.197,0.1992
4,MongoDB,,0.0,0.0
4,MySQL,,0.2222,0.2214
4,Neo4j,,0.0,0.0
4,Netezza,,0.0003,0.0003
4,Oracle,,0.3209,0.3188
4,PostgreSQL,,0.026,0.0261
4,Redis,,0.0003,0.0004
4,Riak,,0.0002,0.0002
4,SAP HANA,,0.0,0.0
4,Solr,,0.0002,0.0002
4,Splunk,,0.0,0.0
4,SQLite,,0.0034,0.0033
4,SQL Server,,0.1218,0.1212
4,Sybase,,0.0223,0.0224
4,Teradata,,0.0021,0.0022
5,Apache Hive,,0.0004,0.0004
5,CouchBase,,0.0,0.0
5,CouchDB,,0.0,0.0
5,DB2,,0.0362,0.0359
5,dBase,,0.0041,0.0041
5,DynamoDB,,0.0,0.0
5,Elasticsearch,,0.0,0.0
5,FileMaker,,0.0175,0.0175
5,Firebase,,0.0,0.0
5,Firebird,,0.0128,0.0128
5,Hbase,,0.0001,0.0001
5,Informix,,0.0096,0.0096
5,Ingres,,0.0031,0.0029
5,MariaDB,,0.0,0.0
5,Memcached,,0.0002,0.0002
5,Microsoft Access,,0.1956,0.197
5,MongoDB,,0.0,0.0
5,MySQL,,0.2235,0.2222
5,Neo4j,,0.0,0.0
5,Netezza,,0.0003,0.0003
5,Oracle,,0.3212,0.3209
5,PostgreSQL,,0.0259,0.026
5,Redis,,0.0003,0.0003
5,Riak,,0.0002,0.0002
5,SAP HANA,,0.0,0.0
5,Solr,,0.0002,0.0002
5,Splunk,,0.0,0.0
5,SQLite,,0.0037,0.0034
5,SQL Server,,0.1212,0.1218
5,Sybase,,0.0219,0.0223
5,Teradata,,0.0022,0.0021
6,Apache Hive,,0.0003,0.0004
6,CouchBase,,0.0,0.0
6,CouchDB,,0.0,0.0
6,DB2,,0.0357,0.0362
6,dBase,,0.0041,0.0041
6,DynamoDB,,0.0,0.0
6,Elasticsearch,,0.0,0.0
6,FileMaker,,0.0174,0.0175
6,Firebase,,0.0,0.0
6,Firebird,,0.0127,0.0128
6,Hbase,,0.0001,0.0001
6,Informix,,0.0093,0.0096
6,Ingres,,0.0031,0.0031
6,MariaDB,,0.0,0.0
6,Memcached,,0.0002,0.0002
6,Microsoft Access,,0.1942,0.1956
6,MongoDB,,0.0,0.0
6,MySQL,,0.2266,0.2235
6,Neo4j,,0.0,0.0
6,Netezza,,0.0003,0.0003
6,Oracle,,0.3218,0.3212
6,PostgreSQL,,0.0257,0.0259
6,Redis,,0.0003,0.0003
6,Riak,,0.0002,0.0002
6,SAP HANA,,0.0,0.0
6,Solr,,0.0002,0.0002
6,Splunk,,0.0001,0.0
6,SQLite,,0.0039,0.0037
6,SQL Server,,0.1203,0.1212
6,Sybase,,0.0214,0.0219
6,Teradata,,0.0022,0.0022
7,Apache Hive,,0.0004,0.0003
7,CouchBase,,0.0,0.0
7,CouchDB,,0.0,0.0
7,DB2,,0.0352,0.0357
7,dBase,,0.004,0.0041
7,DynamoDB,,0.0,0.0
7,Elasticsearch,,0.0,0.0
7,FileMaker,,0.0174,0.0174
7,Firebase,,0.0,0.0
7,Firebird,,0.0126,0.0127
7,Hbase,,0.0001,0.0001
7,Informix,,0.009,0.0093
7,Ingres,,0.0032,0.0031
7,MariaDB,,0.0,0.0
7,Memcached,,0.0002,0.0002
7,Microsoft Access,,0.194,0.1942
7,MongoDB,,0.0,0.0
7,MySQL,,0.2288,0.2266
7,Neo4j,,0.0,0.0
7,Netezza,,0.0004,0.0003
7,Oracle,,0.3212,0.3218
7,PostgreSQL,,0.0258,0.0257
7,Redis,,0.0003,0.0003
7,Riak,,0.0002,0.0002
7,SAP HANA,,0.0,0.0
7,Solr,,0.0002,0.0002
7,Splunk,,0.0001,0.0001
7,SQLite,,0.004,0.0039
7,SQL Server,,0.1197,0.1203
7,Sybase,,0.021,0.0214
7,Teradata,,0.0021,0.0022
8,Apache Hive,,0.0003,0.0004
8,CouchBase,,0.0,0.0
8,CouchDB,,0.0,0.0
8,DB2,,0.0345,0.0352
8,dBase,,0.004,0.004
8,DynamoDB,,0.0,0.0
8,Elasticsearch,,0.0,0.0
8,FileMaker,,0.0174,0.0174
8,Firebase,,0.0,0.0
8,Firebird,,0.0126,0.0126
8,Hbase,,0.0001,0.0001
8,Informix,,0.0088,0.009
8,Ingres,,0.0033,0.0032
8,MariaDB,,0.0,0.0
8,Memcached,,0.0003,0.0002
8,Microsoft Access,,0.1947,0.194
8,MongoDB,,0.0,0.0
8,MySQL,,0.2312,0.2288
8,Neo4j,,0.0,0.0
8,Netezza,,0.0004,0.0004
8,Oracle,,0.3189,0.3212
8,PostgreSQL,,0.0259,0.0258
8,Redis,,0.0003,0.0003
8,Riak,,0.0002,0.0002
8,SAP HANA,,0.0,0.0
8,Solr,,0.0002,0.0002
8,Splunk,,0.0001,0.0001
8,SQLite,,0.0042,0.004
8,SQL Server,,0.12,0.1197
8,Sybase,,0.0204,0.021
8,Teradata,,0.0022,0.0021
9,Apache Hive,,0.0004,0.0003
9,CouchBase,,0.0,0.0
9,CouchDB,,0.0,0.0
9,DB2,,0.034,0.0345
9,dBase,,0.004,0.004
9,DynamoDB,,0.0,0.0
9,Elasticsearch,,0.0,0.0
9,FileMaker,,0.0173,0.0174
9,Firebase,,0.0,0.0
9,Firebird,,0.0126,0.0126
9,Hbase,,0.0001,0.0001
9,Informix,,0.0087,0.0088
9,Ingres,,0.0033,0.0033
9,MariaDB,,0.0,0.0
9,Memcached,,0.0003,0.0003
9,Microsoft Access,,0.1952,0.1947
9,MongoDB,,0.0,0.0
9,MySQL,,0.2336,0.2312
9,Neo4j,,0.0,0.0
9,Netezza,,0.0003,0.0004
9,Oracle,,0.3172,0.3189
9,PostgreSQL,,0.0257,0.0259
9,Redis,,0.0003,0.0003
9,Riak,,0.0002,0.0002
9,SAP HANA,,0.0,0.0
9,Solr,,0.0003,0.0002
9,Splunk,,0.0001,0.0001
9,SQLite,,0.0043,0.0042
9,SQL Server,,0.1201,0.12
9,Sybase,,0.02,0.0204
9,Teradata,,0.0022,0.0022
10,Apache Hive,,0.0004,0.0004
10,CouchBase,,0.0,0.0
10,CouchDB,,0.0,0.0
10,DB2,,0.0339,0.034
10,dBase,,0.004,0.004
10,DynamoDB,,0.0,0.0
10,Elasticsearch,,0.0,0.0
10,FileMaker,,0.0169,0.0173
10,Firebase,,0.0,0.0
10,Firebird,,0.0124,0.0126
10,Hbase,,0.0001,0.0001
10,Informix,,0.0086,0.0087
10,Ingres,,0.0032,0.0033
10,MariaDB,,0.0,0.0
10,Memcached,,0.0002,0.0003
10,Microsoft Access,,0.1954,0.1952
10,MongoDB,,0.0,0.0
10,MySQL,,0.2346,0.2336
10,Neo4j,,0.0,0.0
10,Netezza,,0.0003,0.0003
10,Oracle,,0.3167,0.3172
10,PostgreSQL,,0.0254,0.0257
10,Redis,,0.0003,0.0003
10,Riak,,0.0002,0.0002
10,SAP HANA,,0.0,0.0
10,Solr,,0.0002,0.0003
10,Splunk,,0.0001,0.0001
10,SQLite,,0.0044,0.0043
10,SQL Server,,0.1206,0.1201
10,Sybase,,0.0197,0.02
10,Teradata,,0.0023,0.0022
11,Apache Hive,,0.0004,0.0004
11,CouchBase,,0.0,0.0
11,CouchDB,,0.0,0.0
11,DB2,,0.0336,0.0339
11,dBase,,0.0039,0.004
11,DynamoDB,,0.0,0.0
11,Elasticsearch,,0.0,0.0
11,FileMaker,,0.0163,0.0169
11,Firebase,,0.0,0.0
11,Firebird,,0.0123,0.0124
11,Hbase,,0.0001,0.0001
11,Informix,,0.0084,0.0086
11,Ingres,,0.0031,0.0032
11,MariaDB,,0.0,0.0
11,Memcached,,0.0003,0.0002
11,Microsoft Access,,0.1937,0.1954
11,MongoDB,,0.0,0.0
11,MySQL,,0.2363,0.2346
11,Neo4j,,0.0,0.0
11,Netezza,,0.0003,0.0003
