country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,4638,4660,4851,5037,4982,4766,4660,4104,4430,4499,4987,5151,5212,5125,4741,5116,5543,5425,5458,5373,5771,6007,5714,5985,5748,6283,6883,6453,6006,6553,6837,6330,6417,6635
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","",27,27,29,35,36,36,37,40,40,43,34,33,38,43,50,55,53,58,56
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","",15,17,19,14,12,13,12,15,13,14,17,16,16,17,18,17,16,20,19
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","",38,41,54,56,58,68,82,102,100,84,65,68,93,114,194,272,342,419,413
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","",221,219,199,216,235,222,276,273,288,285,283,277,215,268,305,330,338,338,330
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,17829,17969,18779,18876,18326,17450,18179,18375,18573,19162,19128,19404,19243,18719,19066,19740,19033,19237,18682,18812,19408,18810,19346,19150,18195,17773,18479,18227,18769,18518,18421,18246,18042,17649
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","",322,355,386,415,450,479,503,532,561,577,659,693,710,751,787,763,796,834,823
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",28,28,27,27,37,39,40,38,37,36,36,38,39,31,37,37,37,32,32
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,1145,1190,1236,1316,1363,1385,1479,1629,1721,1784,1948,2110,2251,2369,2531,2689,2830,2900,3078,3106,3206,3350,3527,3574,3535,3594,3784,4008,4152,4032,4148,4269,4255,4282
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,381,410,445,479,504,527,567,624,665,754,811,863,899,917,967,1050,1139,1265,1452,1665,1878,2141,2438,2582,2729,3073,3423,3603,3902,4036,4133,4337,4647,4981
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,980,1035,1079,1114,1140,1155,1188,1063,1188,1259,1303,1304,1322,1310,1225,1180,1197,1230,1256,1279,1310,1367,1383,1386,1411,1429,1448,1469,1501,1548,1578,1545,1535,1557
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","",35,50,54,56,70,73,76,68,65,60,65,83,80,74,67,52,52,49,48
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","",279,277,293,276,293,295,287,281,283,280,277,277,310,329,348,355,401,398,388
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","",1831,1878,1880,2035,1883,2009,2442,2261,2551,2912,2547,2905,2905,3019,3191,3006,2984,2913,2961,3099,3443,2636,2503,3285,3184,2693,3045,2864,3310
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,1873,1998,2076,2237,2438,2573,2652,3033,3162,3207,2920,2988,3061,3290,3389,3573,3698,3874,4076,4159,4257,4447,4578,4694,4749,4781,4381,4155,3750,3777,3905,4177,4240,4246
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,5625,5868,6022,6227,6301,6049,5850,5727,5684,5665,5874,6208,6248,6289,6277,7140,7267,7447,8128,8236,8050,8191,8498,8011,7842,8152,8286,8276,8223,8120,7913,7844,8179,8250
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,5698,6018,5763,5480,4470,5052,7088,5942,6543,7713,7006,10195,8395,7756,7312,6749,7041,7311,8572,7484,6684,8376,7187,6659,6584,6996,6310,5471,6162,5681,5086,5346,5415,5301
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","",250,244,251,247,261,306,330,377,390,396,423,426,423,428,421,414,407,403,396
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","",1057,1114,1014,1085,1085,1115,1143,1159,1173,1259,1343,1385,1371,1371,1385,1456,1526,1174,1158
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",952,1131,1354,1417,1246,1316,1416,1461,1234,1206,1438,1516,1586,1664,1601,1645,1699,1716,1659
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,502,539,565,578,577,620,666,671,676,726,735,827,867,892,828,836,855,904,863,925,969,1075,1212,1280,1236,1299,1347,1476,1480,1523,1600,1656,1670,1719
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,614,641,685,724,741,747,753,766,780,794,812,842,875,916,973,1065,1150,1206,1265,1324,1389,1452,1532,1617,1654,1745,1769,1884,1867,1893,1967,1992,2003,2031
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
