team,url,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Hull City,https://s.hs-data.com/bilder/wappen/mittel/3111.gif,35,65,65,65,65,102,137,137,171,171,171,171
Bradford Park Avenue,https://s.hs-data.com/bilder/wappen/mittel/4195.gif,0,0,0,0,0,0,0,0,0,0,0,0
Reading FC,https://s.hs-data.com/bilder/wappen/mittel/3285.gif,0,0,0,0,28,28,28,28,28,28,28,28
Oxford United,https://s.hs-data.com/bilder/wappen/mittel/3272.gif,0,0,0,0,0,0,0,0,0,0,0,0
Millwall FC,https://s.hs-data.com/bilder/wappen/mittel/2250.gif,0,0,0,0,0,0,0,0,0,0,0,0
Northampton Town,https://s.hs-data.com/bilder/wappen/mittel/3184.gif,0,0,0,0,0,0,0,0,0,0,0,0
Carlisle United,https://s.hs-data.com/bilder/wappen/mittel/3118.gif,0,0,0,0,0,0,0,0,0,0,0,0
Darwen,https://s.hs-data.com/bilder/wappen/mittel/4245.gif,0,0,0,0,0,0,0,0,0,0,0,0
Barnsley FC,https://s.hs-data.com/bilder/wappen/mittel/3181.gif,0,0,0,0,0,0,0,0,0,0,0,0
Swindon Town,https://s.hs-data.com/bilder/wappen/mittel/2237.gif,0,0,0,0,0,0,0,0,0,0,0,0
Leyton Orient,https://s.hs-data.com/bilder/wappen/mittel/3121.gif,0,0,0,0,0,0,0,0,0,0,0,0
Glossop North End,https://s.hs-data.com/bilder/wappen/mittel/4243.gif,0,0,0,0,0,0,0,0,0,0,0,0
