country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,2000,2100,2200,2250,2300,2350,2400,2450,2500,2550,2600,2700,2750,2800,2900,2950,3000,3150,3200,3250,3300,3345,3400,3536,3700,4100,4300,4400,4500,4700,4900,5100,5300,5500,5718,5715,5581,5263,5368,5100,6000,7500,5700,5917,10421,7407,7076,5038,6523,17366,20752,7666,7830,7994,5308,6587,8039,8632
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,16000,16000,16000,16000,17000,17200,17200,17200,17400,17500,17500,17500,17500,17520,18500,10525,10440,10755,11400,10595,10320,11164,8655,2243,1993,6218,7200,7610,7760,7970,8290,8125,8455,8650,8860,9050,9220,9220,9750,9800,9805,9810,9800,6000,4000,2000,1961,2025,1943,1989,2014,2025,2057,2419,2522,2578,2751,2805
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27200,20000,17000,17500,17850,25373,24959,15910,14376,10812,12884,40575,53319,52181,58109,60962,51946,71507,71659,75334,50023,85117,44795,91471,69062,52252,112513
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,19962,22600,23241,21158,40386,23559,24785,26070,28864,30850,29961,30698,22265,27340,34192,42348,46125,51758,69099,83038,109503,190993,153540,255773,288649,355803,333275,432937,477280,543515,526904,599841,698765,699935,686373,700777,793585,791437,937715,1153269,716030,857388,841821,980203,850535,863019,1115379,1124155,1222885,1279124,1338995,1339771,1231472,1378617,1264651,1055383,1307642,1195007
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,272703,350612,289695,364126,299404,343660,413124,427062,460449,363126,343683,340336,360159,249583,329342,382287,281416,321088,285239,394280,433142,425780,467588,525984,336124,543256,339177,334463,457875,410915,145060,221202,109858,76477,149287,203668,161232,129145,92269,88983,42710,26417,38372,39393,26130,26328,26165,23517,35456,43235,40413,30942,55013,54502,58419,44755,44927,50298
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
