country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,3,10,10,"",11,12,12,15,19
Bosnia & Herzegovina,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"","","","","",3,3,"","",18,21,21,36,44,44
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,"","",3,8,13,13,25,"",34,52,77,98,121,200,234,291,428,621,904
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",11,25,37,40,50,54,56,68,73,78
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,4,"","",7,23,31,41,51,62,81,92,105,127
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,2,"","",3,3,20,20,26,33,40
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","","","","",2,"","","",3,5,"",7,12,24,24,24,24,47
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",2,"","","","","",3,4,4,10,10,14,27
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,0,0,0,0,0,1,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,11,11,12,14,16,20,24,27,30,33,45,51,57,62,77,93,103,138,176,244,304,424,569,690,846,971
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,1,1,1
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,3,4,5,"",10,13,17,23,33,43,61,75,156,201,238,342,434
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,386,526,623,882,1323,1988,2775,4528,5994,7734,9714,11809,14399,17211,20448,24320,28047,31207,34625,37232,40206,42696,44724,59865,64021,66559,68566,70618,72508,74258,74652,75543,76369,77016,77234,77749,78159,78598,78927,79355,79929,80134,80261,80380,80497,80667,80768,80814,80859,80879,80908,80932,80954,80973,80995,81020,81130,81163,81238,81337,81416
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",3,"",9,"",16,34,45,57,65,102,128,158
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,3,3,3
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",5,9,13,22,23,26,27,35,41,50,69,87,113
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",4,4,5,5,6,9,14
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,7,8,9,"",10,11,12,"","",13,16,25,31,37,48,56,69,81,104,126
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,"",4,4,"","",7,11,16,21
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"",6,"",14,21,30,40,40,58,58,67
