country,url,category,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,Asia & the Pacific,11.157026581176,12.5506095641626,14.2276444262674,26.0355114281704,26.9444479475307,32.6710826152849,27.1428573129252,20.9827354616946,24.110033071763,25.0788642331499,21.7281100678648,27.0631374536424,32.8690810352185,27.6923087928994,28.8659801551706,26.9483576711852,28.0869566604915,26.4860798295929,24.7138040330125,,,,,,,,,,,,,,,,,,,,,,,,97.6744227499797,137.901039454029,121.13581870045,104.862400564151,100.555349411331,76.1737610946716,73.0655202440326,56.9068174248469,54.9673280956043,50.3012220744035,44.659247762082,56.065669936469,52.341577191694,55.8037319475389,55.9212268518882,
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,Europe,,,,,,,,,,,,,,,,,,,,,45.8250749506054,44.497605577662,43.2525386847195,39.00562196255,36.7904298195613,34.685406148026,30.5250142005462,31.0288080231291,35.600305738476,38.6585297289146,38.0657831094828,34.8163862743792,100.002686541879,77.7150689060593,50.3020121386065,46.9874219923069,43.2202029460839,43.9356497213416,45.4813408285662,48.0297479959828,55.9204287230026,57.4303612453301,63.9342407411882,65.4406219482911,66.3578254370479,70.2953012017195,73.4550491659384,82.8724226308549,77.4517110851705,75.0949053413577,76.5434715491159,81.2185485414313,76.5101734744528,75.8737824556845,75.4078339395339,71.8010161004583,74.6692622001273,78.075613190872
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,Africa,106.186804301314,113.7483279283,40.6125193571122,61.510197197341,54.5238212566159,48.4370219064117,50.6397695218843,45.066186093677,47.3228889614156,51.8595349042921,51.2254018061269,46.1062966825765,46.1764302847485,57.0934265311372,74.2388192371426,76.6545354056848,70.1732568821597,72.3268842306998,65.7045688895451,64.0140492853508,64.6769231605018,65.4649936353318,59.9229312690034,53.7441173561114,53.1763836889134,50.3261206307911,36.026710569926,32.6845844686128,38.111587277742,47.1533197065802,48.3807136815584,52.7175867077307,49.1890842360411,44.9228133698634,48.5844377877809,55.1910052081435,53.7051478767794,52.2439115059386,45.0944505585079,50.9291154528661,62.8583440841607,58.70616248536,61.1341648381599,62.1247720774541,65.7014261674144,71.2785975975416,70.7300140817829,71.9381269360825,76.684522053038,71.324328353895,69.8666617557832,67.4722754457649,65.4049789266828,63.610823583416,62.1457767636783,59.7328974050035,56.272042286491,60.3667774571366
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,88.4945849682428,94.519684738292,82.6892356570661,76.2264909720351,65.5271745983787,59.5300729914595,57.1428571428571,97.3684210526316,100.0,,,,,,,152.547109454858,150.335794690093,124.959914491307,130.453669736458,124.395150235728,139.657432418488,118.774517825783,117.473807794816,127.544973911909,110.316370505615,105.267209721564,107.515675508187,103.323437101935,95.0686162654686,90.2619691728445,70.3268342815811,59.4342048400934,57.5864443973003
Antigua & Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,Latin America & the Caribbean,,,,,,,,,,,,,,,,,,85.6332309315756,101.915842514694,132.967354224339,128.948064017801,142.106411585762,146.839625585656,115.974510211796,133.021878338811,140.659123073428,171.930622794216,157.226918531444,137.800782461083,143.540484081861,149.272126887192,151.074063796822,158.973000516075,156.544805710029,145.629808203147,145.602178284139,137.264769638368,135.403263117099,131.319408132489,130.795256680996,116.281789378355,116.380689775623,110.764539900541,116.56601895806,122.481460178376,120.133080113112,118.113791647384,115.423207450464,115.283599454991,103.581582371424,104.364082719019,103.246858561683,102.798764074336,106.154465713388,104.155817102385,93.2406974385871,88.7302849004793,
Argentina,https://images.reference.com/amg-cms-reference-images/prod/argentina-flag-colors-meaning-of_b7cf58aa-cdaa-479b-867d-2b57d7a723da.jpg,Latin America & the Caribbean,15.2080960873797,11.9898923109727,14.0755256495637,15.7809062353749,11.1274296795488,10.3764574099485,11.6426054171411,12.4926603729179,11.8881648852942,12.7974266330598,10.3374440809233,12.6151889155439,14.0356431972715,13.3221685115576,13.1915798576321,11.8027242947756,15.0968846246649,16.9422865680472,14.3237963724531,12.8406846410014,11.5456724604615,14.2929774789475,15.6114860999886,14.9876701068591,12.3463814292217,18.009425070688,14.4860327921395,15.448969882952,15.743458608705,19.6377977018838,14.9908589999441,13.7530541588891,14.730980586353,16.2231515323488,18.1342254505904,19.771500987766,21.506358172293,23.336144697619,23.349944346555,21.3826567862219,22.6225023420697,21.8524228521558,41.7527512956683,40.6446897458032,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.1219138061676,25.0145788711687
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3357185450209,100.865855188857,101.076759405526,107.973146280234,112.428831044431,86.1148549605111,79.2295615718099,78.5477445199017,71.8424531375795,70.5604195051967,73.9185677483324,71.6171966314838,75.9434195954309,82.1876465514541,75.0372101843166,72.0389254730378,62.6091930629355,58.3364583828817,55.7028621156341,58.4788698681044,66.1472866893029,71.1108651220388,75.9667433930304,76.5561957927212,75.6116848388122,71.5932653468932,75.9178800280663,88.4534840488739
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,Latin America & the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.984880302394,171.319796954315,175.344129554656,168.781911013858,163.267359946327,164.591203738233,145.072879516204,139.021956378172,134.33499493461,133.960084352967,133.653243477694,146.481006590773,143.464899733299,142.363306909232,141.187287523436,140.062909532337,136.31879090553,157.208415564428,,,,,,
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,Oceania,27.0561987457791,27.4281805745554,26.5739385065886,26.8399395801865,28.7027434712925,28.4875183553598,28.0626078383042,26.7772249861802,26.7832647462277,25.2890085020491,26.1983605667445,25.5979555379119,24.7993164391878,25.1754297778225,26.3687206465639,29.0170225327167,26.9068534964489,28.6767308693389,28.2220929899993,29.6723966328717,32.3521095319592,31.6564215509023,30.3747792903116,29.2221458410449,28.5892417672565,32.5696528531597,33.0998827621995,32.5883246580953,32.62889493928,32.1250190428519,32.213926037422,32.2507653079686,33.1103425583339,35.468279172155,36.5273048168299,37.8015516603413,38.3323319414935,38.0748112251054,40.0704305582242,39.1561162373084,41.0476364852412,44.3840934437813,41.5743630486655,40.3128544092887,37.1562923222683,39.3146159122681,41.6339348752007,42.107552446908,42.9277976282111,45.8649831280567,40.7163844539093,41.9779397674618,43.2870791020844,41.2735790627962,42.5798482995107,41.5473873260458,40.7714731948103,41.8929700625283
