country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.02568822544993633,0.02568822544993633,"","","","","",0.10275290179974532,"","",0.17981757814955432,"","","",0.2568822544993633,0.4110116071989813,0.5394527344486629,0.5651409598985992,0.5651409598985992,0.5651409598985992,0.6165174107984719,0.6165174107984719,0.8733996652978353,1.0275290179974532,1.0789054688973259,1.9266169087452247,1.9266169087452247,2.337628515944206,2.722951897693251,2.9284577012927415,3.6220397884410227,4.264245424689431,4.932139286387775,6.036732980735038,6.036732980735038,6.935820871482809,7.680779409530963,8.656931976628544,9.427578740126634,10.866119365323067,12.433101117769183,13.383565459416829,14.256965124714664,15.592752848111353,17.08266992420766,18.34139297125454,20.139568752750083,20.396451007249446,21.7065505051962,23.32490870854219,25.585472548136586,26.48456043888436,28.051542191330473,30.209353129125127,32.90661680136844,34.70479258286398,37.58187383325685,39.32867316385252,43.74704794124157,46.93238789703368,50.06635140192591
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","",0.6949753283758426,2.0849259851275277,3.474876641879213,3.8223643060671346,7.99221627632219,11.467092918201404,13.20453123914101,14.594481895892695,17.72187087358399,19.11182153033567,20.501772187087358,24.32413649315449,24.32413649315449,26.40906247828202,30.926402112724997,34.74876641879213,42.74098269511432,50.733198971436515,60.46285356869831,64.63270553895336,68.4550698450205,73.66738480783931,77.48974911390646,84.43950239766488,89.99930502467161,96.2540829800542,105.63624991312808,115.71339217457779,125.44304677183959,131.00284939884634,133.08777538397385,138.99506567516852,142.12245465285983,144.55486830217527,150.46215859336994,154.9794982278129,162.27673917575925,165.05664048926263,171.65890610883312,179.99861004934323,187.2958509972896,190.42323997498087,195.28806727361177,202.93279588574606,211.6199874904441,220.30717909514212,230.38432135659184,235.59663631941066,247.41121690179997,252.27604420043087,255.75092084231008,260.615748140941,266.1755507679477
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.06841342405470265,0.06841342405470265,"",0.11402237342450441,0.2736536962188106,0.387676069643315,"","",0.45608949369801766,"","",0.45608949369801766,0.570111867122522,0.5929163418074229,0.8437655633413327,1.0946147848752423,1.322659531724251,1.368268481094053,1.6419221773128636,2.0524027216410796,2.32605641785989,3.1698219812012227,4.583699411665077,5.245029177527203,6.020381316813833,6.8869513548400665,8.369242209358625,9.32703014612446,10.353231506945,11.65308656398435,13.317813215982115,16.328003874389033,19.31539005811105,22.48521203931227,26.704039856018934,28.528397830811006,30.101906584069166,32.450767476613954,33.4769688374345,35.84863420466419,37.992254825044874,40.15867992011046,41.618166299944114,43.64776454690029,45.22127330015845,47.20526259774483,49.25766531938591,51.7205485853552,55.14121978809033,57.80934332622374,59.95296394660442,61.9825621935606,64.10337833925638,66.36102133306157,68.57305537749696,71.30959233968505,74.25136957403727,77.12473338433479,80.2033374667964,83.21352812520333,87.7516185874986
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","",12.942470717660001,"","","","","","","","","","",25.884941435320002,"",64.7123535883,181.19459004724,181.19459004724,685.9509480359801,970.6853038245001,970.6853038245001,1138.93742315408,1462.49919109558,1721.34860544878,2122.5651976962404,2433.1844949200804,2899.11344075584,3455.6396816152205,3986.2809810392805,4322.78521969844,4788.7141655342,4866.368989840161,5047.563579887401,5539.377467158481,5681.74464505274,6031.19135442956,6484.177829547661,6807.739597489161,7053.646541124701,7299.55348476024,7545.460428395781,7778.4249013136605,8050.216786384521,8257.296317867082,8360.836083608361,8529.08820293794,8710.282792985181,8826.765029444121,9007.959619491361,9111.49938523264,9227.98162169158,9279.75150456222,9279.75150456222,9357.406328868181,9370.348799585841,9460.94609460946,9486.831036044781,9577.4283310684,9616.255743221382,9680.968096809682,9745.68045039798
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0608526651094064,0.0912789976641096,0.1217053302188128,0.1217053302188128,0.2129843278829224,0.2129843278829224,0.2129843278829224,0.2434106604376256,0.2434106604376256,0.2434106604376256,0.304263325547032,0.4259686557658448,0.4868213208752512,0.5172476534299544,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.5781003185393608,0.7302319813128768,0.7302319813128768,0.7302319813128768,0.7302319813128768,0.7302319813128768,0.76065831386758,0.76065831386758,0.76065831386758,0.7910846464222833,0.8215109789769864,0.8215109789769864,0.8215109789769864
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","",10.211584020913325,"","","","","",10.211584020913325,10.211584020913325,10.211584020913325,10.211584020913325,30.63475206273997,30.63475206273997,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,71.48108814639326,91.90425618821992,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,153.17376031369986,194.02009639735314,214.4432644391798,214.4432644391798,214.4432644391798,234.86643248100646,234.86643248100646,234.86643248100646,234.86643248100646,234.86643248100646,234.86643248100646,234.86643248100646,234.86643248100646,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976,245.07801650191976
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","",0.022125961016225035,"",0.04425192203245007,0.17700768812980028,0.1991336491460253,0.2655115321947004,"",0.42039325930827565,"",0.685904791502976,0.7522826745516511,0.9956682457301265,1.2390538169086018,1.4381874660546272,1.7479509202817776,2.146218218573828,2.8321230100768044,3.495901840563555,4.978341228650633,5.885505630315859,6.659914265883735,8.562746913279089,11.107232430144967,13.032191038556546,15.266913101195273,16.48384095708765,18.14328803330453,21.373678341673383,21.373678341673383,25.068713831382965,25.068713831382965,27.989340685524667,32.104769434542526,34.3837434192137,36.02106453441436,37.946023142825936,39.71610002412393,41.90657016473021,43.698773007044444,47.283178691672894,48.74349211874375,50.27018342886328,53.81033719145928,53.81033719145928,56.64246020153609,58.81080438112614,62.572217753884395,64.82906577753936,66.8204022689996,69.2985099028168,72.48464828915321,75.7371645585383,75.7371645585383,83.3484951481197,83.3484951481197,88.28258445473789,91.02620362074978,94.52210546131334
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0.3374691300113322,0.3374691300113322,"","","","","","","","","",1.3498765200453289,2.0248147800679934,4.387098690147319,6.749382600226644,10.124073900339967,17.548394760589275,26.322592140883913,38.808949951303205,41.17123386138253,45.89580168154118,53.99506080181315,64.11913470215312,65.46901122219845,89.42931945300303,97.86604770328634,111.0273437737283,125.53851636421558,143.08691112480486,143.08691112480486,162.66012066546213,179.53357716602875,192.6948732364707,223.74203319751325,248.3772796883405,259.8512301087258,277.39962486931506,281.11178529943976,287.8611678996664,297.3103035399837,310.809068740437,316.2085748206183,326.3326487209583,341.85622870147955,350.6304260817742,374.9282034425901,391.12672168313406,405.30042514360997,421.1614742541426,435.6726468446299,451.87116508517386,472.79425114587644,497.0920285066924,513.965485007259,538.6007314980862,565.9357310290042,589.221100999786,610.1441870604887,630.0548657311573,651.9903591818938,651.9903591818938
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,1.0196126013293945,1.1372602091750939,1.294123686302693,1.6078506405578914,2.039225202658789,2.3137362876320875,2.4705997647596867,2.9019743268605844,3.137269542551983,3.9215869281899787,4.392177359572776,4.941199529519373,6.117675607976367,7.725526248534258,9.764751451193048,11.686329046006136,14.705950980712421,17.804004653982503,22.15696614427338,27.80405132086695,34.27466975238041,43.059024471525966,67.01992060276673,71.49052970090331,95.02005127004318,109.7652181200375,124.15744214649473,132.47120643425748,149.3732460947563,160.51055297081584,178.70671631761735,184.5890967099023,195.13816554673335,204.8637011286445,217.56964277598001,223.0206486061641,225.2559531552324,229.17754008342237,233.56971744299514,237.3344408940575,241.2560278222475,244.62859258049087,246.62860191386778,247.92272560017045,249.64822384857405,251.60901731266904,253.25608382250883,254.78550272450292,256.19727401865134,258.27571509059203,259.2953276919214,259.8051339925861,260.6678831167879,260.9423942017612,261.4522005024259,262.2365178880639,262.8639717965743,263.2561304893933,263.7267209207761,264.2365272214408,264.55025417569595
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,1.1103215491206255,1.5544501687688757,1.9985787884171258,2.664771717889501,3.219932492449814,4.552318351394565,8.216379463492627,10.992183336294191,11.32527980103038,14.545212293480192,20.207852193995382,27.313910108367384,40.08260792325458,55.96020607567952,72.72606146740097,95.48765322437379,112.80866939065554,147.8948303428673,182.75892698525493,243.82661218688935,294.12417836205367,335.7612364540771,403.1577544856991,498.09024693551254,586.4718422455144,653.7573281222243,780.4450168768876,854.6144963581454,920.5675963759105,978.5263812400071,1067.9072659442174,1130.5294013146208,1189.265411263102,1235.6768520163441,1279.6455853615207,1306.4043346953279,1330.4983123112454,1365.3624089536331,1403.4464380884706,1439.9760170545392,1470.9539882750046,1505.596020607568,1533.0209628708476,1547.4551430094157,1559.2245514300944,1580.4316930182981,1595.5320660863388,1604.1925741694797,1621.4025581808494,1627.953455320661,1633.28299875644,1641.3883460650206,1646.9399538106236,1657.0438799076214,1663.816841357257,1673.0325102149584,1680.3606324391544,1686.467400959318,1693.9065553384262,1700.3464203233257,1705.8980280689289
