country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Aug 01,Aug 02,Aug 03,Aug 04,Aug 05,Aug 06,Aug 07,Aug 08,Aug 09,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,Sep 01,Sep 02,Sep 03,Sep 04,Sep 05,Sep 06,Sep 07,Sep 08,Sep 09,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Oct 01,Oct 02,Oct 03,Oct 04,Oct 05,Oct 06,Oct 07,Oct 08,Oct 09,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,Nov 05,Nov 06,Nov 07,Nov 08,Nov 09,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,Dec 01,Dec 02,Dec 03,Dec 04,Dec 05,Dec 06,Dec 07,Dec 08,Dec 09,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,6.755,7.36,7.817,8.445,9.334,10.023,10.785,11.582,12.487,13.306,14.851,16.285,17.673,18.608,19.534,20.452,21.469,23.414,26.053,29.37,33.07,36.734,38.792,40.698,42.21,43.856,46.507,49.587,52.403,55.16,57.211,60.635,63.416,66.218,68.989,70.965,73.212,74.913,76.34,78.694,80.719,82.954,85.212,86.802,87.996,89.313,91.535,93.429,95.477,97.262,99.829,101.298,103.447,105.712,108.734,110.983,113.739,115.969,118.398,120.926,123.94,126.911,129.609,131.962,133.922,135.639,137.321,140.663,142.942,145.038,147.383,150.082,150.995,151.547,153.11,155.985,157.457,159.298,160.727,161.438,162.479,163.86,165.056,165.927,166.849,167.557,168.743,169.961,171.565,172.826,174.035,175.56,176.769,178.242,179.749,181.124,182.287,184.043,185.983,187.632,189.07,190.429,192.36,193.683,195.107,197.103,198.449,199.524,201.527,203.42,205.137,206.654,208.744,209.983,211.77,213.362,216.177,217.975,219.241,221.161,222.191,224.309,226.563,228.532,230.894,233.006,236.417,239.755,242.701,247.255,250.83,254.81,258.851,262.634,265.967,268.957,273.551,277.861,281.728,285.107,289.46,292.286,296.382,301.309,305.158,308.814,312.469,316.403,320.149,324.17,327.331,330.993,334.138,337.468,340.714,343.962,346.149,349.17,352.188,354.641,356.708,360.171,362.625,364.964,368.158,370.728,373.527,377.075,379.724,382.932,385.17,388.774,391.57,393.798,397.267,400.635,403.106,406.572,409.665,413.452,416.755,419.74,423.416,427.227,430.042,433.107,436.7,439.502,442.255,446.225,449.852,452.976,457.008,461.042,464.619,467.919,471.817,475.659,478.639,482.8,485.416,489.842,493.363,499.032,503.243,506.163,511.198,514.976,519.89,524.83,529.721,532.896,535.505,539.602,543.167,546.055,550.247,555.708,559.193,562.404,567.008,571.037,575.325,579.542,584.357,587.557,589.968,594.698,598.455,601.755,605.281,610.027,613.832,618.032,628.175,636.223,643.527,649.261,657.521,661.201,667.134,673.401,680.798,687.626,695.251,702.854,706.538,709.441,712.143,715.598,719.736,724.129,728.706,731.092,736.055,740.859,745.231,749.496,753.974,759.234,762.005,765.563,771.259,776.408,
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","",0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,,0.005,0.006,,0.006,0.007,0.007,0.007,0.007,,0.007,0.007,0.007,,0.008,,,0.008,0.008,0.009,0.01,0.013,0.016,0.018,0.019,0.02,0.024,0.032,0.038,0.045,0.055,0.073,0.087,0.111,0.127,0.17,0.22,0.299,0.391,0.487,0.61,0.731,0.895,1.106,1.304,1.479,1.648,1.862,2.147,2.531,2.964,3.464,3.858,4.124,4.606,5.228,5.798,6.421,7.112,7.657,8.106,8.707,9.47,10.261,11.025,11.557,12.014,12.318,12.618,13.194,13.986,14.768,15.542,16.066,16.442,17.055,17.834,18.657,19.395,20.061,20.476,20.792,21.516,22.332,23.016,23.706,24.126,24.489,24.851,25.576,26.452,27.204,27.913,28.335,28.688,29.067,29.796,30.613,31.331,31.976,32.61,33.002,33.333,34.03,34.808,35.51,36.191,36.915,37.387,37.746,38.447,39.124,39.763,40.324,40.895,41.227,41.426,41.961,42.566,43.062,43.53,43.919,44.12,44.319,44.756,45.181,45.561,45.91,46.258,46.412,46.517,46.86,47.236,47.613,48.024,48.357,48.516,48.639,49.004,49.43,49.831,50.209,50.632,50.87,51.097,51.515,51.927,52.356,52.792,53.269,53.426,53.569,53.729,54.117,54.622,55.059,55.557,55.774,55.941,56.354,56.802,57.241,57.682,58.124,58.342,58.513,59.053,59.621,60.238,60.757,61.34,61.652,61.818,62.43,63.168,63.87,64.581,65.348,65.787,66.034,66.758,67.543,68.192,68.879,69.739,70.254,70.527,71.133,71.944,72.684,73.376,74.12,74.592,74.87,75.548,76.266,76.98,77.75,78.657,79.135,79.359,80.051,80.869,81.699,82.558,83.569,84.183,84.551,85.426,86.466,87.569,88.647,89.922,90.619,91.043,92.126,93.631,95.079,96.604,98.398,99.635,100.297,101.933,103.844,105.766,107.969,109.984,111.407,112.393,114.205,116.297,118.393,120.556,122.716,124.153,125.13,126.271,127.982,129.951,132.185,134.392,135.812,136.538,138.197,140.349,142.592,144.933,147.524,149.216,150.29,152.349,155.303,158.558,161.808,165.424,168.158,169.768,172.675,176.466,180.689,185.024,189.249,192.909,194.925,198.249,202.685,206.428,210.404,214.776,218.165,220.093,223.149,227.195,231.442,235.479,239.245,241.695,242.977,245.822,249.303,252.378,255.289,258.212,259.724,260.566,263.0,264.643,266.933,269.427,271.84,273.202,273.877,276.084,278.384,280.499,282.418,284.6,285.749,286.351,288.43,290.595,292.712,294.647,296.773,297.985,298.611,300.749,303.193,305.552,307.939,310.595,312.097,312.935,315.398,318.322,321.198,323.741
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","",0.0,,0.0,,,,0.001,0.001,,0.001,0.001,0.001,,,,,0.002,0.002,0.002,,,0.002,0.002,0.003,0.003,,0.003,,0.004,0.005,0.011,0.03,0.04,0.053,0.062,0.075,0.086,0.102,0.121,0.142,0.161,0.201,0.3,0.44,0.592,0.709,0.831,0.932,1.057,1.232,1.396,1.608,1.927,2.13,2.234,2.326,2.52,2.714,2.951,3.229,3.593,3.832,4.057,4.612,5.167,5.781,6.774,7.916,8.554,8.936,10.071,11.173,12.145,12.587,12.988,13.373,13.743,14.114,15.188,16.161,17.081,17.91,18.308,18.633,19.785,21.472,23.476,25.632,28.19,30.336,32.119,35.115,37.923,40.699,43.453,45.947,47.871,49.425,52.494,55.221,57.695,60.176,61.622,63.045,64.2,67.04,69.592,72.14,74.383,76.571,77.9,79.121,81.759,84.345,86.842,88.305,90.429,91.945,93.441,96.6,99.359,101.912,104.184,106.218,107.458,108.776,110.282,112.964,115.288,117.336,119.003,120.379,121.717,124.627,127.329,129.912,132.423,134.991,136.719,138.283,141.341,144.483,147.802,150.826,153.76,155.848,157.819,161.524,165.134,168.601,171.507,174.241,175.878,177.512,180.743,183.831,186.872,189.524,191.996,193.658,195.339,198.419,201.27,204.016,206.485,208.934,210.6,212.177,215.333,218.219,221.041,223.662,226.126,227.968,229.856,233.0,235.882,238.754,241.481,244.262,246.287,248.499,252.076,255.594,259.085,262.632,266.071,268.541,271.254,275.37,279.676,283.971,288.607,293.282,296.871,300.485,305.829,311.616,317.612,323.443,329.065,333.423,337.843,343.987,350.528,357.272,363.835,369.999,374.943,379.701,386.497,393.359,400.276,406.954,413.073,417.421,421.779,428.621,435.391,442.301,449.001,455.93,460.861,466.003,474.257,482.601,491.03,500.034,508.765,515.903,523.135,532.757,542.452,552.237,561.216,570.106,577.021,584.093,593.439,603.214,612.797,622.101,630.999,637.833,644.668,653.98,662.733,670.966,678.643,686.086,691.888,697.749,706.793,716.041,724.682,732.929,739.771,744.465,749.085,756.068,762.327,768.518,774.601,780.596,785.263,790.487,798.809,806.493,814.686,823.232,831.936,839.842,848.808,860.191,872.808,884.911,896.599,907.602,916.441,925.373,937.437,950.14,962.447,974.723,986.662,996.844,1006.887,1020.866,1034.773,1047.896,1060.687,1073.091,1082.777,1092.318,1105.939,1120.168,1133.936,1146.905,1159.398,1169.35,1179.871,1193.165,1207.562,1221.351,1235.161,1247.561,1257.319,1267.337,1281.172,1295.37,1309.927,1325.132,1339.2,1350.124,1362.047,1378.911,1397.871,1416.678,1435.453,1452.927,1467.633,1482.591,1503.11,1522.411,1524.44,
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,0.008,,0.027,0.055,0.073,0.09,0.102,0.133,0.159,0.198,0.239,0.272,0.3,0.341,0.37,0.387,0.419,0.478,0.506,0.537,0.586,0.659,0.732,0.781,0.855,0.929,0.963,1.082,1.127,1.224,1.325,1.436,1.538,1.565,1.683,1.777,1.869,1.962,2.074,2.165,2.21,2.339,2.487,2.622,2.775,2.952,3.077,3.165,3.258,3.407,3.553,3.742,3.928,4.083,4.178,4.343,4.412,4.619,4.827,4.912,5.113,,5.529,5.654,5.855,6.025,6.263,6.417,6.542,6.741,6.878,7.092,7.298,7.527,7.692,7.802,7.954,8.117,8.31,8.501,8.712,8.946,9.043,9.222,9.449,9.681,9.88,10.05,10.212,10.38,10.558,10.796,10.999,11.306,11.603,11.871,12.053,12.327,12.534,12.786,13.121,13.464,13.662,13.912,14.208,14.477,14.799,15.093,15.429,15.671,15.772,16.109,16.486,16.802,17.133,17.459,17.732,17.926,18.298,18.591,18.938,19.29,19.643,19.956,20.172,20.519,20.897,21.263,21.69,22.196,22.552,22.765,23.085,,,,24.599,24.754,25.231,25.667,25.989,26.376,26.758,27.106,27.424,27.667,28.07,28.41,28.88,29.282,29.688,29.91,30.111,30.528,30.926,31.33,31.692,32.012,32.267,32.564,32.803,33.051,33.278,33.537,33.845,34.189,34.385,34.672,35.023,35.594,36.061,36.393,36.656,36.886,37.22,37.612,37.949,,38.655,38.908,39.224,39.586,39.994,40.314,40.778,41.136,41.445,41.684,,42.274,,42.941,43.35,43.55,,44.009,44.341,,45.053,45.455,,45.915,46.339,46.683,,,47.877,,48.271,48.764,49.011,,49.692,49.984,50.285,50.492,,,51.485,,,52.614,52.776,53.334,53.716,,54.822,55.193,,55.804,56.143,,56.819,,57.419,57.691,58.011,,,,,59.787,60.11,60.407,60.764,,61.779,,,63.211,63.357,63.79,,,,65.991,,,67.073,,,,69.427,,70.153,,71.386,,,72.893,,73.505,73.888,,
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,0.027,0.038,0.054,0.067,0.094,0.117,0.131,0.147,0.177,0.202,0.223,0.234,0.239,0.274,0.317,0.357,0.377,0.387,0.411,0.43,0.451,0.491,0.546,0.774,0.805,0.827,0.84,0.856,0.885,0.915,0.937,0.993,1.045,1.126,1.161,1.225,1.325,,,,1.765,1.84,1.909,1.947,2.101,2.206,2.478,2.622,,2.43,2.515,2.303,2.352,2.455,2.377,2.505,2.51,2.514,2.714,2.835,2.913,2.988,3.05,3.139,3.238,3.374,3.44,3.51,3.639,3.672,3.761,3.805,3.838,3.867,3.91,4.048,4.125,4.236,4.316,4.437,4.485,4.556,4.579,4.664,4.727,4.851,4.963,5.041,5.092,5.164,5.269,5.341,5.424,5.531,5.614,5.683,5.711,5.83,5.927,6.035,6.148,6.231,6.321,6.396,6.513,6.666,6.821,6.951,7.07,7.127,7.181,7.302,7.438,7.55,7.641,7.789,7.894,7.969,8.105,8.23,8.388,8.522,8.641,8.737,8.829,9.021,9.151,9.273,9.392,9.51,9.613,9.677,9.868,9.987,10.151,10.293,10.432,10.481,10.561,10.68,10.802,11.016,11.214,11.472,11.604,11.64,11.763,11.97,12.156,12.326,12.535,12.687,12.744,12.925,13.143,13.342,13.499,13.59,13.723,13.798,13.942,14.139,14.257,14.395,14.522,14.638,14.674,14.76,14.92,15.056,15.19,15.338,15.472,15.515,15.601,15.81,15.979,16.253,16.488,16.682,16.742,16.856,17.151,17.51,17.773,18.151,18.346,18.387,18.531,18.879,19.125,19.374,19.712,19.866,19.907,20.099,20.4,20.688,20.946,21.131,21.27,21.328,21.474,21.77,22.041,22.254,22.591,22.65,22.707,22.865,23.119,23.412,23.67,23.835,24.082,24.114,24.235,24.583,24.848,25.382,25.799,26.373,26.454,26.712,27.064,27.458,27.654,27.962,28.174,28.25,28.353,28.654,28.805,29.053,29.285,29.667,29.756,29.866,30.103,30.295,30.555,30.804,30.982,31.06,31.175,31.451,31.735,31.945,32.227,32.592,32.708,32.861,33.055,33.371,33.675,34.048,34.349,34.515,34.785,35.036,35.252,35.49,35.688,35.877,35.918,36.005,36.136,36.418,36.519,36.696,36.872,36.904,36.961,,
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,0.888,0.967,1.037,1.115,1.2,1.285,1.429,1.571,1.721,1.882,2.059,2.216,2.372,2.531,2.686,2.881,3.1,3.294,3.483,3.709,3.93,4.157,4.409,4.685,4.938,5.185,5.459,5.752,6.025,6.335,6.636,6.926,7.22,7.541,7.885,8.235,8.587,8.924,9.303,9.688,10.056,10.432,10.827,11.195,11.586,11.946,12.289,12.68,13.051,13.409,13.777,14.159,14.534,14.9,15.291,15.665,16.043,16.413,16.793,17.155,17.523,17.888,18.267,18.646,19.019,19.389,19.766,20.147,20.528,20.901,21.275,21.65,22.029,22.408,22.782,23.165,23.547,23.943,24.328,24.701,25.086,25.463,25.837,26.212,26.588,26.97,27.345,27.73,28.115,28.496,28.879,29.254,29.633,30.011,30.395,30.779,31.162,31.545,31.918,32.291,32.669,33.061,33.443,33.824,34.199,34.575,34.954,35.334,35.72,36.09,36.462,36.835,37.211,37.594,37.973,38.357,38.739,39.116,39.496,39.877,40.259,40.638,41.022,41.402,41.79,42.168,42.551,42.929,43.314,43.692,44.077,44.449,44.825,45.206,45.584,45.961,46.334,46.719,47.099,47.482,47.862,48.233,48.614,48.998,49.377,49.762,50.143,50.526,50.91,51.288,51.663,52.038,52.418,52.792,53.177,53.562,53.945,54.327,54.713,55.088,55.466,55.815,56.195,56.723,57.258,57.787,58.32,59.167,59.546,59.919,60.29,60.663,61.041,61.423,61.8,62.185,62.565,62.935,63.307,63.679,64.05,64.426,64.809,65.193,65.569,65.941,66.313,66.693,67.531,68.066,68.441,68.814,69.193,69.576,69.953,70.334,70.709,71.086,71.466,71.844,72.227,72.602,72.985,73.356,73.729,74.109,,,75.203,,,,,,,77.851,78.227,78.602,,79.354,,80.11,80.488,80.865,,81.624,,,,,,,,,85.197,,,86.34,,87.094,87.464,87.844,88.228,,,89.373,,90.135,,,,
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.01,0.017,0.027,0.033,0.047,0.063,0.085,0.112,0.139,0.193,0.215,0.23,0.279,0.325,0.381,0.484,0.64,0.765,1.144,1.386,1.533,1.943,2.228,2.535,3.022,3.147,3.541,4.617,5.418,6.305,7.276,8.077,8.732,9.626,11.152,12.218,14.167,15.394,16.459,17.147,18.487,19.512,20.918,22.118,23.372,24.085,24.424,25.704,27.104,28.81,30.089,31.74,32.326,32.836,33.961,35.213,36.518,37.455,38.381,38.892,39.311,40.275,41.749,43.13,44.136,44.713,45.34,45.846,47.26,48.588,49.938,51.085,51.993,52.563,53.103,54.031,55.049,56.076,56.945,57.64,58.252,58.874,60.019,60.953,62.125,62.921,63.556,64.031,64.772,66.128,67.516,68.554,69.475,70.393,71.014,71.665,72.645,73.791,74.744,75.752,76.531,77.15,77.672,78.764,79.845,80.74,81.615,82.388,82.944,83.554,84.607,85.938,87.068,88.256,88.898,89.298,89.566,90.034,90.295,90.637,91.175,91.602,91.944,92.289,93.049,93.675,94.355,94.744,94.996,95.289,95.574,96.178,96.728,97.183,97.613,97.932,98.094,98.303,98.695,99.188,99.588,99.998,100.264,100.409,100.494,100.856,101.304,101.738,102.075,102.4,102.606,102.724,102.982,103.474,104.088,104.736,105.223,105.541,105.778,106.381,107.246,108.106,108.995,110.249,110.591,111.576,112.93,114.206,115.267,116.537,117.645,118.571,118.866,120.048,121.074,121.898,122.691,123.737,124.156,124.471,125.635,126.914,128.155,129.352,130.435,131.046,131.253,133.327,134.791,136.799,138.783,140.91,141.922,142.594,144.254,146.131,147.932,149.769,152.048,153.65,155.016,157.322,159.705,162.415,164.467,167.488,169.24,170.734,173.58,175.873,178.867,181.503,184.153,186.509,189.425,192.551,195.429,198.248,200.556,203.34,204.737,205.49,208.087,209.523,212.671,214.551,216.845,218.051,219.136,221.721,223.723,225.961,227.732,229.833,230.874,231.786,233.966,235.974,237.74,239.756,241.351,242.897,243.809,245.779,248.082,250.361,252.386,255.652,257.217,258.541,260.984,264.415,267.217,270.244,273.926,276.569,279.416,282.782,286.418,290.361,293.981,298.346,302.278,304.911,308.853,313.009,318.377,323.534,327.625,331.338,334.145,337.197,341.503,345.734,349.769,354.1,358.066,361.021,364.123,368.954,373.014,376.526,381.341,385.637,387.827,390.907,395.186,399.504,402.131,407.925,410.58,413.578,417.026,421.473,426.083,
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,,0.001,,0.001,,0.003,,,0.003,,,,,0.006,,0.007,0.008,0.009,0.009,0.01,0.011,0.011,0.016,0.017,0.02,0.022,0.024,0.028,0.031,0.034,0.036,0.04,0.043,0.047,0.054,0.06,0.066,0.069,0.076,0.085,0.093,0.102,0.11,0.119,0.127,0.136,0.143,0.155,0.163,0.173,0.194,0.21,0.219,0.231,0.247,0.264,0.284,0.303,0.319,0.34,0.363,0.394,0.426,0.461,0.498,0.513,0.551,0.572,0.605,0.636,0.696,0.705,0.729,0.759,0.797,0.84,0.884,0.927,0.952,0.978,1.012,1.048,1.092,1.143,1.191,1.244,1.285,1.325,1.379,1.437,1.486,1.535,1.577,1.626,1.671,1.717,1.759,1.801,1.843,1.882,1.91,1.943,1.978,2.018,2.066,2.114,2.148,2.18,2.209,2.221,2.232,2.248,2.267,2.295,2.317,2.334,2.37,2.4,2.445,2.485,2.519,2.557,2.588,2.633,2.693,2.758,2.818,2.881,2.925,2.982,3.046,3.106,3.169,3.243,3.326,3.387,3.443,3.511,3.596,3.674,3.738,3.804,3.864,3.935,3.999,4.078,4.158,4.253,4.332,4.428,4.531,4.657,4.785,4.936,5.129,5.301,5.473,5.665,5.851,6.038,6.238,6.41,6.585,6.749,6.913,7.075,7.232,7.396,7.563,7.75,7.918,8.076,8.262,8.443,8.649,8.862,9.081,9.25,9.379,9.515,9.66,9.765,9.837,9.899,9.979,10.067,10.139,10.232,10.303,10.393,10.463,10.533,10.592,10.667,10.739,10.802,10.869,10.927,10.968,11.014,11.067,11.124,11.184,11.251,11.322,11.374,11.42,11.492,11.55,11.62,11.684,11.748,11.801,11.856,11.918,11.978,12.036,12.092,12.155,12.212,12.269,12.324,12.382,12.439,12.504,12.565,12.605,12.657,12.711,12.779,12.83,12.886,12.937,12.987,13.033,13.085,13.136,13.177,13.229,13.276,13.31,13.347,13.393,13.44,13.488,13.543,13.587,13.624,13.656,13.699,13.744,13.792,13.84,13.88,13.923,13.958,14.004,14.055,14.1,14.147,14.195,14.237,14.28,14.318,14.374,14.424,14.477,14.524,14.561,14.607,14.644,14.694,14.745,14.801,14.842,14.884,14.917,14.965,15.011
