country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2.0,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.7,3.166,3.265,3.333,3.29,3.342,3.346,3.389,3.441,3.515,3.549,"","",3.668,3.771,3.843,3.225,3.5,3.2,3.591,3.507,2.864,2.953,3.077,3.199,3.316,3.093,""
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.7,2.7,2.8,2.8,2.8,3.0,3.0,3.0,3.0,3.1,3.3,3.3,3.4,3.442,3.485,3.587,3.613,3.603,3.606,3.633,3.69,3.735,3.713,3.591,3.483,3.531,3.59,3.645,3.791,""
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,0.21,"","","","",0.205,"","","","",0.205,"","","","",0.204,"","","","",0.371,0.27,"","",0.396,"","","",0.407,"","",1.225,0.48,0.407,"","","","",0.513,"",0.527,0.538,0.557,0.564,0.573,0.577,0.587,0.6,0.615,0.624,0.663,0.739,0.699,"",0.725,"",0.758
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,0.021,"","","","",0.032,"","","","",0.037,"","","","",0.037,"","","",0.085,"",0.08,"",0.106,"","","","","",0.142,0.144,0.148,"",0.058,0.16,"","","","","",0.162,"","",0.134,"","",0.13,0.288,"",0.145,0.14,"",0.201,"","","",""
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,0.244,"","","","",0.257,"","","","",0.306,"","","","","","","","","","",0.338,"","","","",0.347,0.376,0.318,"","","","",0.318,"","",0.85,"",1.049,"","","","","",0.877,0.882,"","","","",0.89,"","","",1.491,"",""
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,0.195,"","","","",0.2,"","","","",0.309,"","","","","","","","","",0.563,0.568,"","","","",0.596,0.576,"","",0.603,"","",0.603,"","","","",0.55,"","",0.543,"","",0.658,0.66,"",0.528,"","",0.639,"","","",0.854,"",""
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.2,2.4,2.4,2.6,2.786,"",2.94,3.08,3.187,"","",2.625,2.667,2.647,2.777,2.868,2.961
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,2.472,"","","","",2.5,"","","","",2.881,2.974,3.156,3.304,"","","","","",2.694,3.094,3.167,3.214,3.323,3.353,3.215,3.2,3.207,3.21,3.195,3.207,3.303,3.657,3.696,3.731,4.857,3.766,3.793,3.775,3.915,3.766,3.91,"",3.82,"","",3.67,3.633,"","",3.414,3.345,3.344,3.539,3.619,3.576,""
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.8,3.7,3.9,4.1,4.0,4.1,4.2,4.2,4.4,4.4,4.1,4.203,"",3.7,"",4.242,3.802,"","",3.861,3.93,3.945,3.898,4.021
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,0.386,"","","","",0.502,"","","","",0.38,"","","","","","","","",0.361,"",0.359,"","",0.489,"","","","","",0.57,"","",0.472,"",0.57,1.401,1.401,"","","","","",0.85,"","","","",0.406,"","","",0.364,0.482,0.392,0.429,0.472
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,"",1.4,1.5,1.5,"",1.6,"",1.733,"",1.784,"",1.858,"",1.93,"",1.985,"",2.035,"",2.081,"",2.133,"",2.186,"",2.252,"",2.227,"",2.297,"",2.367,"",""
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,0.346,"","","","",0.37,"","","","",0.404,"","","","",0.378,"","","","",0.786,1.114,1.128,"",1.159,"","","","","","",1.348,"","",1.625,"","",1.66,1.058,2.065,2.008,2.191,2.372,2.454,2.204,2.421,2.482,2.653,2.425,2.342,2.487,"","",2.591,2.65,3.426,""
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",3.036,3.154,3.253,3.396,3.531,3.629,3.724,3.791,3.872,3.962,3.976,3.839,3.908,3.766,3.604,3.635,3.639,3.301,3.528,3.201,3.292,3.302,3.612,3.539,3.6,3.7,3.88,3.877,3.7,3.687,3.506,3.548,3.489,3.501,3.274,"",""
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,0.092,"","","","",0.075,"","","","",0.125,"","","","",0.127,"","","","","",0.099,0.12,"","",0.154,"","","","",0.045,"","",0.138,"",0.132,"","","","","","",0.138,"","","","","",0.173,0.176,0.177,0.182,0.19,0.199,0.204,"",""
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,0.541,"","","","","","","","","",0.613,"","","","","","","","","",0.516,"","","","","",0.497,"","","",0.193,0.176,0.186,0.13,"","","","","","","","","","","","","","",0.254,0.327,0.376,"","",0.203,"","",""
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,0.871,"","","","",1.263,"","","","",0.954,"","","","","","","","","",1.698,1.412,1.62,"","","",1.566,"","","",0.183,"","","","",1.783,"",1.89,"","","","","",1.9,1.5,1.8,1.445,1.856,1.846,1.853,2.376,2.402,2.415,2.486,2.608,2.608,""
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.602,3.088,2.769,3.061,2.928,3.039,3.147,3.25,3.323,3.369,3.374,3.412,3.349,3.118,3.096,3.208,3.293,3.058,3.01,2.875,2.823,2.679,2.6,2.6,2.5,"",2.39,2.301,2.464,2.441,1.881,1.911,1.894,1.886,1.854,"",""
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,0.02,"","","","",0.041,"","","","",0.066,"","","","","",0.051,"","","","","","","","",0.729,"","","","",0.234,"","","","",0.341,0.586,"","","",0.284,"","","",0.353,0.281,"","","",0.197,0.272,"",0.179,0.447,0.491,"",""
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",3.623,"","","","",4.099,4.077,4.112,4.183,4.162,4.694,4.614,4.098,3.64,3.438,3.376,3.509,3.448,3.298,3.358,3.43,3.302,3.419,3.447,3.583,3.684,3.793,3.691,3.935,3.761,3.117,3.128,3.14,3.193,3.223,3.209,""
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,0.778,"","","","",0.938,"","","","",0.726,"","","","","","","","",1.693,"",1.714,"",1.255,"","","","","",1.862,"",1.326,"",1.862,"","","",2.1,"","","",3.424,"","","","",2.899,2.738,"","",2.671,2.968,"","",2.38,"",""
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,0.042,"","","","",0.048,"","","","",0.032,"","","","",0.032,"","","","","","","","","",0.071,"","","","",0.043,"","",0.05,"",0.054,"","","","","","","",0.047,"","","","","","","","","","","","",""
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,0.077,"","","","",0.08,"","","","",0.079,"","","","",0.08,"","","","","",0.106,"",0.107,"","","","","","","","","","","","","",0.023,"","","","","","",0.032,"","","",0.014,"",0.023,"","","","","",""
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,0.152,"","","","",0.259,"","","","",0.368,"","","","","","","","","",1.333,1.633,1.562,1.44,"","","","","","",1.071,"","",1.441,"","","",1.259,"","","","","","",1.24,"","","",1.823,1.934,1.9,"","","",2.092,"",""
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",3.72,3.816,3.885,3.941,3.977,4.027,3.905,3.928,3.978,4.091,4.062,4.098,4.129,4.125,4.147,4.01,4.027,"","","","",3.95,4.034,3.664,"",3.915,4.041,4.178,4.268,4.33,4.379,""
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.5,1.7,1.7,1.7,1.8,1.9,1.8,1.9,2.0,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.73,2.852,"",2.862,"","",2.764,2.748,2.776,2.799,2.855,2.92,2.921
Macao,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197493.svg,0.41,"","","","","","","","","",0.634,"","","","","","","","","",1.067,1.122,"","","","",2.428,1.562,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,"","","","","","","","","","",0.89,0.919,0.953,1.012,1.025,1.121,1.114,1.158,1.238,1.311,1.344,1.466,1.495,1.679,1.671,1.809,1.901,1.952,2.033,2.14,2.168,2.342,2.371,2.343,2.315,2.297,2.251,2.249,2.246,2.211,2.201,2.191,"","","","",2.546,"",2.627,2.605,2.687,2.734,2.781,2.8,"",2.875,""
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,0.115,"","","","",0.093,"","","","",0.097,"","","","",0.096,"","","","","",0.099,"","","",0.101,"","","","",0.12,"","","","",0.272,0.107,"","","","",0.087,0.136,0.148,0.157,0.181,0.171,0.182,0.187,0.182,0.196,0.144,0.143,"","","",""
Malawi,Africa,https://cdn.countryflags.com/thumbs/malawi/flag-button-round-250.png,0.027,"","","","",0.021,"","","","",0.013,"","","","","","","","","","",0.019,"","",0.087,"","","","",0.023,0.022,"","",0.028,"","","","","","","","","",0.011,0.021,"","","",0.018,0.018,0.019,"","","","","",""
Malaysia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/malaysia/flag-button-round-250.png,0.143,"","","","",0.161,"","","","",0.232,"","","","",0.234,"","","","",0.255,0.255,"","","",0.315,0.335,0.348,0.367,0.374,0.392,0.393,0.411,0.431,0.449,0.478,0.496,0.658,"",0.683,0.689,"",0.697,"","","","","",0.923,"",1.173,1.281,"","","",1.533,""
Maldives,Asia & the Pacific,https://cdn.countryflags.com/thumbs/maldives/flag-button-round-250.png,"","","","","","","","","","",0.033,"","","","","","","","","","",0.049,0.065,"","","","","","",0.072,0.07,0.192,"",0.285,"",0.4,0.666,"","","",0.777,"","","",1.007,"","",1.749,"",1.61,1.579,"","","",2.154,3.611,""
Mali,Africa,https://cdn.countryflags.com/thumbs/mali/flag-button-round-250.png,0.014,"","","","",0.019,"","","","",0.023,"","","","",0.023,"","","","",0.039,0.038,"","","",0.039,"",0.043,0.054,"",0.051,"","","",0.047,0.043,0.063,"","","",0.044,"","","",0.084,"","",0.077,0.049,0.076,0.085,"","","","","",""
Malta,Europe,https://cdn.countryflags.com/thumbs/malta/flag-button-round-250.png,0.891,"","","","","","","","","",1.072,1.026,"","","",1.276,"","","","","",1.172,1.266,"",1.38,"","",2.032,2.015,1.973,2.259,2.446,2.422,2.453,"","","",2.465,2.607,2.591,2.654,2.926,"",3.183,"","",3.88,3.351,"",3.073,3.104,3.185,3.323,3.518,3.749,3.908,""
Marshall Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/marshall-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.422,"","","",0.471,"","","","","","",0.595,0.456,"",0.438,"",0.456,"","","",""
Mauritania,Africa,https://cdn.countryflags.com/thumbs/mauritania/flag-button-round-250.png,0.024,"","","","",0.027,"","","","",0.056,"","","","",0.055,"",0.069,"","","","","","",0.083,0.113,"","","","",0.063,"","",0.063,"",0.138,"","","","","","","","",0.102,"","","","",0.127,0.13,"","",0.068,"","",""
Mauritius,Africa,https://cdn.countryflags.com/thumbs/mauritius/flag-button-round-250.png,0.215,"","","","",0.255,"","","","",0.24,"","","","",0.235,"","","","",0.521,0.552,"","","",0.529,"","","",0.858,0.811,0.835,0.847,0.844,0.845,0.85,"","","","","","","","",1.072,"","",1.156,1.171,1.187,1.202,1.246,1.368,1.619,1.915,2.003,""
Mexico,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/mexico/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.1,1.3,1.4,1.5,1.6,1.6,1.4,1.2,1.7,1.905,1.5,1.5,1.5,2.893,1.749,1.864,1.888,1.925,1.959,1.922,2.019,2.029,2.071,2.118,2.231,""
Moldova,Europe,https://cdn.countryflags.com/thumbs/moldova/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.816,2.895,3.007,3.089,3.193,3.297,3.37,3.444,3.52,3.573,3.55,3.484,3.51,3.555,3.564,3.513,3.562,3.582,3.631,3.245,3.18,2.694,"",2.636,"","",2.66,2.668,"","",2.439,2.467,2.469,2.561,2.537,3.198,""
Monaco,Europe,https://cdn.countryflags.com/thumbs/monaco/flag-button-round-250.png,"","","","","","","","","","",2.4,1.958,2.208,2.25,2.375,2.36,2.417,2.4,2.32,2.36,2.385,2.231,2.185,"","","","","","",2.857,"","",3.0,"","",5.81,"","","","","","","","","","","","","","","",6.722,6.791,6.661,6.645,"",""
Mongolia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/mongolia/flag-button-round-250.png,0.91,"","","","",1.378,"","","","",1.729,"","","","","","","","","","","","","","","","","","","",2.538,2.695,2.618,"","","","","",2.433,2.54,"","",2.755,"","","","","",2.884,2.675,2.764,2.879,3.061,3.117,3.196,3.262,""
Montenegro,Europe,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.03,1.986,"",2.087,2.039,2.008,2.031,2.142,2.188,2.343,""
Morocco,Africa,https://cdn.countryflags.com/thumbs/morocco/flag-button-round-250.png,0.106,"","","","",0.082,"","","","",0.076,"","","","",0.076,"","","","","",0.054,0.064,"","","","",0.217,0.214,"","","","",0.214,0.363,"","",0.46,"","","",0.483,"","",0.531,"","",0.589,"",0.652,0.62,"","","",0.618,"",""
Mozambique,Africa,https://cdn.countryflags.com/thumbs/mozambique/flag-button-round-250.png,0.043,"","","","",0.056,"","","","",0.053,"","","","","","","","","",0.025,0.027,0.026,"","",0.021,"","","",0.028,0.012,"","","","","","","","","",0.024,"","","",0.025,"",0.025,"",0.026,0.044,0.047,0.051,0.053,0.055,"","",""
Myanmar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/myanmar/flag-button-round-250.png,0.065,"","","","",0.085,"","","","",0.114,"","","","","","","","","","",0.203,"","","",0.27,"","","",0.081,0.078,"","","","",0.293,"","","",0.297,0.302,"","","",0.359,0.372,0.407,0.43,0.465,0.478,0.511,0.539,0.568,"","","",""
Namibia,Africa,https://cdn.countryflags.com/thumbs/namibia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.231,0.232,"","","","",0.295,"","","","","","",0.299,"","",0.372,"","",0.374,"","","","","",""
Nauru,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nauru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.605,"","","","","","","","",0.989,"","","",0.995,0.997,0.998,1.394,"","","","",""
Nepal,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nepal/flag-button-round-250.png,0.013,"","","","",0.021,"","","","",0.019,"","","","",0.019,"","","","",0.034,"","","",0.031,0.034,"",0.051,0.051,0.054,0.051,0.062,0.076,0.074,"",0.04,0.04,0.04,0.04,"","",0.052,"","",0.214,"","","","","","","",0.506,0.545,0.598,"",""
Netherlands,Europe,https://cdn.countryflags.com/thumbs/netherlands/flag-button-round-250.png,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2.0,2.0,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,"","","","","","",2.9,3.1,3.2,3.3,3.1,3.149,"",3.71,"",3.921,"","","","","","",3.424,3.478,""
New Zealand,Oceania,https://cdn.countryflags.com/thumbs/new-zealand/flag-button-round-250.png,"",1.1,"","","","",1.1,"","","","",1.1,"",1.2,"","",1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.2,2.2,2.2,"",2.311,2.067,2.2,"","","",2.302,2.547,2.679,2.612,2.641,2.698,2.818,2.852,3.061,""
Nicaragua,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/nicaragua/flag-button-round-250.png,0.34,"","","","",0.378,"","","","",0.453,"","","","",0.46,"","","","",0.416,0.426,"","",0.637,"","","",0.471,"",0.657,"","","","",0.82,"",0.856,"","","","","",0.39,"",0.505,0.498,0.533,0.657,0.713,0.739,0.827,0.876,0.916,0.914,"",""
Niger,Africa,https://cdn.countryflags.com/thumbs/niger/flag-button-round-250.png,0.011,"","","","",0.016,"","","","",0.017,"","","","",0.016,"","","","","","","","",0.025,"","","","","",0.018,"",0.027,"",0.023,"",0.024,0.035,0.033,"","","",0.033,"",0.023,"","","",0.019,"",0.019,"","","","","",""
Nigeria,Africa,https://cdn.countryflags.com/thumbs/nigeria/flag-button-round-250.png,0.017,"","","","",0.043,"","","","",0.05,"","","","",0.049,"","","","",0.113,"",0.149,"","",0.192,0.187,"","",0.192,"","",0.185,0.192,"","","","","","",0.269,"","",0.263,"",0.281,0.346,0.376,0.374,0.376,0.395,"","","","","",""
North Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/north-korea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","",2.549,2.511,"","","","","","","","","","","",2.97,"","","","","","","",3.181,"","","","",3.297,"","",2.777,3.451,"",3.507,"",""
Norway,Europe,https://cdn.countryflags.com/thumbs/norway/flag-button-round-250.png,1.2,"",1.2,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.5,"","","",2.6,2.6,2.6,2.7,2.8,2.8,2.5,2.7,2.8,2.9,3.0,3.1,3.1,"","",3.77,3.889,4.076,4.053,4.112,4.187,4.232,4.303,4.42,4.385,""
Oman,Asia & the Pacific,https://cdn.countryflags.com/thumbs/oman/flag-button-round-250.png,0.03,"","","","",0.038,"","","","",0.108,"","","","",0.107,"","","","",0.467,"",0.549,"","",0.523,"",0.834,"",0.883,0.795,"","",0.884,"",1.13,"",0.862,0.943,0.977,1.455,"",1.257,"",1.581,1.668,1.793,1.892,1.958,2.014,1.991,1.971,1.99,"",1.541,"",1.915
Pakistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/pakistan/flag-button-round-250.png,0.185,"","","","","","","","","",0.232,"","","","",0.233,"","","","",0.285,0.344,0.342,"","","",0.351,"","","",0.462,0.48,0.528,0.54,0.554,0.568,0.591,0.609,0.626,0.644,0.664,0.681,"","",0.774,0.824,"",0.8,0.821,0.838,0.852,0.877,"","",0.806,0.978,""
Palau,Asia & the Pacific,https://cdn.countryflags.com/thumbs/palau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.404,"",1.58,"","","","","",1.299,"","",1.426,1.417,"","","",1.185,"",""
Palestine,Asia & the Pacific,https://vectorflags.s3-us-west-2.amazonaws.com/flags/ps-circle-01.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5,"","",0.837,"","","","","","","","","","","","","","",""
Panama,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/panama/flag-button-round-250.png,0.356,"","","","",0.478,"","","","",0.613,"","","","",0.597,"","","","","",0.993,"","",1.021,1.006,"","",1.793,"",1.113,1.122,1.144,1.178,1.126,1.167,1.206,1.204,1.194,1.233,1.502,1.245,1.337,1.343,1.325,1.352,1.354,1.309,1.388,1.317,1.414,1.508,1.609,1.594,"","",""
Papua New G.,Asia & the Pacific,https://cdn.countryflags.com/thumbs/papua-new-guinea/flag-button-round-250.png,"","","","","",0.079,"","","","",0.086,"","",0.056,"",0.085,"","","","",0.062,0.062,"","","",0.162,"","","","",0.073,"","","","","","","",0.073,"",0.051,"","","","","","","",0.051,"",0.055,"","","","","",""
Paraguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/paraguay/flag-button-round-250.png,0.534,"","","","",0.533,"","","","",0.435,"","","","",0.439,"","","",0.563,"",0.579,"","",0.701,0.675,"","",0.64,"",0.65,0.813,"","",0.28,0.73,"",1.098,"","",1.17,"",1.154,"","","","","","","","","",1.286,"","","",""
Peru,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/peru/flag-button-round-250.png,0.51,"","","","",0.605,"","","","",0.521,"","","","",0.526,"","","",0.692,0.716,0.76,0.846,0.902,0.908,0.929,0.984,0.983,0.965,1.035,1.064,"",1.03,"","",0.98,"",0.932,"",1.166,"","","","","","","","","",0.94,0.92,"",1.116,"","","",""
Philippines,Asia & the Pacific,https://cdn.countryflags.com/thumbs/philippines/flag-button-round-250.png,0.146,"","","","","","","","","",0.111,"","","","",0.113,"","","","",0.128,0.15,"","",0.154,0.154,"","","",0.124,0.119,"",0.108,"","","",1.23,1.24,"","",0.568,"",1.112,"",1.11,"","","","","","","","","","","",""
Poland,Europe,https://cdn.countryflags.com/thumbs/poland/flag-button-round-250.png,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.469,"",1.97,2.012,"",2.144,"",2.157,2.182,2.202,2.207,2.271,2.29,""
Portugal,Europe,https://cdn.countryflags.com/thumbs/portugal/flag-button-round-250.png,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.5,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.257,3.311,3.372,3.448,3.511,3.593,3.681,3.786,3.842,3.983,4.101,4.26,4.426,"",""
Puerto Rico,Latin America & the Caribbean,https://image.flaticon.com/icons/svg/323/323292.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.75,"","","","","","","","","","","","","","","","","","","","",""
Qatar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/qatar/flag-button-round-250.png,"","","","","","","","","","",0.513,"","","","","","","","","","",0.738,"","","","",1.676,"","","",1.5,"","","","","",1.26,1.26,"","","",2.217,"","","",2.569,2.34,"",3.319,3.222,3.919,"","","",1.964,"",""
Romania,Europe,https://cdn.countryflags.com/thumbs/romania/flag-button-round-250.png,1.269,"","","","",1.316,"","","","",1.185,1.208,"",1.242,"",1.318,1.332,1.355,1.377,1.413,1.476,1.541,1.635,1.972,1.724,1.762,1.783,1.79,1.805,1.811,1.802,1.816,1.866,1.77,1.765,1.768,1.81,1.791,1.836,1.909,1.889,1.887,1.972,1.905,"","",1.917,"","","",2.502,2.543,2.625,2.669,"","",""
Russia,Europe,https://cdn.countryflags.com/thumbs/russia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",3.871,3.939,4.004,4.04,4.085,4.07,4.046,3.872,3.972,3.835,3.859,4.096,4.155,4.209,4.194,"",4.172,4.0,4.252,4.0,4.0,4.309,"","","",5.0,4.244,4.031,4.022,4.163,3.975,""
Rwanda,Africa,https://cdn.countryflags.com/thumbs/rwanda/flag-button-round-250.png,0.008,"","","","",0.014,"","","","",0.017,"","","","",0.017,"","","","",0.032,0.031,"",0.029,"",0.027,"","","",0.04,"","","",0.04,"","","","","","","","",0.019,"",0.049,0.024,"","",0.052,0.055,0.055,"","","","",0.064,""
St K. & Nevis,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-button-round-250.png,0.235,"","","","","","","","","",0.312,"","","","","","","","","",0.36,"","","",0.458,"","","","","",0.686,0.683,0.75,0.765,0.921,1.073,1.106,1.094,1.036,1.024,1.095,1.06,"","","","","","","","","","","","","","",""
St Lucia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-lucia/flag-button-round-250.png,0.139,"","","","","","","","","",0.187,"","","","","","","","","","","","","",0.285,"","","","","",0.35,0.393,"",0.544,"",0.56,"",0.473,"","","",0.819,0.437,0.464,0.416,0.502,"",0.182,0.156,0.103,"","","","","","",""
St V. & G.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-button-round-250.png,0.1,"","","","","","","","","",0.182,"","","","","","","","","","","","","",0.266,"","","","","",0.46,0.135,"","","",0.46,"",0.935,"","",0.825,0.574,"","","","","","","","","","","","","","",""
Samoa,Asia & the Pacific,https://cdn.countryflags.com/thumbs/samoa/flag-button-round-250.png,0.441,"","","","","","","","","",0.35,"","","","","","","","","",0.361,0.404,"","","","",0.28,"","",0.207,"","",0.365,"","","",0.344,"",0.33,0.691,"","","",0.281,"",0.278,"","",0.463,"",0.344,"","","","","",""
San Marino,Europe,https://cdn.countryflags.com/thumbs/san-marino/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.06,2.218,2.181,2.247,2.166,2.287,2.399,2.519,2.538,2.423,"","","","","","","","","","","","","","","","","","","","","",5.01,5.261,5.225,6.363,"",""
Sao Tome & P.,Africa,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-button-round-250.png,0.3,"","","","","","","","","",0.233,"","","","","","","","","",0.438,0.419,"",0.537,"","","","","",0.546,0.53,"",0.328,"","","",0.467,"","","","","","","",0.541,"","","","","","","","","","","",""
