country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,"",1.5,1.6,1.7,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,"","",2.045,2.093,"","","",2.911,2.924,2.941,2.959,2.971,3.011,""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,0.242,"","","","","","","","","",0.342,"","","","","","","","","","","","","",0.272,"",0.451,"",0.472,"",0.639,"","",0.493,"",0.6,0.548,"","","",1.015,"","","","","","","","",0.768,0.828,"","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,0.04,"","","","",0.03,"","","","",0.034,"","","","","","","","","",0.059,0.059,"",0.075,"",0.073,"","","",0.071,0.051,0.042,0.055,0.057,0.061,0.058,"","","","","","","","",0.039,"","","",0.06,"",0.059,"",0.159,0.146,"","",0.153
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.125,0.102,"","","","","","","",0.333,"","","",0.17,0.16,"","","",0.051,"","","","",0.186,"","",0.211,0.246,"",0.023,"",0.261,0.269,0.319,0.324,0.381
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,0.267,"","","","",0.311,"","","","",0.509,"","","","",0.49,"","","","","",0.523,"","",0.697,"","","","","",0.45,"","",0.426,"",0.34,"",1.299,"","","",1.216,"","","","","",0.336,"","",0.444,0.473,"","","","",""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",1.033,1.089,1.17,1.207,1.28,1.362,1.419,1.485,1.52,1.557,1.57,1.555,"","","","","","",1.427,1.401,1.422,1.338,"",1.34,"",1.418,"","","",1.65,1.738,1.796,1.835,1.886,"","",""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,0.042,"","","","",0.036,"","","","",0.064,"","","","",0.133,"","","","",0.123,0.134,"",0.144,"","","","",0.2,0.194,"","","",0.194,0.238,"","","",0.253,0.297,0.287,0.289,0.3,0.291,0.389,0.25,0.312,"",0.338,0.345,0.336,"",0.384,"","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,0.374,"","","","",0.4,"","","","",0.492,"","","","",0.624,"","","","","",0.767,"","",0.927,1.467,"","",1.185,"",1.076,0.998,1.132,1.16,1.189,1.219,1.25,1.286,1.27,1.367,1.127,1.38,1.406,1.46,1.569,1.645,1.678,1.707,1.755,1.791,1.787,1.821,"",1.852,"","",""
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,0.146,"","","","","","","","","",0.3,"","","","","","","","","",0.435,0.487,"","",0.534,"","","","","","",0.746,"","","","",0.848,"","","",1.016,"",1.165,"",1.302,1.078,1.084,1.05,1.481,1.15,1.431,1.522,1.47,"","",1.746,""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,1.405,"","","","",1.667,"","","","",1.863,1.896,1.985,2.042,2.102,2.152,2.205,2.258,2.321,2.408,2.46,2.484,2.588,2.688,2.759,2.865,2.953,3.022,3.09,3.139,3.17,2.979,3.166,3.359,3.327,3.458,3.539,3.447,3.449,"",3.399,"","",3.562,"","",3.66,3.665,3.635,"",3.775,3.859,3.916,3.984,3.999,"",""
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,0.011,"","","","",0.014,"","","","",0.01,"","","","","","","","","",0.018,0.018,"",0.018,"","",0.004,"","",0.029,"","","","","",0.034,0.035,0.038,"","","",0.04,"","",0.054,"",0.028,"",0.032,0.045,0.046,0.038,0.047,"","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,0.01,"","","","",0.017,"","","","",0.017,"","","","",0.012,"","","","","","","","",0.047,"",0.058,"","","",0.058,0.059,"",0.056,"",0.055,"","","","",0.052,"","","",0.026,"","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,0.028,"","","","",0.045,"","","","",0.062,"","","","","","","","","","","","",0.058,"","","","","","","","",0.107,0.104,0.105,"",0.113,"",0.147,0.296,0.168,"","","","","","","",0.244,0.237,0.229,0.226,0.165,0.168,0.143,"",""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,0.034,"","","","",0.037,"","","","",0.034,"","","","",0.072,"","","",0.071,"","","","","","","","","",0.084,0.082,"",0.084,0.073,"","",0.074,"","","","","","","",0.177,0.058,"",0.069,"",0.067,0.083,"","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,"",1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,1.863,2.1,"",1.889,1.899,"",1.899,"",1.911,"",1.961,"",2.041,"","",2.453,2.497,2.539,""
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,0.077,"","","","","","","","","",0.082,"","","","","","","","","",0.176,"","",0.2,"","",0.329,"",0.342,"","","",0.234,"","","",0.171,"","","","","","","",0.493,"","","","",0.516,0.595,0.59,0.519,0.607,"",0.788,""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,0.02,"","","","",0.03,"","","","",0.023,"","","","","","","","","",0.043,0.044,0.043,"","","","","","",0.039,0.038,"","",0.055,"",0.035,"","","","","","","","",0.083,"","","",0.04,0.047,"","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,0.014,"","","","",0.014,"","","","",0.016,"","","","","","","",0.021,"","","","","","","",0.026,"","",0.026,"","","","",0.033,"","",0.026,0.02,0.029,0.028,0.025,"","",0.036,"",0.035,"","","","","",0.042,0.044,"","",""
