Apple,US,961.3
Microsoft,US,946.5
Amazon,US,916.1
Alphabet,US,863.2
Berkshire Hathaway,US,516.4
Facebook,US,512
Alibaba,China,480.8
Tencent Holdings,China,472.1
JPMorgan Chase,US,368.5
Johnson & Johnson,US,366.2
Visa,US,351.9
ExxonMobil,US,343.4
ICBC,China,305.1
Walmart,US,296.1
Bank of America,US,287.3
Nestle,Switzerland,281.3
Samsung Electronics,South Korea,272.4
Procter & Gamble,US,265.3
Royal Dutch Shell,Netherlands,264.9
Intel,US,263.1
Cisco Systems,US,248.3
Mastercard,US,247.1
Verizon Communications,US,239.7
Walt Disney,US,238.1
AT&T,US,233.3
Chevron,US,228.3
Home Depot,US,226.8
China Construction Bank,China,225
Nike,US,224.3
Taiwan Semiconductor,Taiwan,222.4
Roche Holding,Switzerland,222
Ping An Insurance Group,China,220.2
Pfizer,US,218.6
Wells Fargo,US,214.7
Boeing,US,214.5
UnitedHealth Group,US,212.8
Coca-Cola,US,203
PetroChina,China,198.7
China Mobile,Hong Kong,197.6
Agricultural Bank of China,China,197
Comcast,US,192
Merck & Co.,US,189.1
Oracle,US,186.3
PepsiCo,US,178.2
Kweichow Moutai,China,177.1
Toyota Motor,Japan,176.6
Anheuser-Busch InBev,Belgium,175.7
Novartis,Switzerland,175.6
HSBC Holdings,UK,175.5
Citigroup,US,161.1
Netflix,US,157.3
Unilever,Netherlands,153.6
L'Oréal,France,153
BP,UK,149.51
Total,France,149.5
McDonald's,US,148.8
Bank of China,China,143
BHP Group,Australia,138.3
SAP,Germany,134.9
Adobe,US,132
Philip Morris International,US,131.5
China Merchants Bank,China,130.4
Abbott Laboratories,US,129.8
Reliance Industries,India,126.4
Broadcom,US,126.1
3M,US,126.1
PayPal,US,125.8
Union Pacific,US,125.6
IBM,US,124.9
Honeywell International,US,123.1
AIA Group,Hong Kong,122.2
Salesforce.com,US,120.9
Eli Lilly,US,119.3
United Technologies,US,118.1
Novo Nordisk,Denmark,116.3
Tata Consultancy Services,India,116.1
RBC,Canada,114.9
AbbVie,US,114.7
China Life Insurance,China,114.2
Accenture,Ireland,113.9
NVIDIA,US,113.4
Medtronic,Ireland,113
Softbank,Japan,112.4
Naspers,South Africa,111.3
Amgen,US,109.3
Texas Instruments,US,108.4
Costco Wholesale,US,108.1
Sinopec,China,105.6
AIRBUS,Netherlands,104.9
Thermo Fisher Scientific,US,103.9
TD Bank Group,Canada,103.8
Allianz,Germany,102.3
Sanofi,France,102
Altria Group,US,101.8
Saudi Basic Industries,Saudi Arabia,100.01
Rio Tinto,UK,100
AstraZeneca,UK,99.2
Linde,UK,98.3
United Parcel Service,US,98.3
Inditex,Spain,98
