Manchester United,38,28,5,5,43,89
Manchester City,38,23,9,6,32,78
Chelsea FC,38,22,9,7,36,75
Arsenal FC,38,21,10,7,35,73
Tottenham Hotspur,38,21,9,8,20,72
Everton FC,38,16,15,7,15,63
Liverpool FC,38,16,13,9,28,61
West Bromwich Albion,38,14,7,17,-4,49
Swansea City,38,11,13,14,-4,46
West Ham United,38,12,10,16,-8,46
Norwich City,38,10,14,14,-17,44
Fulham FC,38,11,10,17,-10,43
Stoke City,38,9,15,14,-11,42
Southampton FC,38,9,14,15,-11,41
Aston Villa,38,10,11,17,-22,41
Newcastle United,38,11,8,19,-23,41
Sunderland AFC,38,9,12,17,-13,39
Wigan Athletic,38,9,9,20,-26,36
Reading FC,38,6,10,22,-30,28
Queens Park Rangers,38,4,13,21,-30,25
