Chelsea FC,38,29,4,5,50,91
Manchester United,38,25,8,5,38,83
Liverpool FC,38,25,7,6,32,82
Arsenal FC,38,20,7,11,37,67
Tottenham Hotspur,38,18,11,9,15,65
Blackburn Rovers,38,19,6,13,9,63
Newcastle United,38,17,7,14,5,58
Bolton Wanderers,38,15,11,12,8,56
West Ham United,38,16,7,15,-3,55
Wigan Athletic,38,15,6,17,-7,51
Everton FC,38,14,8,16,-15,50
Fulham FC,38,14,6,18,-10,48
Charlton Athletic,38,13,8,17,-14,47
Middlesbrough FC,38,12,9,17,-10,45
Manchester City,38,13,4,21,-5,43
Aston Villa,38,10,12,16,-13,42
Portsmouth FC,38,10,8,20,-25,38
Birmingham City,38,8,10,20,-22,34
West Bromwich Albion,38,7,9,22,-27,30
Sunderland AFC,38,3,6,29,-43,15
