Blackburn Rovers,42,27,8,7,41,89
Manchester United,42,26,10,6,49,88
Nottingham Forest,42,22,11,9,29,77
Liverpool FC,42,21,11,10,28,74
Leeds United,42,20,13,9,21,73
Newcastle United,42,20,12,10,20,72
Tottenham Hotspur,42,16,14,12,8,62
Queens Park Rangers,42,17,9,16,2,60
Milton Keynes Dons,42,15,11,16,-17,56
Southampton FC,42,12,18,12,-2,54
Chelsea FC,42,13,15,14,-5,54
Arsenal FC,42,13,12,17,3,51
Sheffield Wednesday,42,13,12,17,-8,51
West Ham United,42,13,11,18,-4,50
Everton FC,42,11,17,14,-7,50
Coventry City,42,12,14,16,-18,50
Manchester City,42,12,13,17,-11,49
Aston Villa,42,11,15,16,-5,48
Crystal Palace,42,11,12,19,-15,45
Norwich City,42,10,13,19,-17,43
Leicester City,42,6,11,25,-35,29
Ipswich Town,42,7,6,29,-57,27
