Chelsea FC,38,27,5,6,71,86
Manchester United,38,27,4,7,58,85
Arsenal FC,38,23,6,9,42,75
Tottenham Hotspur,38,21,7,10,26,70
Manchester City,38,18,13,7,28,67
Aston Villa,38,17,13,8,13,64
Liverpool FC,38,18,9,11,26,63
Everton FC,38,16,13,9,11,61
Birmingham City,38,13,11,14,-9,50
Blackburn Rovers,38,13,11,14,-14,50
Stoke City,38,11,14,13,-14,47
Fulham FC,38,12,10,16,-7,46
Sunderland AFC,38,11,11,16,-8,44
Bolton Wanderers,38,10,9,19,-25,39
Wolverhampton Wanderers,38,9,11,18,-24,38
Wigan Athletic,38,9,9,20,-42,36
West Ham United,38,8,11,19,-19,35
Burnley FC,38,8,6,24,-40,30
Hull City,38,6,12,20,-41,30
Portsmouth FC,38,7,7,24,-32,19
