Manchester United,38,21,12,5,32,75
Newcastle United,38,19,11,8,33,68
Arsenal FC,38,19,11,8,30,68
Liverpool FC,38,19,11,8,25,68
Aston Villa,38,17,10,11,13,61
Chelsea FC,38,16,11,11,3,59
Sheffield Wednesday,38,14,15,9,-1,57
Milton Keynes Dons,38,15,11,12,3,56
Leicester City,38,12,11,15,-8,47
Tottenham Hotspur,38,13,7,18,-7,46
Leeds United,38,11,13,14,-10,46
Derby County,38,11,13,14,-13,46
Blackburn Rovers,38,9,15,14,-1,42
West Ham United,38,10,12,16,-9,42
Everton FC,38,10,12,16,-13,42
Southampton FC,38,10,11,17,-6,41
Coventry City,38,9,14,15,-16,41
Sunderland AFC,38,10,10,18,-18,40
Middlesbrough FC,38,10,12,16,-9,39
Nottingham Forest,38,6,16,16,-28,34
