Chelsea FC,38,26,9,3,41,87
Manchester City,38,24,7,7,45,79
Arsenal FC,38,22,9,7,35,75
Manchester United,38,20,10,8,25,70
Tottenham Hotspur,38,19,7,12,5,64
Liverpool FC,38,18,8,12,4,62
Southampton FC,38,18,6,14,21,60
Swansea City,38,16,8,14,-3,56
Stoke City,38,15,9,14,3,54
Crystal Palace,38,13,9,16,-4,48
Everton FC,38,12,11,15,-2,47
West Ham United,38,12,11,15,-3,47
West Bromwich Albion,38,11,11,16,-13,44
Leicester City,38,11,8,19,-9,41
Newcastle United,38,10,9,19,-23,39
Sunderland AFC,38,7,17,14,-22,38
Aston Villa,38,10,8,20,-26,38
Hull City,38,8,11,19,-18,35
Burnley FC,38,7,12,19,-25,33
Queens Park Rangers,38,8,6,24,-31,30
