Manchester United,38,23,11,4,41,80
Chelsea FC,38,21,8,9,36,71
Manchester City,38,21,8,9,27,71
Arsenal FC,38,19,11,8,29,68
Tottenham Hotspur,38,16,14,8,9,62
Liverpool FC,38,17,7,14,15,58
Everton FC,38,13,15,10,6,54
Fulham FC,38,11,16,11,6,49
Aston Villa,38,12,12,14,-11,48
Sunderland AFC,38,12,11,15,-11,47
West Bromwich Albion,38,12,11,15,-15,47
Newcastle United,38,11,13,14,-1,46
Stoke City,38,13,7,18,-2,46
Bolton Wanderers,38,12,10,16,-4,46
Blackburn Rovers,38,11,10,17,-13,43
Wigan Athletic,38,9,15,14,-21,42
Wolverhampton Wanderers,38,11,7,20,-20,40
Birmingham City,38,8,15,15,-21,39
Blackpool FC,38,10,9,19,-23,39
West Ham United,38,7,12,19,-27,33
