Manchester City,38,32,2,4,72,98
Liverpool FC,38,30,7,1,67,97
Chelsea FC,38,21,9,8,24,72
Tottenham Hotspur,38,23,2,13,28,71
Arsenal FC,38,21,7,10,22,70
Manchester United,38,19,9,10,11,66
Wolverhampton Wanderers,38,16,9,13,1,57
Everton FC,38,15,9,14,8,54
Leicester City,38,15,7,16,3,52
West Ham United,38,15,7,16,-3,52
Watford FC,38,14,8,16,-7,50
Crystal Palace,38,14,7,17,-2,49
Newcastle United,38,12,9,17,-6,45
AFC Bournemouth,38,13,6,19,-14,45
Burnley FC,38,11,7,20,-23,40
Southampton FC,38,9,12,17,-20,39
Brighton & Hove Albion,38,9,9,20,-25,36
Cardiff City,38,10,4,24,-35,34
Fulham FC,38,7,5,26,-47,26
Huddersfield Town,38,3,7,28,-54,16
