Manchester United,38,24,8,6,48,80
Arsenal FC,38,20,10,8,25,70
Liverpool FC,38,20,9,9,32,69
Leeds United,38,20,8,10,21,68
Ipswich Town,38,20,6,12,15,66
Chelsea FC,38,17,10,11,23,61
Sunderland AFC,38,15,12,11,5,57
Aston Villa,38,13,15,10,3,54
Charlton Athletic,38,14,10,14,-7,52
Southampton FC,38,14,10,14,-8,52
Newcastle United,38,14,9,15,-6,51
Tottenham Hotspur,38,13,10,15,-7,49
Leicester City,38,14,6,18,-12,48
Middlesbrough FC,38,9,15,14,0,42
West Ham United,38,10,12,16,-5,42
Everton FC,38,11,9,18,-14,42
Derby County,38,10,12,16,-22,42
Manchester City,38,8,10,20,-24,34
Coventry City,38,8,10,20,-27,34
Bradford City,38,5,11,22,-40,26
