country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Macedonia,https://dynamospanish.com/wp-content/uploads/flags/images/Macedonia/2/large/Macedonia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,17,37,47,54,61,86,95,93,103,106,107,107,107,100,98,101
Madagascar,https://dynamospanish.com/wp-content/uploads/flags/images/Madagascar/2/large/Madagascar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,11,24,30,36,39,39,36,41,44,32,34
Malawi,https://dynamospanish.com/wp-content/uploads/flags/images/Malawi/2/large/Malawi.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,7,10,16,20,25,28,31,32,37,39,41
Malaysia,https://dynamospanish.com/wp-content/uploads/flags/images/Malaysia/2/large/Malaysia.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,9,9,13,22,31,37,45,58,76,74,87,102,109,120,128,141,144,148,143,139,133
Maldives,https://dynamospanish.com/wp-content/uploads/flags/images/Maldives/2/large/Maldives.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,14,21,36,63,82,93,126,129,135,141,145,157,163,176,189,206
Mali,https://dynamospanish.com/wp-content/uploads/flags/images/Mali/2/large/Mali.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,18,24,30,49,69,91,119,138,129,112,0
Malta,https://dynamospanish.com/wp-content/uploads/flags/images/Malta/2/large/Malta.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,9,28,59,68,71,75,79,84,89,93,101,109,124,126,131,128,122,131,129
Marshall Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Marshall_Islands/2/large/Marshall_Islands.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,29,29,0,0
Mauritania,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritania/2/large/Mauritania.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,17,23,32,42,61,62,76,89,105,101,92,87,84,92
Mauritius,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritius/2/large/Mauritius.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,15,22,28,38,45,53,62,75,83,87,95,103,118,122,131,139,143,145
Mexico,https://dynamospanish.com/wp-content/uploads/flags/images/Mexico/2/large/Mexico.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,13,21,24,28,35,43,50,59,66,72,77,79,83,87,84,85,87,88
Moldova,https://dynamospanish.com/wp-content/uploads/flags/images/Moldova/2/large/Moldova.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,11,18,26,32,45,58,52,62,78,87,90,91,91,93,90
Monaco,https://dynamospanish.com/wp-content/uploads/flags/images/Monaco/2/large/Monaco.png,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,17,23,36,41,43,44,45,45,47,50,53,58,61,62,63,84,87,93,88,88,86,85
Mongolia,https://dynamospanish.com/wp-content/uploads/flags/images/Mongolia/2/large/Mongolia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,8,12,17,22,30,46,67,84,92,106,119,100,103,103,111,126
Montenegro,https://dynamospanish.com/wp-content/uploads/flags/images/Serbia_and_Montenegro/2/large/Serbia_and_Montenegro.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,88,104,145,186,207,187,185,158,158,161,160,165,166
Morocco,https://dynamospanish.com/wp-content/uploads/flags/images/Morocco/2/large/Morocco.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,16,21,24,30,40,51,64,72,79,98,111,117,125,128,123,117,122
Mozambique,https://dynamospanish.com/wp-content/uploads/flags/images/Mozambique/2/large/Mozambique.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,10,13,19,25,29,31,34,46,67,71,52,40
Myanmar,https://dynamospanish.com/wp-content/uploads/flags/images/Myanmar/2/large/Myanmar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,13,55,78,95,89
Namibia,https://dynamospanish.com/wp-content/uploads/flags/images/Namibia/2/large/Namibia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,7,11,14,22,29,38,49,76,89,99,94,117,112,105,107,104
Nauru,https://dynamospanish.com/wp-content/uploads/flags/images/Nauru/2/large/Nauru.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,7,8,9,11,14,0,0,0,0,0,0,0,0,61,65,64,0,0,83,87,0
Nepal,https://dynamospanish.com/wp-content/uploads/flags/images/Nepal/2/large/Nepal.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,15,20,34,48,60,76,81,96,110,123
Netherlands,https://dynamospanish.com/wp-content/uploads/flags/images/Netherlands/2/large/Netherlands.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,10,21,42,67,76,75,81,90,96,105,116,124,121,114,118,117,115,115,122,122,120
New Zealand,https://dynamospanish.com/wp-content/uploads/flags/images/New_Zealand/2/large/New_Zealand.png,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,9,13,15,20,36,39,58,61,64,74,85,90,100,107,108,107,109,110,105,111,121,124,136
Nicaragua,https://dynamospanish.com/wp-content/uploads/flags/images/Nicaragua/2/large/Nicaragua.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,13,20,33,45,55,59,69,83,99,114,117,119,125,131
Niger,https://dynamospanish.com/wp-content/uploads/flags/images/Niger/2/large/Niger.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,12,16,22,27,30,38,43,45,36,40
Nigeria,https://dynamospanish.com/wp-content/uploads/flags/images/Nigeria/2/large/Nigeria.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,13,22,27,41,48,55,58,67,74,78,83,82,75
North Korea,https://dynamospanish.com/wp-content/uploads/flags/images/North_Korea/2/large/North_Korea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,11,12,14,0
Norway,https://dynamospanish.com/wp-content/uploads/flags/images/Norway/2/large/Norway.png,0,0,0,0,0,1,2,2,3,3,4,5,6,8,13,22,28,37,46,59,71,79,83,88,98,102,104,106,109,110,114,115,115,112,111,109,108,107
Oman,https://dynamospanish.com/wp-content/uploads/flags/images/Oman/2/large/Oman.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,14,19,24,32,53,70,93,116,137,151,148,152,151,156,158,155,149
Pakistan,https://dynamospanish.com/wp-content/uploads/flags/images/Pakistan/2/large/Pakistan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,21,39,53,56,58,62,67,70,73,66,70,73
Palau,https://dynamospanish.com/wp-content/uploads/flags/images/Palau/2/large/Palau.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,19,30,41,53,57,62,70,74,82,85,90,111,0,0
Palestine,http://www.think-israel.org/jan12pix/palestine.flag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,12,15,22,27,34,45,64,69,72,72,70,75,77,84
Panama,https://dynamospanish.com/wp-content/uploads/flags/images/Panama/2/large/Panama.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,15,16,21,38,52,64,87,111,169,182,181,164,161,176,144,127,145
Papua New Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Papua_New_Guinea/2/large/Papua_New_Guinea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12,20,26,33,36,39,43,44,46,0
Paraguay,https://dynamospanish.com/wp-content/uploads/flags/images/Paraguay/2/large/Paraguay.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,15,21,30,31,30,32,54,78,95,91,95,103,106,109,111,111,111,109
Peru,https://dynamospanish.com/wp-content/uploads/flags/images/Peru/2/large/Peru.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,10,15,20,32,54,73,85,99,109,97,97,102,109,116,120
Philippines,https://dynamospanish.com/wp-content/uploads/flags/images/Philippines/2/large/Philippines.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,15,18,27,38,40,48,64,75,81,88,98,105,104,111,115,116,110
Poland,https://dynamospanish.com/wp-content/uploads/flags/images/Poland/2/large/Poland.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,17,25,36,45,60,76,95,107,114,116,122,130,141,148,148,142,138,130
Portugal,https://dynamospanish.com/wp-content/uploads/flags/images/Portugal/2/large/Portugal.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,14,29,45,64,76,83,95,100,108,115,126,131,110,114,116,112,113,113,112,111,113
Puerto Rico,https://dynamospanish.com/wp-content/uploads/flags/images/Puerto_Rico/2/large/Puerto_Rico.png,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,8,9,15,21,34,42,43,45,48,52,58,64,68,72,78,83,82,83,87,87,88,92
Qatar,https://dynamospanish.com/wp-content/uploads/flags/images/Qatar/2/large/Qatar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,14,20,28,41,54,64,82,91,106,102,122,122,117,123,147,139,150,142,148
Romania,https://dynamospanish.com/wp-content/uploads/flags/images/Romania/2/large/Romania.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,17,23,32,47,62,75,96,117,121,119,115,113,114,114,116,115,114
Russia,https://dynamospanish.com/wp-content/uploads/flags/images/Russian_Federation/2/large/Russian_Federation.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,24,51,83,105,119,139,160,166,142,145,152,153,157,159,157
Rwanda,https://dynamospanish.com/wp-content/uploads/flags/images/Rwanda/2/large/Rwanda.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,13,24,34,42,52,60,68,75,74,72
Saint Kitts and Nevis,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Kitts_and_Nevis/2/large/Saint_Kitts_and_Nevis.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,46,60,104,103,129,148,148,155,148,144,144,120,134,139,138
Saint Lucia,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Lucia/2/large/Saint_Lucia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8,61,62,64,63,87,103,110,114,124,123,120,106,105,99,98
Saint Vincent and the Grenadines,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Vicent_and_the_Grenadines/2/large/Saint_Vicent_and_the_Grenadines.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9,58,66,64,80,101,119,110,120,120,116,114,105,103,102,105
Samoa,https://dynamospanish.com/wp-content/uploads/flags/images/Samoa/2/large/Samoa.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,8,13,25,47,0,0,48,0,53,52,55,62,77,63
San Marino,https://dynamospanish.com/wp-content/uploads/flags/images/San_Marino/2/large/San_Marino.png,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,9,8,8,18,35,52,57,59,59,59,58,58,58,80,97,98,112,112,113,115,111,110,113
Sao Tome and Principe,https://dynamospanish.com/wp-content/uploads/flags/images/Sao_Tome_and_Principe/2/large/Sao_Tome_and_Principe.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,11,18,30,47,58,64,66,67,67,94,89,84
Saudi Arabia,https://dynamospanish.com/wp-content/uploads/flags/images/Saudi_Arabia/2/large/Saudi_Arabia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,11,22,32,39,59,80,112,138,168,188,191,182,177,171,167,148,122
Senegal,https://dynamospanish.com/wp-content/uploads/flags/images/Senegal/2/large/Senegal.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,10,15,25,30,44,54,64,70,83,93,98,99,98,99
Serbia,https://dynamospanish.com/wp-content/uploads/flags/images/Serbia_and_Montenegro/2/large/Serbia_and_Montenegro.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,73,89,114,130,135,136,141,127,129,132,130,130,124
Seychelles,https://dynamospanish.com/wp-content/uploads/flags/images/Seychelles/2/large/Seychelles.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,20,31,44,53,57,62,66,78,85,103,121,128,137,147,147,162,158,161,176
Sierra Leone,https://dynamospanish.com/wp-content/uploads/flags/images/Sierra_Leone/2/large/Sierra_Leone.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,12,16,18,30,32,32,57,67,78,84,0
Singapore,https://dynamospanish.com/wp-content/uploads/flags/images/Singapore/2/large/Singapore.png,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,8,12,23,29,42,70,74,80,84,91,97,103,125,132,138,145,150,153,157,148,148,150,148
Slovakia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovakia/2/large/Slovakia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,23,39,54,68,79,84,90,112,102,101,109,110,112,114,117,122,128,130
Slovenia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovenia/2/large/Slovenia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,31,61,73,83,87,92,88,90,95,101,103,103,105,108,110,112,113,114,117
Solomon Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Soloman_Islands/2/large/Soloman_Islands.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,21,50,54,57,65,72,69,76
Somalia,https://dynamospanish.com/wp-content/uploads/flags/images/Somalia/2/large/Somalia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5,5,5,5,5,14,18,39,40,41,46,0
South Africa,https://dynamospanish.com/wp-content/uploads/flags/images/South_Africa/2/large/South_Africa.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,11,18,23,29,35,43,69,80,84,89,91,97,122,129,142,145,159,147,161
South Korea,https://dynamospanish.com/wp-content/uploads/flags/images/South_Korea/2/large/South_Korea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,14,30,49,56,60,67,69,75,78,82,90,92,97,102,105,107,108,113,116,120,124
South Sudan,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,21,25,24,24,22,12
Spain,https://dynamospanish.com/wp-content/uploads/flags/images/Spain/2/large/Spain.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,15,37,59,71,79,87,89,96,102,106,107,109,109,112,108,107,109,110,111,113
Sri Lanka,https://dynamospanish.com/wp-content/uploads/flags/images/Sri_Lanka/2/large/Sri_Lanka.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,11,17,27,40,55,81,85,90,94,98,107,115,124,135
Sudan,https://dynamospanish.com/wp-content/uploads/flags/images/Sudan/2/large/Sudan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,14,25,36,45,52,71,76,75,73,72,70,70
Suriname,https://dynamospanish.com/wp-content/uploads/flags/images/Suriname/2/large/Suriname.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,18,22,34,43,46,63,74,127,146,99,100,105,160,169,135,144,141
Swaziland,https://dynamospanish.com/wp-content/uploads/flags/images/Swaziland/2/large/Swaziland.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,13,18,22,33,45,56,60,62,64,70,70,71,74,0
Sweden,https://dynamospanish.com/wp-content/uploads/flags/images/Sweden/2/large/Sweden.png,0,0,0,0,0,0,1,2,2,4,5,6,7,8,15,22,28,35,46,57,71,80,89,98,97,100,105,110,108,112,117,121,124,124,127,129,127,125
Switzerland,https://dynamospanish.com/wp-content/uploads/flags/images/Switzerland/2/large/Switzerland.png,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,6,9,14,23,42,64,73,79,84,85,92,99,108,116,120,123,127,131,135,135,135,133,133
Syria,https://dynamospanish.com/wp-content/uploads/flags/images/Syria/2/large/Syria.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,https://dynamospanish.com/wp-content/uploads/flags/images/Taiwan/2/large/Taiwan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,https://dynamospanish.com/wp-content/uploads/flags/images/Tajikistan/2/large/Tajikistan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,30,29,50,65,77,80,81,92,95,99,107,0
Tanzania,https://dynamospanish.com/wp-content/uploads/flags/images/Tanzania/2/large/Tanzania.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,13,19,30,39,45,53,55,54,60,73,72,69
Thailand,https://dynamospanish.com/wp-content/uploads/flags/images/Thailand/2/large/Thailand.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,11,27,33,41,46,60,80,92,98,106,114,125,137,141,149,173,176
Timor,https://dynamospanish.com/wp-content/uploads/flags/images/Timor-Leste/2/large/Timor-Leste.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,7,11,32,42,54,53,54,113,110,117,119
Togo,https://dynamospanish.com/wp-content/uploads/flags/images/Togo/2/large/Togo.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,7,12,19,25,34,40,40,48,60,62,65,72,79
Tonga,https://dynamospanish.com/wp-content/uploads/flags/images/Tonga/2/large/Tonga.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,29,29,45,48,51,52,52,53,54,64,69,74,0
Trinidad and Tobago,https://dynamospanish.com/wp-content/uploads/flags/images/Trinidad_and_Tobago/2/large/Trinidad_and_Tobago.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,20,20,26,50,71,116,115,137,139,142,136,140,144,146,156,158,148
Tunisia,https://dynamospanish.com/wp-content/uploads/flags/images/Tunisia/2/large/Tunisia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,19,37,56,71,76,82,93,104,115,117,115,128,129,125,124
Turkey,https://dynamospanish.com/wp-content/uploads/flags/images/Turkey/2/large/Turkey.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,25,30,35,42,51,64,76,89,93,88,85,88,90,91,93,94,94,96
Turkmenistan,https://dynamospanish.com/wp-content/uploads/flags/images/Turkmenistan/2/large/Turkmenistan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,22,42,62,102,112,114,131,140,151,0
Tuvalu,https://dynamospanish.com/wp-content/uploads/flags/images/Tuvalu/2/large/Tuvalu.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15,17,0,9,15,20,26,31,34,59,68,0
Uganda,https://dynamospanish.com/wp-content/uploads/flags/images/Uganda/2/large/Uganda.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,6,13,27,28,37,47,45,48,52,50,55,58
Ukraine,https://dynamospanish.com/wp-content/uploads/flags/images/Ukraine/2/large/Ukraine.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,13,29,64,105,119,120,119,117,121,130,138,144,143,135,133
United Arab Emirates,https://dynamospanish.com/wp-content/uploads/flags/images/UAE/2/large/UAE.png,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,5,7,11,17,27,45,57,69,79,90,99,105,127,135,139,132,135,154,178,185,196,214,210
United Kingdom,https://dynamospanish.com/wp-content/uploads/flags/images/United_Kingdom/2/large/United_Kingdom.png,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,9,12,15,25,46,73,78,82,91,99,108,115,120,120,121,121,120,121,121,120,121,119,119
United States,https://dynamospanish.com/wp-content/uploads/flags/images/United_States_of_America/2/large/United_States_of_America.png,0,0,0,0,0,0,0,0,0,1,2,2,4,6,9,12,16,20,25,30,38,45,49,55,63,69,77,82,86,89,92,95,97,98,111,119,122,122
Uruguay,https://dynamospanish.com/wp-content/uploads/flags/images/Uruguay/2/large/Uruguay.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,9,12,15,15,14,18,34,69,89,104,122,131,140,147,154,160,150,148,147
Uzbekistan,https://dynamospanish.com/wp-content/uploads/flags/images/Uzbekistan/2/large/Uzbekistan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,20,44,58,73,87,68,71,70,70,73,76
Vanuatu,https://dynamospanish.com/wp-content/uploads/flags/images/Vanuatu/2/large/Vanuatu.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,6,11,15,57,71,56,59,50,60,66,80,82
Vatican,https://dynamospanish.com/wp-content/uploads/flags/images/Vatican_City/2/large/Vatican_City.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,https://dynamospanish.com/wp-content/uploads/flags/images/Venezuela/2/large/Venezuela.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,8,15,22,25,25,27,31,46,68,86,97,98,96,97,102,101,99,93,87,76
Vietnam,https://dynamospanish.com/wp-content/uploads/flags/images/Vietnam/2/large/Vietnam.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,11,22,52,86,112,126,142,145,135,147,128,127,125
Yemen,https://dynamospanish.com/wp-content/uploads/flags/images/Yemen/2/large/Yemen.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,11,14,19,28,36,46,48,55,65,65,55,59,0
Zambia,https://dynamospanish.com/wp-content/uploads/flags/images/Zambia/2/large/Zambia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,7,13,20,27,32,39,57,71,68,64,71,72,78
Zimbabwe,https://dynamospanish.com/wp-content/uploads/flags/images/Zimbabwe/2/large/Zimbabwe.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,6,9,12,28,54,63,85,90,76,80,79,85
