date,name,category,value,lastValue
15,alone,,193.30588,193.30588
15,children,,23.463852,23.463852
15,co-workers,,8.3420067,8.3420067
15,"parents, siblings & other family",,267.12091,267.12091
15,friends,,109.4145,109.4145
15,partner,,0,0
16,alone,,206.37056,193.30588
16,children,,28.609867,23.463852
16,co-workers,,23.529137,8.3420067
16,"parents, siblings & other family",,254.3381,267.12091
16,friends,,110.7418,109.4145
16,partner,,0.030690858,0
17,alone,,224.17331,206.37056
17,children,,26.089708,28.609867
17,co-workers,,43.809685,23.529137
17,"parents, siblings & other family",,229.81561,254.3381
17,friends,,120.41887,110.7418
17,partner,,1.1228406,0.030690858
18,alone,,242.69839,224.17331
18,children,,27.387308,26.089708
18,co-workers,,81.633575,43.809685
18,"parents, siblings & other family",,236.35201,229.81561
18,friends,,137.75107,120.41887
18,partner,,5.6972671,1.1228406
19,alone,,267.79385,242.69839
19,children,,36.445004,27.387308
19,co-workers,,124.85052,81.633575
19,"parents, siblings & other family",,201.2766,236.35201
19,friends,,129.85716,137.75107
19,partner,,19.341291,5.6972671
20,alone,,277.60379,267.79385
20,children,,54.630512,36.445004
20,co-workers,,143.9003,124.85052
20,"parents, siblings & other family",,173.13503,201.2766
20,friends,,122.7402,129.85716
20,partner,,26.35417,19.341291
21,alone,,270.21817,277.60379
21,children,,69.293869,54.630512
21,co-workers,,154.20972,143.9003
21,"parents, siblings & other family",,152.67331,173.13503
21,friends,,122.40627,122.7402
21,partner,,59.897781,26.35417
22,alone,,283.56686,270.21817
22,children,,72.302246,69.293869
22,co-workers,,173.0473,154.20972
22,"parents, siblings & other family",,135.8266,152.67331
22,friends,,100.16862,122.40627
22,partner,,55.767094,59.897781
23,alone,,270.93015,283.56686
23,children,,96.935883,72.302246
23,co-workers,,190.10524,173.0473
23,"parents, siblings & other family",,125.79333,135.8266
23,friends,,101.07177,100.16862
23,partner,,78.188667,55.767094
24,alone,,265.81378,270.93015
24,children,,99.394424,96.935883
24,co-workers,,206.05486,190.10524
24,"parents, siblings & other family",,103.75845,125.79333
24,friends,,96.786346,101.07177
24,partner,,99.44416,78.188667
25,alone,,275.12906,265.81378
25,children,,119.50971,99.394424
25,co-workers,,199.20917,206.05486
25,"parents, siblings & other family",,101.02744,103.75845
25,friends,,77.543015,96.786346
25,partner,,121.25083,99.44416
26,alone,,281.63202,275.12906
26,children,,128.59393,119.50971
26,co-workers,,190.09406,199.20917
26,"parents, siblings & other family",,87.654915,101.02744
26,friends,,77.856834,77.543015
