date,name,category,value,lastValue
0,Windows,,94.8,94.8
0,Android,,0,0
0,iOS,,0.24,0.24
0,OS X,,3.66,3.66
0,Linux,,0.64,0.64
0,SymbianOS,,0.26,0.26
0,BlackBerry OS,,0.01,0.01
0,Samsung,,0,0
0,Nokia,,0,0
0,Chrome OS,,0,0
0,Playstation,,0.1,0.1
0,Sony Ericsson,,0,0
0,KaiOS,,0,0
0,bada,,0,0
0,Tizen,,0,0
0,LG,,0,0
0,Xbox,,0,0
0,Nintendo,,0.01,0.01
1,Windows,,94.74,94.8
1,Android,,0.01,0
1,iOS,,0.25,0.24
1,OS X,,3.73,3.66
1,Linux,,0.61,0.64
1,SymbianOS,,0.26,0.26
1,BlackBerry OS,,0.04,0.01
1,Samsung,,0,0
1,Nokia,,0,0
1,Chrome OS,,0,0
1,Playstation,,0.1,0.1
1,Sony Ericsson,,0,0
1,KaiOS,,0,0
1,bada,,0,0
1,Tizen,,0,0
1,LG,,0,0
1,Xbox,,0,0
1,Nintendo,,0.01,0.01
2,Windows,,94.48,94.74
2,Android,,0.02,0.01
2,iOS,,0.32,0.25
2,OS X,,3.84,3.73
2,Linux,,0.64,0.61
2,SymbianOS,,0.28,0.26
2,BlackBerry OS,,0.05,0.04
2,Samsung,,0,0
2,Nokia,,0,0
2,Chrome OS,,0,0
2,Playstation,,0.11,0.1
2,Sony Ericsson,,0,0
2,KaiOS,,0,0
2,bada,,0,0
2,Tizen,,0,0
2,LG,,0,0
2,Xbox,,0,0
2,Nintendo,,0.01,0.01
3,Windows,,94.32,94.48
3,Android,,0.02,0.02
3,iOS,,0.36,0.32
3,OS X,,3.89,3.84
3,Linux,,0.66,0.64
3,SymbianOS,,0.3,0.28
3,BlackBerry OS,,0.06,0.05
3,Samsung,,0,0
3,Nokia,,0,0
3,Chrome OS,,0,0
3,Playstation,,0.12,0.11
3,Sony Ericsson,,0,0
3,KaiOS,,0,0
3,bada,,0,0
3,Tizen,,0,0
3,LG,,0,0
3,Xbox,,0,0
3,Nintendo,,0.01,0.01
4,Windows,,94.44,94.32
4,Android,,0.02,0.02
4,iOS,,0.32,0.36
4,OS X,,3.72,3.89
4,Linux,,0.64,0.66
4,SymbianOS,,0.34,0.3
4,BlackBerry OS,,0.06,0.06
4,Samsung,,0,0
4,Nokia,,0,0
4,Chrome OS,,0,0
4,Playstation,,0.12,0.12
4,Sony Ericsson,,0,0
4,KaiOS,,0,0
4,bada,,0,0
4,Tizen,,0,0
4,LG,,0,0
4,Xbox,,0,0
4,Nintendo,,0.01,0.01
5,Windows,,93.89,94.44
5,Android,,0,0.02
5,iOS,,0.34,0.32
5,OS X,,4.04,3.72
5,Linux,,0.74,0.64
5,SymbianOS,,0.38,0.34
5,BlackBerry OS,,0.07,0.06
5,Samsung,,0,0
5,Nokia,,0,0
5,Chrome OS,,0,0
5,Playstation,,0.14,0.12
5,Sony Ericsson,,0,0
5,KaiOS,,0,0
5,bada,,0,0
5,Tizen,,0,0
5,LG,,0,0
5,Xbox,,0,0
5,Nintendo,,0.01,0.01
6,Windows,,93.85,93.89
6,Android,,0.02,0
6,iOS,,0.36,0.34
6,OS X,,4.07,4.04
6,Linux,,0.76,0.74
6,SymbianOS,,0.25,0.38
6,BlackBerry OS,,0.09,0.07
6,Samsung,,0,0
6,Nokia,,0,0
6,Chrome OS,,0,0
6,Playstation,,0.16,0.14
6,Sony Ericsson,,0.02,0
6,KaiOS,,0,0
6,bada,,0,0
6,Tizen,,0,0
6,LG,,0,0
6,Xbox,,0,0
6,Nintendo,,0.02,0.01
7,Windows,,93.66,93.85
7,Android,,0.03,0.02
7,iOS,,0.38,0.36
7,OS X,,4.3,4.07
7,Linux,,0.68,0.76
7,SymbianOS,,0.38,0.25
7,BlackBerry OS,,0.1,0.09
7,Samsung,,0.02,0
7,Nokia,,0,0
7,Chrome OS,,0,0
7,Playstation,,0.17,0.16
7,Sony Ericsson,,0.08,0.02
7,KaiOS,,0,0
7,bada,,0,0
7,Tizen,,0,0
7,LG,,0,0
7,Xbox,,0,0
7,Nintendo,,0.02,0.02
8,Windows,,93.58,93.66
8,Android,,0.03,0.03
8,iOS,,0.35,0.38
8,OS X,,4.39,4.3
8,Linux,,0.69,0.68
8,SymbianOS,,0.4,0.38
8,BlackBerry OS,,0.1,0.1
8,Samsung,,0.02,0.02
8,Nokia,,0,0
8,Chrome OS,,0,0
8,Playstation,,0.14,0.17
8,Sony Ericsson,,0.08,0.08
8,KaiOS,,0,0
8,bada,,0,0
8,Tizen,,0,0
8,LG,,0,0
8,Xbox,,0,0
8,Nintendo,,0.02,0.02
9,Windows,,93.29,93.58
9,Android,,0.03,0.03
9,iOS,,0.35,0.35
9,OS X,,4.66,4.39
9,Linux,,0.68,0.69
9,SymbianOS,,0.44,0.4
9,BlackBerry OS,,0.1,0.1
9,Samsung,,0.02,0.02
9,Nokia,,0,0
9,Chrome OS,,0,0
9,Playstation,,0.15,0.14
9,Sony Ericsson,,0.08,0.08
9,KaiOS,,0,0
9,bada,,0,0
9,Tizen,,0,0
9,LG,,0,0
9,Xbox,,0,0
9,Nintendo,,0.02,0.02
10,Windows,,92.87,93.29
10,Android,,0.04,0.03
10,iOS,,0.38,0.35
10,OS X,,4.9,4.66
10,Linux,,0.71,0.68
10,SymbianOS,,0.44,0.44
10,BlackBerry OS,,0.12,0.1
10,Samsung,,0.02,0.02
10,Nokia,,0,0
10,Chrome OS,,0,0
10,Playstation,,0.16,0.15
10,Sony Ericsson,,0.08,0.08
10,KaiOS,,0,0
10,bada,,0,0
10,Tizen,,0,0
10,LG,,0,0
10,Xbox,,0,0
10,Nintendo,,0.02,0.02
11,Windows,,93,92.87
11,Android,,0.05,0.04
11,iOS,,0.41,0.38
11,OS X,,4.66,4.9
11,Linux,,0.68,0.71
11,SymbianOS,,0.45,0.44
11,BlackBerry OS,,0.12,0.12
11,Samsung,,0.02,0.02
11,Nokia,,0,0
11,Chrome OS,,0,0
11,Playstation,,0.17,0.16
11,Sony Ericsson,,0.09,0.08
11,KaiOS,,0,0
11,bada,,0,0
11,Tizen,,0,0
11,LG,,0,0
11,Xbox,,0,0
11,Nintendo,,0.02,0.02
12,Windows,,92.31,93
12,Android,,0.07,0.05
12,iOS,,0.52,0.41
12,OS X,,5.08,4.66
12,Linux,,0.69,0.68
12,SymbianOS,,0.53,0.45
12,BlackBerry OS,,0.16,0.12
12,Samsung,,0.03,0.02
12,Nokia,,0,0
12,Chrome OS,,0,0
12,Playstation,,0.17,0.17
12,Sony Ericsson,,0.11,0.09
12,KaiOS,,0,0
12,bada,,0,0
12,Tizen,,0,0
12,LG,,0,0
12,Xbox,,0,0
12,Nintendo,,0.02,0.02
13,Windows,,91.78,92.31
13,Android,,0.09,0.07
13,iOS,,0.58,0.52
13,OS X,,5.53,5.08
13,Linux,,0.73,0.69
13,SymbianOS,,0.56,0.53
