country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,3209058,2941588,3087734,3375254,3470976,3234534,4539386,2454263,3482855,1962109,2062517,2001859,2013990,4100620,3925122,4024580,4345683,6513037,7101296,5160114,5614353,7148611,7831824,8150877,8690760,7701482,7751066,8046810
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,56051556,49821817,45411068,44993383,43054193,42436914,43380192,39670363,40893887,38288890,41461118,43906876,41237047,44241365,43653313,45655206,49951659,52094575,53279428,43474860,42977143,46464943,44404031,38646554,39874895,41468237,39093015,40694177
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,820508,859892,863593,879401,886822,922995,1007233,1204509,1977228,2422059,1603973,1967069,1921567,1980941,2327949,1646138,1731872,2157064,2365395,2742632,2900942,2785150,3010272,4017565,4088466,4414488,4534818,4970716
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,1789977,1854216,1954036,2042124,2175262,2175052,2357645,2324074,2825444,2640385,2728141,3321223,2667907,4550169,4714585,5804876,6461714,7108702,7781823,8043259,9867755,10548722,10567912,12789353,13675491,14945822,15672772,16196271
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,1329988,889345,3276903,3530595,3482365,3812763,3888005,4007692,4001645,3258022,3919153,4402075,4370427,5226346,5029801,5210721,5465850,6216530,6806541,7828737,8103297,8356234,8769724,9378765,11281229,11747591,12243606,12710744
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,473676094,470098412,479867611,476897434,488337782,502008958,514368893,548343108,556604554,556560792,580680959,563698569,582647930,559146029,574333315,584270787,567961543,595976215,588973108,562352548,594150900,564700840,602815809,611177538,609572892,594138709,579821407,591649208
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
