country,category,url,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,0.115782096,0.118835076,0.118741746,0.061311069,0.106499058,0.162034632,0.197611644,0.209115727,"","","","","","","","","","",3.515674444,3.207179552,4.093577046,3.708008025,4.357285578,4.490225008,2.974933298,3.381470754
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,0.108275742,0.100481366,0.090795124,0.097782003,0.110010866,0.102506188,0.107420819,0.096745686,0.109473209,0.09534323,0.098821992,0.099968579,0.148627899,0.187229264,0.25799559,0.265337149,0.279863404,0.258775513,0.25804388899999997,0.350847931,0.448951899,0.445824668,0.371635622,0.34251119,0.432822679,0.460848118
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,1.075115821,1.0574703300000001,1.098094407,1.187720268,1.352213404,1.404538593,1.509808584,1.453889871,1.438121433,1.425846144,1.38115522,1.328661483,1.353878426,1.40864099,1.439142674,1.632551231,1.9732657,2.591336855,3.385086762,3.684804988,3.861593808,4.44739584,4.805188497,7.388924459,6.683655796,5.341232838
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","",0.627204304,0.68184333,0.698047044,0.760700278,0.579375813,0.601453296,0.652776468,0.836652793,1.19373835,1.130980817,1.204240135,1.49016201,1.89244248,1.649850767,1.582567628,1.780653474,1.638074263,1.825764822,1.460375391,1.299689104,1.365532661
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,0.232717571,0.174820001,0.136901646,0.149246482,0.111859387,0.094543135,0.083392153,0.068402207,0.060555239,0.07380947,0.052808382,0.048745241,0.086743241,0.087892835,0.077239399,0.06706602700000001,0.06559375199999999,0.070072193,0.070394834,0.081839741,0.11633235,0.098519201,0.076948629,0.086630654,0.062279045,0.059713252
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,30.506317286,30.299819994,33.923902171,54.632913982,58.598481906,55.461207671,57.886893294,57.705615999,42.80575641,46.933135234,41.371946164,40.123449187,51.937825694,61.763124637,70.795897773,79.360843451,111.723375893,146.787587948,133.656474578,167.389685351,219.252302787,209.956918035,223.540738831,223.487459631,168.075119949,165.848046732
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,0.019285797,0.030826397,0.031753888,0.032857667,0.053092511,0.048267091,0.053682301,0.048996977,0.058494616,0.063561753,0.066571078,0.069438228,0.067135897,0.069977491,0.051381683,0.077739323,0.089239132,0.099609031,0.09873912,0.110942105,0.13943532,0.157528844,0.167670002,0.18662206,0.159513736,0.157787173
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","",2.237382646,1.960156192,1.771367808,2.0758448250000003,1.824320837,1.964942027,2.987469869,2.312879206,2.513381923,3.049207522,4.631649712,3.377858534,3.933950309,4.845043704,4.692245686,5.09269262,4.938803484,3.977366793,3.930842513
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,1.310589731,1.471034829,1.240278468,0.774067378,0.878926754,1.180042572,0.91343113,1.173848867,1.015836064,0.636235271,1.07922127,1.200500459,1.329122665,1.375226343,1.738306706,1.773786592,1.765366174,3.284492704,2.750150105,2.938463211,3.386361107,3.616984676,3.938947601,3.722470412,2.42270651,""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,1.444512837,1.100487905,1.098448959,1.329373017,1.294916992,1.426533795,1.805174882,1.549109873,1.229890708,1.368840082,1.25966609,1.718732558,1.127077651,1.397269119,1.77481635,1.884808466,1.625131324,1.86564801,2.004451977,2.260513432,2.379932788,1.781441185,2.213159633,1.783818098,1.770559304,1.825448156
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,1.089027258,0.886850544,1.237855363,1.450565984,2.085548617,1.865359668,1.870715991,1.417282209,1.338468697,1.215057618,1.233325597,1.374800492,1.432674575,1.635187359,2.225369586,2.973873583,3.678082557,5.020156989,4.601991934,5.634567824,7.272246798,8.231076901,8.623337591,8.122662792,8.270190177,8.839593289
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,2.582003508,2.785438959,2.828158408,1.414991464,1.934260554,1.966898636,1.691047142,1.989764404,2.105777669,1.823217922,1.829715363,2.011098648,2.672500258,3.283608359,3.958934931,4.622909482,5.947173202,7.507624828,7.498768005,8.59556916,9.374939247,9.29807792,10.469372816,10.777694742,8.183135888,8.802550025
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,17.525776561,16.187573254,16.827974619,17.06607189,19.131069356,22.090672354,20.699250367,19.253565548,19.303666945,19.325405553,19.357181266,19.214939431,21.915553127,24.664154001,25.796016334,27.441503466,33.038080226,43.179025762,35.628927594,38.018888304,46.972720203,49.103630009,54.562647428,44.868309341,40.537888607,39.433411444
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,0.135662924,0.169390453,0.14022055,0.116223112,0.164809525,0.134460982,0.121602488,0.140368741,0.15720937,0.163097083,0.158645609,0.164693571,0.216980783,0.231432771,0.236386869,0.256203496,0.299183354,0.288755741,0.290558684,0.258782583,0.271156091,0.28739198,0.292458238,0.248301631,0.196008358,0.190997637
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,0.020227651,0.022270051,0.047741831,0.028319652,0.055070067,0.050315586,0.04844853,0.056451591,"","","","","","","","","","","","","",0.796792674,0.787024817,0.835401638,0.622066166,0.671263273
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","",3.574529805,4.594990037,4.455953925,5.655638916,5.056315656,6.963177003,6.827673883,7.541351442,5.239835182,4.947291104
