item,value
Cardiovascular diseases,17524369
Cancer,9403123
Respiratory diseases,3826620
Lower respiratory infections,2574625
Dementia,2440042
Digestive diseases,2335479
Neonatal disorders,1852924
Diarrheal diseases,1550848
Diabetes,1346427
Liver diseases,1298394
Road injuries,1252392
Kidney disease,1216962
Tuberculosis,1200508
HIV/AIDS,1041797
Suicide,788674
Mosquitoes (Malaria),625834
Humans,546000
Homicide,394940
Parkinson disease,332506
Drowning,303335
Meningitis,295878
Nutritional deficiencies,274881
Protein-energy malnutrition,236429
Maternal disorders,196170
Alcohol use disorders,181679
Drug use disorders,159690
Conflict,158356
Intestinal infectious diseases,155448
Hepatitis,126754
Fire,121392
Poisonings,73643
Heat (hot and cold exposure),54183
Terrorism,34871
Sandfly (Leishmaniasis),14000
Dog,13000
Freshwater snail (Schistosomiasis),10000
Natural disasters,7261
Kissing bug (Chagas disease),7000
Ascaris roundworm (Ascariasis),5000
Scorpion,3500
Tsetse fly (Trypanosomiasis),2300
Crocodile,1000
Hippopotamus,500
Elephant,100
Lion,100
Bee,60
Tiger,50
Jellyfish,40
Wolf,10
Shark,4
