country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106,0.4492911982057106
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663,0.4137935600480663
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5013567968314251,0.5013567968314251,0.7520351952471376,0.7520351952471376,0.7520351952471376,0.7520351952471376
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023870921809661744,0.023870921809661744,0.035806382714492616,0.05967730452415436,0.05967730452415436,0.09548368723864697,0.14322553085797046,0.15516099176280132,0.15516099176280132,0.15516099176280132,0.5132248189077274,0.5370957407173892,0.7996758806236683,1.121933325054102,1.5038680740086898,1.7783836748197999,2.3632212591565125,3.0196716089222106,3.879024794070033,4.642894291979209,5.430634711698047,6.958373707516398,8.736757382336197,10.407721909012519,12.138363740212997,13.821263727794149,16.01738853428303,17.11545093752747,19.18028567406321,22.211892743890253,25.148016126478645,28.32284872716366,30.363812541889736
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03218233739994712,0.03218233739994712,0.06436467479989424,0.06436467479989424,0.09654701219984137,0.09654701219984137,0.09654701219984137,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.16091168699973563,0.19309402439968273,0.19309402439968273,0.19309402439968273
Gibraltar,Europe,https://lh3.googleusercontent.com/proxy/sHuYSsx62KLqgfMXixTZbp7mAM1BIMQ2NYlEmRr4i1QBSDejrDoYZG4n8Yq2SCD3y09cayV9wDdQsnLvkyhhZPJSqOTy4SGxag,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09594115199995087,0.09594115199995087,0.09594115199995087,0.2878234559998526,0.3837646079998035,0.3837646079998035,0.47970575999975434,0.47970575999975434,0.47970575999975434,0.767529215999607,1.2472349759993613,1.439117279999263,1.630999583999165,1.9188230399990174,2.110705343998919,2.4944699519987226,2.6863522559986244,3.070116863998428,3.645763775998133,4.125469535997888,4.701116447997593,4.797057599997544,5.084881055997396,5.660527967997101,6.52399833599666,7.003704095996413,7.579351007996118,7.771233311996021,7.963115615995922,8.250939071995775,8.634703679995578
Greenland,North America,https://lh3.googleusercontent.com/proxy/Yn6DNCKlvLi_LQ83HINL5YZU8WYMMbpxTeEshOMHEtILR8tuhnQfK_OafibEG4g5fSU1enBl5Mf56P4AYSmok5kPuMcbwObh,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.055817379377387275,0.11163475875477455,0.16745213813216184,0.16745213813216184,0.16745213813216184,0.16745213813216184,0.16745213813216184,0.16745213813216184
