state,url,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iowa,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Iowa.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.65,4.65,4.65,4.65,4.65,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Kansas.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.6,1.6,1.6,2.0,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Louisiana.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_Maine.svg,1.4,1.4,1.6,1.6,1.8,1.8,1.8,1.8,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7.0,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0
Maryland,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg,1.15,1.15,1.3,1.3,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75
Massachusetts,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Massachusetts.svg,1.6,1.6,1.6,1.6,1.75,1.75,1.75,1.75,2.1,2.1,2.1,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.75,4.25,4.25,4.25,4.25,4.75,5.25,5.25,5.25,6.0,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0
Michigan,https://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Michigan.svg,1.25,1.25,1.25,1.25,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9
Minnesota,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Minnesota.svg,1.15,1.15,1.15,1.15,1.6,1.6,1.6,1.6,1.8,1.8,1.8,2.3,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.5,3.5,3.5,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,8.0,9.0,9.5,9.5
Mississippi,https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_Mississippi.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,https://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Missouri.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7
Montana,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Montana.svg,0.0,0.0,0.0,0.0,1.6,1.6,1.6,1.6,1.8,1.8,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.25,6.9,7.25,7.35,7.65,7.8,7.9,8.05,8.05,8.15
Nebraska,https://upload.wikimedia.org/wikipedia/commons/4/4d/Flag_of_Nebraska.svg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.0,9.0,9.0
Nevada,https://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Nevada.svg,1.25,1.25,1.3,1.3,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.85,7.55,8.25,8.25,8.25,8.25,8.25,8.25,8.25
New Hampshire,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_New_Hampshire.svg,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.55,3.55,3.55,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_New_Jersey.svg,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,2.2,2.2,2.2,2.5,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,5.05,5.05,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44
New Mexico,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_New_Mexico.svg,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.0,2.0,2.0,2.3,2.65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
New York,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_New_York.svg,1.6,1.6,1.6,1.6,1.85,1.85,1.85,1.85,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.0,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.0,8.75,9.0,9.7
North Carolina,https://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_North_Carolina.svg,1.0,1.0,1.25,1.25,1.45,1.45,1.45,1.45,2.0,2.0,2.0,2.5,2.75,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.8,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,https://upload.wikimedia.org/wikipedia/commons/e/ee/Flag_of_North_Dakota.svg,1.25,1.25,1.45,1.45,1.45,1.45,1.45,1.45,2.3,2.3,2.3,2.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.4,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Ohio.svg,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.85,7.0,7.3,7.3,7.4,7.7,7.85,7.95,8.1,8.1,8.15
Oklahoma,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Oklahoma.svg,1.0,1.0,1.0,1.0,1.4,1.4,1.4,1.4,1.8,1.8,1.8,2.0,2.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Oregon,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Oregon.svg,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.3,2.3,2.3,2.3,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.35,3.35,3.35,4.75,4.75,4.75,4.75,4.75,4.75,5.5,6.0,6.0,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75
Pennsylvania,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Pennsylvania.svg,1.15,1.15,1.3,1.3,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.5,2.5,2.5,2.5,2.5,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.75,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,4.1,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Rhode_Island.svg,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.65,3.65,3.65,4.25,4.45,4.45,4.45,4.45,4.45,5.15,5.15,5.15,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8.0,9.0,9.6,9.6
South Carolina,https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_South_Dakota.svg,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.8,2.8,2.8,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65
Tennessee,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Texas.svg,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
U.S. Virgin Islands,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,6.15,6.15,6.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,https://upload.wikimedia.org/wikipedia/commons/7/70/Flag_of_the_State_of_Utah.svg,1.15,1.15,1.15,1.15,1.35,1.35,1.35,1.35,1.7,1.7,1.7,2.45,2.6,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Vermont.svg,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.55,3.55,3.55,3.85,4.25,4.25,4.25,4.25,4.75,5.0,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.0,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10.0
Virginia,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.35,2.35,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,3.65,3.65,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Washington,https://upload.wikimedia.org/wikipedia/commons/5/54/Flag_of_Washington.svg,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,4.25,4.25,4.25,4.25,4.25,4.9,4.9,4.9,4.9,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11.0
West Virginia,https://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_West_Virginia.svg,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,2.0,2.0,2.0,2.2,2.2,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.35,3.35,3.35,3.35,3.8,3.8,4.25,4.25,4.25,4.25,4.75,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8.0,8.75,8.75
Wisconsin,https://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_Wisconsin.svg,1.25,1.25,1.3,1.3,1.45,1.45,1.45,1.45,2.1,2.1,2.1,2.8,3.0,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.35,3.35,3.35,3.8,3.8,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Wyoming.svg,1.2,1.2,1.3,1.3,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
