country,category,url,Jan 21 2020,Jan 22 2020,Jan 23 2020,Jan 24 2020,Jan 25 2020,Jan 26 2020,Jan 27 2020,Jan 28 2020,Jan 29 2020,Jan 30 2020,Jan 31 2020,Feb 1 2020,Feb 2 2020,Feb 3 2020,Feb 4 2020,Feb 5 2020,Feb 6 2020,Feb 7 2020,Feb 8 2020,Feb 9 2020,Feb 10 2020,Feb 11 2020,Feb 12 2020,Feb 13 2020,Feb 14 2020,Feb 15 2020,Feb 16 2020,Feb 17 2020,Feb 18 2020,Feb 19 2020,Feb 20 2020,Feb 21 2020,Feb 22 2020,Feb 23 2020,Feb 24 2020,Feb 25 2020,Feb 26 2020,Feb 27 2020,Feb 28 2020,Feb 29 2020,Mar 1 2020,Mar 2 2020,Mar 3 2020,Mar 4 2020,Mar 5 2020,Mar 6 2020,Mar 7 2020,Mar 8 2020,Mar 9 2020,Mar 10 2020,Mar 11 2020,Mar 12 2020,Mar 13 2020,Mar 14 2020,Mar 15 2020,Mar 16 2020,Mar 17 2020
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.023927128780795903,0.05981782195198976,0.21534415902716314,0.33497980293114266,0.5144332687871119,0.729777427814275,1.1365386170878053,1.6868625790461111,2.931073275647498,4.641862983474406,7.094393683505985,11.700365973809197,17.957310149987325,27.946886415969615,34.957535148742814,42.02800170346801,56.79104016121908,69.66383544528728,78.55276378735294,85.67108459963973,96.21098482758033,107.67207951358156,120.53291123325937,135.9539457324823,152.28421112537552,179.3457937764557,179.3457937764557
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.024094710524340656,0.12047355262170328,0.14456826314604396,0.1686629736703846,0.19275768419472525,0.31323123681642856,0.4577994999624725,0.6264624736328571,0.7469360262545603,0.8674095788762637,0.8674095788762637,1.0601672630709889,1.3011143683143955,1.4456826314604394,1.4697773419847802,1.4697773419847802,1.686629736703846,1.686629736703846,2.2408080787636813,2.2408080787636813,2.9877441050182414,2.9877441050182414
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.20458298622420004,0.20458298622420004,0.20458298622420004,0.4091659724484001,0.4091659724484001,2.864161807138801,3.682493752035601,3.887076738259801,4.296242710708201,4.909991669380801,6.955821531622802,8.797068407640602,14.320809035694003,18.412468760178005,26.39120522292181,34.57452467188981,45.62200592799661
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11476366889809317,0.11476366889809317,0.11476366889809317,0.22952733779618634,0.22952733779618634,0.22952733779618634,0.3442910066942795,0.5738183444904659,0.8033456822866522,0.8033456822866522,1.1476366889809317,1.377164026777118,1.7214550334713974,1.7214550334713974,2.18050970906377,2.869091722452329,4.475783087025634,4.475783087025634,8.607275167356988,8.607275167356988,8.607275167356988,11.476366889809317,20.427933063860582,22.952733779618633,28.690917224523293
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,"","","","","","","","","","",0.033822592351869685,0.033822592351869685,0.033822592351869685,0.033822592351869685,0.033822592351869685,0.033822592351869685,0.033822592351869685,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.050733888527804534,0.15220166558341358,1.2852585093710482,2.0970007258159207,3.872686824289079,5.44543736865102,6.764518470373938,10.992342514357649,15.01723100423014,19.075942086454504,28.56317924115395,34.43139901420334,42.31206303218898,52.23899388746273,65.24378064675663,78.40076907163393,99.48915540302468,124.72080929751948,155.1104085256744,171.63274488956273,210.7485729445,255.5804191069033,298.65349046700936,357.7922931942535,418.50384646585957,473.1780670026569
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.3432698512955004,0.3432698512955004,0.3432698512955004,2.4028889590685027,2.7461588103640033,3.432698512955004,3.432698512955004
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,0.007905410373528505,0.007905410373528505,0.007905410373528505,0.007905410373528505,0.023716231120585515,0.023716231120585515,0.03162164149411402,0.04743246224117103,0.05533787261469954,0.08695951410881356,0.11067574522939908,0.1343919763499846,0.1581082074705701,0.1581082074705701,0.1581082074705701,0.18182443859115563,0.19763525933821263,0.19763525933821263,0.19763525933821263,0.20554066971174115,0.20554066971174115,0.20554066971174115,0.22135149045879815,0.22925690083232667,0.2608785423264407,0.3241218253146687,0.4189867497970108,0.4664192120381818,0.5138516742793529,0.5770949572675809,0.6719598817499229,0.735203164738151,0.830068089220493,1.0435141693057628,1.1383790937881049,1.2411494286439753,1.2964873012586748,1.470406329476302,1.660136178440986,1.8182443859115562,1.8893930792733127,2.00797423487624,2.1186499801056393,2.2451365460820956,2.506015088408536,2.758988220361448,3.22540743239963,3.5969617199554698,3.857840262281911,4.063380931993652,4.490273092164191,4.901354431587674,5.336152002131741,5.66027382744641,6.166220091352234,6.435004044052203,6.553585199655131
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.09795602988912748,0.587736179334765,3.428461046119462
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.31953749716610186,0.31953749716610186,0.31953749716610186
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.01869449010002431,0.01869449010002431,0.01869449010002431,0.05608347030007292
