country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,23.70775239500468,23.490306918278076,23.146918347076014,21.154206527377298,19.756143534698932,19.582326594166506,19.580712267565637,19.304401350876397,18.589506724514276,19.78998107286784,20.430235417063773,20.753450687016525,21.60729780968918,21.425906909424235,21.677462674431773,21.667814015330123,21.501707754715003,21.860335014360956,22.32317442651311,22.459218339392798,22.681221458019902,22.824620896670318,22.831786832446546,23.014443196245015,22.46396086464531,22.07380382106663,21.949180212080186,24.780576502453677
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,38.94798135001288,39.442714219044355,39.46047363452137,39.462895842652365,39.59577481499909,40.967225760804794,42.669235865809135,39.14412065925797,44.20875642631388,44.576275011578275,46.776357926423,48.192469088654796,49.7695008551332,51.32026055357027,52.49386188136618,53.50298713606363,53.83150240136162,53.5132260488815,53.78221053084717,54.34626289090612,54.49403534387982,54.68493924448127,54.86810362455602,55.17852886774091,55.369244538272774,55.53535233657369,55.64363074261338,55.822085007057396
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,34.894826932351194,35.707412492059746,36.36134816081887,37.010914996751815,36.84461182872237,37.34163900701859,38.54969029742386,37.97398696802453,38.70135046410984,40.18906455403609,40.39292348108157,41.02727953347946,41.63371536373338,41.90308372124865,43.01067042759541,43.30556194222634,43.45136510208724,43.5054150536656,43.76714236202508,43.97951210690946,44.55995355305608,45.03965318202193,45.50561652766993,45.71410618291309,45.84305020141653,46.158814404569505,46.58305988092358,47.284556944799846
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,35.54984505388264,35.24232591690289,35.07988148994847,34.90324945161669,34.895659245305076,34.640278020609465,34.172277314332135,33.66994065301805,33.171903610868995,32.78530319078391,32.42798516572984,32.09810362331431,31.840598935019244,31.44457104761252,31.17239811845422,30.919793275920533,30.630940386126493,30.56307565526446,30.532096400298336,30.570669012667334,30.544100421303167,30.68768706681367,30.80285412749881,30.82884463856379,30.825812939959963,30.785999036717914,30.716934471972902,30.6471959529856
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,7.411400596625397,7.5626236794459984,7.580161016409287,7.306542493495613,7.703847233893585,7.883091895608244,7.80889853375929,7.722820940419786,7.700866711168805,7.966995326899111,8.162986570700854,8.148032548245672,8.312297937892426,8.471618156802773,8.670755963976031,8.709560492956982,8.76815272001383,8.977849637332923,9.228313572511277,9.436333683143088,9.6973835529413,9.979037723703705,10.280801801770778,10.562802984333665,10.73989582279872,11.116761101430264,11.468611559367474,11.82825438297477
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,39.28456633643481,38.99668019488268,38.87101823300945,38.50029540449826,38.30040228132256,38.28106134388079,37.7462601585753,37.793615440220556,37.118978735961164,36.20057095143325,35.36525023936888,35.01565458135423,34.70693290603102,34.74852004046478,34.3988144540411,34.40925488880876,34.11077995402843,33.91592705952262,33.72908073769613,33.60259556198057,33.48500545867562,33.42523655811337,33.32496189287114,33.260678199339225,33.185408941952225,32.998155205596646,33.12982860250477,33.15721568503868
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,40.550317046696875,40.00284922132041,39.786954528088245,39.22867016936906,38.358988157424584,37.81917936624558,37.10667589794248,36.49701377942807,36.058308761239964,35.79169784510906,34.98858252070749,34.66011618862463,34.39963585704058,34.2155270833371,33.8033623228758,33.403783886067664,33.13087782005223,33.01240260483972,32.496537631055375,32.37743715551035,32.45034887821019,32.31536141463873,32.09540664249784,31.864804888224768,31.63069200369122,31.62343788803198,31.769054224168876,31.81621306841944
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,44.20696680807976,45.56084262157407,45.37508175327713,47.064276972393124,48.0526382589317,48.88230253633065,49.48939442028934,49.67443013368914,50.096593016802196,50.59244863805515,50.815803774338164,50.96484502907255,51.295745253453916,51.357766370141675,51.06342008456405,50.734987829062696,50.35090602359163,50.04049560047715,49.39987003823251,48.85311255804672,48.534905957242806,48.19038334231706,47.93958804743286,47.61322254242016,47.309248825599035,47.149793563391896,47.38271813516318,48.17662260896481
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,42.7533994965192,42.14544035331531,41.705666243262655,41.12086255630583,40.71481458927478,40.12026239370641,39.540783161286676,38.90553659029478,38.28522138143089,37.6214283730568,37.103139298468946,36.55208676209305,36.03752927820346,35.31749205114805,34.56747572570414,33.846336912753074,33.40585630227957,33.07488851011994,32.67436825047361,31.969927608911636,31.391146436559005,31.114144498553774,30.648877841048538,30.23240847412017,30.091657346594967,30.028404264869273,30.353649450781766,30.494304251889798
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,48.27365720662945,48.235091909685494,48.1779812740678,48.21082418899995,48.16537224507436,48.385203522536045,48.59861329649214,48.46581175922865,48.3279951062917,47.827577529374,46.90067489576187,45.88261645939018,44.92299775494381,43.71703311682137,42.47067338960709,41.82686749003329,41.23569658026164,40.857264782029475,40.34516197872625,39.94759398255802,39.50661416168005,39.21354940556606,38.98906977726906,38.685069850909784,38.448639664855875,38.502172756405926,38.343247224930785,38.57248248417899
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,39.073355518178914,40.6337857727843,40.00910403412365,41.8909590265295,42.12095424165314,45.48210087636334,46.424598518993285,46.60745005993481,47.07477605456846,47.59637438363332,48.30104481706976,49.810942961102505,50.81052575160285,51.4363244618669,51.33684933359069,51.59483060357102,51.92852708994089,51.64488373410908,51.86736767392575,52.10067105574343,52.30011501013524,52.621768950173276,52.74063169332749,52.56932311852628,52.61534484663309,52.70028120188714,52.82818074843767,53.32854099208577
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,30.830376978241286,30.38447435647045,29.856247551520653,29.347752866428518,28.97118199366596,29.145772409704286,28.854795565766672,29.09535899948982,29.07413804489691,28.417335079461186,28.338220945066006,28.768607259069846,29.44340344246515,29.518256743863663,29.666054195194686,30.096025601932553,29.79698882973493,30.1482647521203,30.48514060389501,30.77376464585413,30.999690048903467,31.077497484443402,30.70521147044968,30.655341372615514,30.94222156053631,30.92909599801344,31.575456970166897,31.80387692619674
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,38.72621074183077,38.486509012870826,38.3192088258742,38.14850723242823,38.12619157397083,37.96113009306472,37.87827303488563,37.87105556402969,37.20610435633413,36.43861012276269,32.85169890739547,34.0871379606995,33.15810802903251,32.27698742856497,31.02674734526011,29.744616887629192,28.059852350268287,28.48697314144355,28.01634724446787,27.696137713426626,27.60517125495155,27.502271536250806,27.447420063342747,27.28039658929952,27.448349514635908,27.97700424573041,28.516487259193866,28.901463229874143
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,9.758327995019757,8.624353851219766,10.248724844009898,10.671463094684805,11.166042035024622,11.83826159804006,12.473485815290182,13.195504341656259,13.946534220298615,14.949342126852795,16.28527614470571,17.53982837369315,18.881052745919312,20.586268198038677,22.435860064896417,24.515683314308472,26.481897027034197,28.31940362096386,30.20674440354889,31.613864529671844,32.91765853668909,33.41479634290581,33.914372444643845,34.304146988933454,34.44360299107002,34.87708070567269,35.61555414646735,36.12950079390211
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,39.23545017820228,38.92991793797823,38.66912439607195,38.54976186952911,38.18417962252922,37.43120203300395,36.786883290796894,35.96326738551356,34.73333115497136,33.32104978956925,32.30108692216948,31.700752626049887,31.379862167546722,31.073994556731037,30.348903223676672,29.933524838725912,29.567428007772094,29.193051659472758,29.175132006601295,28.8215285632051,28.803019682554147,29.06235076946552,29.28999230378629,29.58239521233061,29.851859314822804,30.00448973440239,30.135063278826756,30.25276675787228
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,52.211411807132734,52.439026297988164,52.55809328627339,53.23174539060182,53.63864000738342,53.98010329356916,54.33230150729904,54.64185760842436,54.920235401346595,55.534557942070684,55.87263876270835,56.67669277072464,57.63737030396571,58.04482282854882,58.16392322338356,58.324380684600264,58.54992049875706,58.65814734017177,58.74867369209381,59.02978936513208,58.9191847722503,59.25041341538183,59.67077017188301,60.337927471450335,60.46454273103773,60.33699413075955,60.466172043463075,60.37194071343074
