country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Aug 01,Aug 02,Aug 03,Aug 04,Aug 05,Aug 06,Aug 07,Aug 08,Aug 09,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,Sep 01,Sep 02,Sep 03,Sep 04,Sep 05,Sep 06,Sep 07,Sep 08,Sep 09,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Oct 01,Oct 02,Oct 03,Oct 04,Oct 05,Oct 06,Oct 07,Oct 08,Oct 09,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,Nov 05,Nov 06,Nov 07,Nov 08,Nov 09,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,3.0,4.0,4.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.0,34.0,34.0,78.0,78.0,87.0,87.0,87.0,87.0,87.0,87.0,106.0,106.0,106.0,132.0,132.0,132.0,132.0,141.0,141.0,141.0,162.0,162.0,162.0,162.0,176.0,176.0,176.0,197.0,197.0,210.0,210.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,272.0,272.0,303.0,303.0,303.0,309.0,309.0,311.0,311.0,313.0,313.0,313.0,313.0,317.0,317.0,317.0,317.0,321.0,328.0,328.0,328.0,334.0,334.0,337.0,337.0,340.0,340.0,340.0,340.0,340.0,340.0,378.0,378.0,382.0,386.0,386.0,386.0,388.0,388.0,396.0,396.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,403.0,405.0,405.0,405.0,405.0,406.0,406.0,406.0,417.0,417.0,417.0,417.0,417.0,417.0,422.0,423.0,423.0,423.0,427.0,448.0,448.0,448.0,452.0,452.0,452.0,456.0,456.0,456.0,456.0,456.0,456.0,457.0,457.0,467.0,470.0,470.0,470.0,470.0,470.0,470.0,474.0,474.0,478.0,478.0,478.0,479.0,479.0,484.0,484.0,487.0,487.0,487.0,491.0,491.0,495.0,495.0,495.0,495.0,495.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,504.0,504.0,517.0,517.0,517.0,517.0,517.0,517.0,525.0,530.0,537.0,545.0,545.0,545.0,554.0,554.0,557.0,557.0,563.0,563.0,563.0,569.0,569.0,574.0,574.0,579.0,579.0,579.0,591.0,591.0,592.0,592.0
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,22.0,22.0,41.0,41.0,45.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,70.0,70.0,74.0,117.0,117.0,143.0,143.0,160.0,160.0,165.0,186.0,186.0,200.0,200.0,200.0,207.0,207.0,220.0,220.0,229.0,229.0,229.0,236.0,236.0,264.0,274.0,287.0,287.0,287.0,333.0,333.0,341.0,391.0,391.0,412.0,412.0,412.0,420.0,420.0,469.0,469.0,487.0,487.0,531.0,569.0,571.0,571.0,587.0,587.0,611.0,611.0,611.0,618.0,635.0,639.0,683.0,683.0,683.0,728.0,745.0,745.0,745.0,779.0,779.0,883.0,883.0,883.0,883.0,883.0,1013.0,1013.0,1087.0,1087.0,1087.0,1204.0,1204.0,1245.0,1245.0,1245.0,1245.0,1382.0,1382.0,1557.0,1557.0,1557.0,1557.0,1557.0,1821.0,1821.0,2028.0,2028.0,2103.0,2103.0,2222.0,2358.0,2358.0,2633.0,2633.0,2633.0,2851.0,2851.0,2851.0,3038.0,3038.0,3038.0,3038.0,3200.0,3200.0,3200.0,3376.0,3376.0,3387.0,3387.0,3546.0,3546.0,3546.0,3637.0,3637.0,3664.0,3664.0,3664.0,3745.0,3745.0,3745.0,3745.0,3745.0,3835.0,3835.0,3835.0,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0,3979.0,3979.0,3979.0,3979.0,3979.0,3979.0,3979.0,4628.0,4628.0,4628.0,4628.0,4628.0,4628.0,4891.0,4891.0,4891.0,4891.0,4928.0,4928.0,4934.0,4934.0,4934.0,4934.0,4980.0,4980.0,4986.0,4986.0,5002.0,5002.0,5005.0,5005.0,5005.0,5008.0,5008.0,5089.0,5089.0,5089.0,5089.0,5089.0,5089.0,5089.0,5089.0,5089.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5156.0,5253.0,5253.0,5253.0,5253.0,5253.0,5290.0,5290.0,5290.0,5290.0,5290.0,5348.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5379.0,5515.0,5515.0,5515.0,5515.0,5632.0
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","",1.0,"","",4.0,4.0,5.0,5.0,6.0,9.0,14.0,17.0,25.0,25.0,73.0,80.0,96.0,101.0,140.0,165.0,168.0,168.0,190.0,194.0,218.0,245.0,261.0,323.0,349.0,384.0,444.0,480.0,533.0,574.0,626.0,626.0,654.0,688.0,742.0,801.0,847.0,879.0,916.0,952.0,1004.0,1077.0,1111.0,1150.0,1164.0,1183.0,1238.0,1275.0,1333.0,1362.0,1398.0,1432.0,1464.0,1516.0,1571.0,1602.0,1667.0,1700.0,1730.0,1857.0,1912.0,1971.0,2017.0,2061.0,2109.0,2119.0,2153.0,2231.0,2231.0,2301.0,2366.0,2376.0,2423.0,2477.0,2556.0,2641.0,2750.0,2799.0,2833.0,2951.0,3024.0,3024.0,3262.0,3431.0,3557.0,3739.0,3881.0,3995.0,4181.0,4404.0,4684.0,4848.0,5084.0,5439.0,5679.0,6063.0,6063.0,6444.0,6874.0,7492.0,7492.0,7904.0,7904.0,8164.0,8334.0,8739.0,8944.0,9214.0,9499.0,9702.0,9992.0,10244.0,10462.0,10772.0,10966.0,10966.0,11504.0,11750.0,12052.0,12443.0,12766.0,12872.0,13037.0,13403.0,13554.0,13696.0,13912.0,14119.0,14312.0,14531.0,14531.0,15001.0,15253.0,15494.0,15596.0,15655.0,15713.0,15813.0,15978.0,16047.0,16109.0,16182.0,16220.0,16293.0,16349.0,16447.0,16524.0,16620.0,16715.0,16798.0,16847.0,16847.0,16889.0,16935.0,16993.0,17026.0,17026.0,17150.0,17232.0,17249.0,17310.0,17374.0,17471.0,17506.0,17562.0,17603.0,17702.0,17797.0,17893.0,17948.0,18067.0,18103.0,18161.0,18208.0,18269.0,18472.0,18588.0,18701.0,18778.0,18815.0,18869.0,18916.0,18987.0,19013.0,19066.0,19100.0,19132.0,19158.0,19200.0,19269.0,19320.0,19327.0,19343.0,19430.0,19501.0,19556.0,19600.0,19629.0,19641.0,19669.0,19724.0,19755.0,19793.0,19849.0,19882.0,19885.0,19903.0,19935.0,19982.0,20036.0,20128.0,20154.0,20155.0,20183.0,20217.0,20257.0,20275.0,20301.0,20323.0,20324.0,20342.0,20363.0,20390.0,20405.0,20429.0,20470.0,20486.0,20488.0,20555.0,20628.0,20692.0,20716.0,20716.0,20753.0,20765.0,20778.0,20789.0,20801.0,20813.0,20832.0,20835.0,20847.0,20855.0,20882.0,20899.0,20945.0,20976.0,20988.0,21004.0,21045.0,21083.0,21099.0
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","",1.0,"","",2.0,2.0,2.0,3.0,3.0,14.0,14.0,14.0,23.0,26.0,26.0,45.0,45.0,54.0,58.0,58.0,81.0,98.0,98.0,123.0,123.0,134.0,154.0,154.0,161.0,180.0,183.0,215.0,223.0,234.0,234.0,235.0,254.0,267.0,287.0,307.0,327.0,332.0,350.0,359.0,377.0,394.0,416.0,442.0,459.0,471.0,491.0,500.0,572.0,604.0,674.0,684.0,684.0,705.0,863.0,897.0,937.0,991.0,1024.0,1102.0,1169.0,1242.0,1298.0,1369.0,1454.0,1454.0,1629.0,1731.0,1835.0,1945.0,2025.0,2141.0,2297.0,2297.0,2545.0,2659.0,2832.0,2833.0,2966.0,3049.0,3194.0,3325.0,3494.0,3643.0,3764.0,3878.0,4016.0,4105.0,4258.0,4389.0,4514.0,4636.0,4723.0,4777.0,4837.0,4974.0,5099.0,5282.0,5476.0,5671.0,5826.0,5925.0,6027.0,6027.0,6411.0,6552.0,6552.0,6826.0,6939.0,7038.0,7121.0,7188.0,7188.0,7378.0,7410.0,7432.0,7660.0,7737.0,7845.0,7904.0,7970.0,8032.0,8074.0,8135.0,8162.0,8198.0,8248.0,8323.0,8402.0,8442.0,8533.0,8625.0,8719.0,8766.0,8800.0,8831.0,8844.0,8873.0,8931.0,9010.0,9070.0,9083.0,9114.0,9132.0,9177.0,9252.0,9308.0,9354.0,9453.0,9453.0,9488.0,9498.0,9537.0,9588.0,9604.0,9637.0,9675.0,9705.0,9720.0,9740.0,9756.0,9801.0,9810.0,9829.0,9841.0,9890.0,9911.0,9914.0,9993.0,10007.0,10044.0,10096.0,10103.0,10113.0,10125.0,10148.0,10178.0,10209.0,10232.0,10291.0,10323.0,10342.0,10360.0,10384.0,10389.0,10389.0,10401.0,10401.0,10442.0,10456.0,10488.0,10514.0,10518.0,10522.0,10536.0,10554.0,10577.0,10592.0,10611.0,10624.0,10630.0,10659.0,10684.0,10684.0,10752.0,10759.0,10778.0,10778.0,10804.0,10821.0,10834.0,10840.0,10850.0,10868.0,10871.0,10934.0,10969.0,10999.0,11005.0,11051.0,11051.0,11065.0,11065.0,11096.0,11121.0,11142.0,11142.0,11173.0,11190.0,11210.0,11253.0,11305.0,11305.0,11371.0,11372.0,11426.0,11449.0,11485.0,11549.0,11590.0,11607.0,11607.0,11641.0,11655.0,11691.0,11691.0,11759.0,11789.0,11838.0,11866.0,11917.0,12007.0,12128.0
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,12.0,13.0,15.0,19.0,26.0,31.0,34.0,41.0,41.0,51.0,59.0,90.0,121.0,135.0,140.0,150.0,187.0,214.0,298.0,363.0,435.0,591.0,732.0,732.0,846.0,846.0,945.0,974.0,986.0,999.0,1008.0,1023.0,1035.0,1072.0,1077.0,1089.0,1097.0,1112.0,1112.0,1116.0,1120.0,1120.0,1133.0,1135.0,1189.0,1210.0,1227.0,1256.0,1268.0,1284.0,1309.0,1331.0,1401.0,1518.0,1518.0,1828.0,2047.0,2270.0,2270.0,2270.0,2468.0,2468.0,2697.0,2914.0,2914.0,3194.0,3354.0,3569.0,3779.0,3935.0,4054.0,4123.0,4169.0,4207.0,4278.0,4331.0,4373.0,4398.0,4441.0,4449.0,4465.0,4501.0,4539.0,4545.0,4557.0,4565.0,4565.0,4582.0,4599.0,4617.0,4630.0,4635.0,4643.0,4643.0,4643.0,4656.0,4682.0,4704.0,4715.0,4736.0,4736.0,4792.0,4822.0,4878.0,4889.0,4955.0,4955.0,4955.0,4972.0,4977.0,4979.0,4985.0,4993.0,5003.0,5003.0,5011.0,5020.0,5027.0,5030.0,5031.0,5039.0,5039.0,5050.0,5059.0,5068.0,5081.0,5081.0,5081.0,5081.0,5161.0,5240.0,5248.0,5330.0,5334.0,5338.0,5338.0,5344.0,5347.0,5348.0,5358.0,5358.0,5367.0,5367.0,5369.0,5372.0,5374.0,5374.0,5374.0,5382.0,5382.0,5382.0,5383.0,5383.0,5383.0,5383.0,5383.0,5385.0,5385.0,5387.0,5387.0,5387.0,5387.0,5387.0,5387.0,5388.0,5388.0,5388.0,5391.0,5394.0,5394.0,5394.0,5395.0,5396.0,5396.0,5399.0,5401.0,5403.0,5403.0,5403.0,5404.0,5407.0,5407.0,5407.0,5409.0,5409.0,5409.0,5410.0,5416.0,5416.0,5417.0,5417.0,5418.0,5419.0,5421.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5426.0,5428.0,5440.0,5443.0,5449.0,5452.0,5459.0,5469.0,5499.0,5512.0,5522.0,5528.0,5530.0,5536.0,5541.0,5544.0,5555.0,5558.0,5559.0,5561.0,5563.0,5573.0,5575.0,5580.0,5599.0,5604.0,5605.0,5608.0,5627.0,5633.0,5635.0,5641.0,5644.0,5645.0,5649.0,5655.0,5656.0,5658.0,5658.0,5660.0
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,1.0,2.0,0.0,0.0,0.0,3.0,15.0,0.0,49.0,55.0,59.0,60.0,80.0,93.0,93.0,110.0,126.0,166.0,196.0,210.0,256.0,285.0,294.0,327.0,366.0,442.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,779.0,985.0,1070.0,1073.0,1322.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0,3032.0,3144.0,3333.0,3490.0,3490.0,3659.0,4092.0,4319.0,4319.0,4782.0,5042.0,5268.0,5537.0,5895.0,6193.0,6465.0,6813.0,7201.0,7588.0,7981.0,8476.0,8964.0,9400.0,9746.0,10093.0,10431.0,10829.0,11228.0,11719.0,12229.0,12764.0,13484.0,14229.0,15003.0,15786.0,16613.0,17265.0,17967.0,18756.0,19666.0,20793.0,22082.0,23449.0,24985.0,26384.0,27536.0,28615.0,29767.0,31115.0,32612.0,34079.0,35444.0,36829.0,38284.0,39726.0,41304.0,42980.0,44598.0,46289.0,47856.0,49219.0,50437.0,52211.0,53758.0,55233.0,56809.0,58141.0,59561.0,61130.0,62755.0,63923.0,65188.0,66754.0,68311.0,69814.0,71299.0,72711.0,74035.0,75253.0,76222.0,77279.0,78304.0,79254.0,80235.0,81158.0,82070.0,83001.0,83930.0,84843.0,85771.0,86474.0,87172.0,87775.0,88402.0,89078.0,89745.0,90413.0,91072.0,91583.0,92062.0,92482.0,92947.0,93356.0,93757.0,94078.0,94316.0,94483.0,94640.0,94752.0,94875.0,95006.0,95147.0,95314.0,95492.0,95666.0,95834.0,95963.0,96108.0,96220.0,96336.0,96475.0,96590.0,96590.0,96914.0,97025.0,97148.0,97237.0,97237.0,97478.0,97619.0,97825.0,98062.0,98285.0,98497.0,98727.0,98939.0,99115.0,99280.0,99425.0,99582.0,99712.0,99863.0,100041.0,100228.0,100403.0,100557.0,100708.0,100856.0,101009.0,101177.0,101340.0,101500.0,101641.0,101772.0,101900.0,102015.0,102141.0,102254.0,102375.0,102513.0,102625.0,102736.0,102840.0,102955.0,103079.0,103198.0,103317.0,103466.0,103575.0,103683.0,103781.0,103902.0,104035.0,104156.0,104262.0,104387.0,104387.0,104648.0,104787.0,104915.0,105033.0,105159.0,105297.0,105424.0,105547.0,105705.0,105883.0,106060.0,106230.0,106397.0,106540.0,106707.0,106877.0,107030.0,107209.0,107376.0,107555.0,107736.0,107925.0,108122.0,108329.0,108530.0,108754.0,108962.0,109201.0,109422.0,109654.0,109881.0,110095.0,110319.0,110547.0,110767.0,111009.0,111284.0,111613.0,111955.0,112318.0
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,9.0,9.0,11.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,21.0,21.0,41.0,51.0,51.0,79.0,79.0,79.0,79.0,79.0,83.0,84.0,212.0,214.0,258.0,258.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,522.0,594.0,594.0,594.0,594.0,719.0,890.0,890.0,903.0,903.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1664.0,1664.0,1664.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,4892.0,4892.0,4892.0,4892.0,4926.0,4926.0,4926.0,4926.0,4926.0,4928.0,4928.0,4941.0,4941.0,4941.0,4965.0,4965.0,4965.0,4972.0,4972.0,4972.0,4972.0,4985.0,4985.0,4990.0,4990.0,4996.0,4996.0,5000.0,5000.0,5000.0,5000.0,5002.0,5002.0,5002.0,5018.0,5018.0,5018.0,5018.0,5018.0,5028.0,5028.0,5028.0,5030.0,5030.0,5045.0,5045.0,5045.0,5045.0,5052.0,5052.0,5062.0,5062.0,5063.0,5063.0,5063.0,5066.0,5066.0,5068.0,5068.0,5070.0,5070.0,5070.0,5070.0,5074.0,5074.0,5074.0,5079.0,5079.0,5079.0,5083.0,5083.0,5083.0,5083.0,5088.0,5088.0,5089.0,5089.0,5089.0,5089.0,5092.0,5092.0,5092.0,5092.0,5092.0,5102.0,5104.0,5104.0,5104.0,5104.0,5104.0,5121.0,5121.0,5121.0,5121.0,5121.0
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,12.0,12.0,15.0,18.0,22.0,22.0,29.0,29.0,31.0,31.0,33.0,33.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,65.0,96.0,109.0,121.0,131.0,142.0,142.0,143.0,143.0,143.0,143.0,143.0,144.0,167.0,191.0,191.0,191.0,203.0,203.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,261.0,261.0,263.0,263.0,265.0,265.0,265.0,279.0,279.0,279.0,279.0,282.0,282.0,282.0,282.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,304.0,304.0,304.0,306.0,306.0,306.0,306.0,315.0,315.0,317.0,317.0,318.0,318.0,318.0,319.0,319.0,330.0,330.0,330.0,330.0,330.0,341.0,341.0,361.0,361.0,361.0,361.0,361.0,361.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,369.0,375.0,375.0,375.0,375.0,375.0,375.0,381.0,398.0,398.0,398.0,398.0,398.0,405.0,405.0,414.0,414.0,414.0,414.0,414.0,414.0,422.0,422.0,425.0,452.0,452.0,452.0,457.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,463.0,463.0,463.0,480.0,480.0,484.0,484.0,491.0,491.0,491.0,491.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,518.0,527.0,527.0
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","",0.0,1.0,1.0,4.0,5.0,5.0,6.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,16.0,16.0,16.0,23.0,25.0,29.0,29.0,35.0,38.0,43.0,44.0,52.0,55.0,56.0,65.0,69.0,71.0,74.0,82.0,85.0,92.0,96.0,105.0,108.0,111.0,114.0,116.0,116.0,117.0,122.0,123.0,124.0,126.0,130.0,131.0,133.0,133.0,135.0,140.0,145.0,162.0,191.0,194.0,210.0,239.0,250.0,261.0,263.0,272.0,287.0,306.0,317.0,352.0,365.0,389.0,399.0,433.0,494.0,582.0,655.0,701.0,731.0,831.0,968.0,1063.0,1172.0,1257.0,1344.0,1486.0,1636.0,1805.0,1934.0,2020.0,2156.0,2336.0,2506.0,2670.0,2915.0,3166.0,3345.0,3521.0,3630.0,3759.0,3954.0,4070.0,4469.0,4532.0,4663.0,4848.0,5034.0,5175.0,5425.0,5570.0,5689.0,5846.0,5846.0,5846.0,5846.0,5846.0,5846.0,5846.0,6386.0,6666.0,6774.0,6973.0,7120.0,7402.0,7560.0,7766.0,7969.0,8181.0,8475.0,8803.0,9147.0,9503.0,10207.0,10511.0,11072.0,11524.0,11933.0,12693.0,13968.0,14547.0,15200.0,15810.0,16615.0,17530.0,17999.0,17999.0,19289.0,19877.0,20336.0,20900.0,21452.0,22253.0,22818.0,23591.0,24175.0,25118.0,26204.0,27242.0,28894.0,29876.0,31336.0,32722.0,34058.0,35836.0,37665.0,39033.0,40671.0,42143.0,43688.0,45221.0,46407.0,48140.0,49654.0,51122.0,52131.0,53304.0,54409.0,55213.0,56516.0,57466.0,58672.0,59648.0,60784.0,61700.0,62578.0,63367.0,63888.0,64301.0,64786.0,65486.0,66224.0,66913.0,67515.0,68131.0,68820.0,69709.0,70422.0,71083.0,71687.0,72173.0,72700.0,73332.0,73944.0,74584.0,75368.0,76098.0,76988.0,77860.0,78819.0,79437.0,80003.0,80895.0,81797.0,82662.0,83429.0,84295.0,85136.0,85718.0,86430.0,87169.0,87834.0,88434.0,89137.0,89860.0,90490.0,91118.0,91693.0,92229.0,92858.0,93343.0,93707.0,94218.0,94820.0,95301.0,95789.0,96169.0,96583.0,96942.0,97502.0,97881.0,98391.0,98746.0,99201.0,99675.0,99982.0,100327.0,100727.0,101248.0,101757.0,102321.0,102720.0,103056.0,103395.0,103928.0,104427.0,104879.0
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","",1.0,"",1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,16.0,18.0,18.0,21.0,21.0,21.0,21.0,30.0,33.0,44.0,46.0,49.0,57.0,57.0,75.0,87.0,95.0,108.0,109.0,109.0,120.0,156.0,166.0,167.0,172.0,176.0,176.0,211.0,238.0,276.0,276.0,308.0,335.0,335.0,367.0,397.0,439.0,504.0,620.0,661.0,661.0,802.0,863.0,1004.0,1104.0,1209.0,1320.0,1320.0,1432.0,1502.0,1567.0,1567.0,1728.0,1934.0,1934.0,2135.0,2238.0,2319.0,2431.0,2613.0,2655.0,2655.0,2655.0,2803.0,2902.0,2955.0,3101.0,3101.0,3101.0,3247.0,3294.0,3375.0,3463.0,3463.0,3463.0,3463.0,4033.0,4114.0,4229.0,4340.0,4428.0,4428.0,4428.0,4739.0,4873.0,4956.0,5087.0,5209.0,5209.0,5209.0,5394.0,5394.0,5513.0,5513.0,5620.0,5620.0,5620.0,5743.0,5743.0,5871.0,5871.0,5942.0,5942.0,5942.0,6026.0,6026.0,6121.0,6121.0,6315.0,6315.0,6315.0,6433.0,6433.0,6588.0,6588.0,6984.0,6984.0,6984.0,7189.0,7189.0,7352.0,7352.0,7352.0,7531.0,7531.0,7646.0,7646.0,7787.0,7787.0,7923.0,7923.0,7923.0,8006.0,8006.0,8077.0,8077.0,8225.0,8225.0,8225.0,8270.0,8270.0,8319.0,8319.0,8388.0,8388.0,8388.0,8409.0,8409.0,8468.0,8468.0,8505.0,8505.0,8505.0,8533.0,8533.0,8538.0,8538.0,8601.0,8601.0,8601.0,8608.0,8608.0,8621.0,8621.0,8643.0,8643.0,8643.0,8654.0,8654.0,8678.0,8678.0,8696.0,8696.0,8696.0,8704.0,8704.0,8716.0,8716.0,8728.0,8728.0,8728.0,8752.0,8752.0,8766.0,8766.0,8797.0,8797.0,8797.0,8808.0,8808.0,8815.0,8815.0,8835.0,8835.0,8835.0,8860.0,8860.0,8869.0,8869.0,8881.0,8881.0,8881.0,8884.0,8884.0,8901.0,8901.0,8919.0,8919.0,8919.0,8937.0,8937.0,8957.0,8957.0,8968.0,8968.0,8968.0,8984.0,8984.0,9005.0,9005.0,9022.0,9022.0,9022.0,9029.0,9029.0,9048.0,9048.0,9062.0,9062.0,9062.0,9084.0,9084.0,9084.0,9116.0,9131.0
