country,url,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,,,,,,,,,,,,,,,,,,,,,,,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,,,,,,,,,3043
Uganda,https://dynamospanish.com/wp-content/uploads/flags/images/Uganda/2/large/Uganda.png,,,,,,,,,,,,,,,,,,,,,,,,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,3065,,,,,,,,3065
Rwanda,https://dynamospanish.com/wp-content/uploads/flags/images/Rwanda/2/large/Rwanda.png,,,,,,,,,,,,,,,,,,,,,,,,,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,3236,,,,,,,3236
United Kingdom,https://dynamospanish.com/wp-content/uploads/flags/images/United_Kingdom/2/large/United_Kingdom.png,,,,,,,,,,,,,,,,,,,,,,,,,,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,,,,,,3410
United States,https://dynamospanish.com/wp-content/uploads/flags/images/United_States_of_America/2/large/United_States_of_America.png,,,,,,,,,,,,,,,,,,,,,,,,,,,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,,,,,3771
Egypt,https://dynamospanish.com/wp-content/uploads/flags/images/Egypt/2/large/Egypt.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,3869,,,,3869
Sudan,https://dynamospanish.com/wp-content/uploads/flags/images/Sudan/2/large/Sudan.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,,,3883
Lebanon,https://dynamospanish.com/wp-content/uploads/flags/images/Lebanon/2/large/Lebanon.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,4061,,4061
DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/227px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069,4069
Burundi,https://dynamospanish.com/wp-content/uploads/flags/images/Burundi/2/large/Burundi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205
Russia,https://dynamospanish.com/wp-content/uploads/flags/images/Russian_Federation/2/large/Russian_Federation.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167
Turkey,https://dynamospanish.com/wp-content/uploads/flags/images/Turkey/2/large/Turkey.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888,6888
Yemen,https://dynamospanish.com/wp-content/uploads/flags/images/Yemen/2/large/Yemen.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776,8776
Philippines,https://dynamospanish.com/wp-content/uploads/flags/images/Philippines/2/large/Philippines.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559,9559
Somalia,https://dynamospanish.com/wp-content/uploads/flags/images/Somalia/2/large/Somalia.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10273,10273,10273,10273,10273,10273,10273,10273,10273,10273,10273,10273,10273,10273
Nicaragua,https://dynamospanish.com/wp-content/uploads/flags/images/Nicaragua/2/large/Nicaragua.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10598,10598,10598,10598,10598,10598,10598,10598,10598,10598,10598,10598,10598
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11066,11066,11066,11066,11066,11066,11066,11066,11066,11066,11066,11066
El Salvador,https://dynamospanish.com/wp-content/uploads/flags/images/El_Salvador/2/large/El_Salvador.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053
Peru,https://dynamospanish.com/wp-content/uploads/flags/images/Peru/2/large/Peru.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12771,12771,12771,12771,12771,12771,12771,12771,12771,12771
Colombia,https://dynamospanish.com/wp-content/uploads/flags/images/Colombia/2/large/Colombia.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14698,14698,14698,14698,14698,14698,14698,14698,14698
Syria,https://dynamospanish.com/wp-content/uploads/flags/images/Syria/2/large/Syria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15229,15229,15229,15229,15229,15229,15229,15229
Sri Lanka,https://dynamospanish.com/wp-content/uploads/flags/images/Sri_Lanka/2/large/Sri_Lanka.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15530,15530,15530,15530,15530,15530,15530
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19341,19341,19341,19341,19341,19341
Nigeria,https://dynamospanish.com/wp-content/uploads/flags/images/Nigeria/2/large/Nigeria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22682,22682,22682,22682,22682
Pakistan,https://dynamospanish.com/wp-content/uploads/flags/images/Pakistan/2/large/Pakistan.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23822,23822,23822,23822
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39384,39384,39384
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78589,78589
