country,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New Zealand,https://dynamospanish.com/wp-content/uploads/flags/images/New_Zealand/2/large/New_Zealand.png,2,5,7,7,8,8,10,15,24,25,27,28,29,32,46,46,50,51,62,69,70,436,439,443,446,450,452,452
Nicaragua,https://dynamospanish.com/wp-content/uploads/flags/images/Nicaragua/2/large/Nicaragua.png,3,3,182,219,219,256,299,299,1058,1068,1076,1091,1093,1093,1093,1100,1100,1235,1265,1265,1342,1360,1368,1399,1413,1416,1416,1431
Niger,https://dynamospanish.com/wp-content/uploads/flags/images/Niger/2/large/Niger.png,0,0,0,0,60,60,60,60,60,73,75,79,82,89,89,89,93,99,106,108,112,128,219,251,287,314,374,446
Nigeria,https://dynamospanish.com/wp-content/uploads/flags/images/Nigeria/2/large/Nigeria.png,0,0,0,0,29,29,29,29,43,231,267,467,467,482,575,635,674,764,764,794,834,1019,1396,1415,1429,1481,1498,1518
North Korea,https://dynamospanish.com/wp-content/uploads/flags/images/North_Korea/2/large/North_Korea.png,0,0,0,6,6,74,74,74,124,165,210,334,337,337,360,552,830,1439,1439,1439,1439,1513,1660,1710,1710,1742,2294,2294
Norway,https://dynamospanish.com/wp-content/uploads/flags/images/Norway/2/large/Norway.png,4,4,9,11,18,21,25,31,35,37,38,46,51,51,56,63,64,67,73,75,85,98,101,107,113,119,119,119
Oman,https://dynamospanish.com/wp-content/uploads/flags/images/Oman/2/large/Oman.png,0,0,0,0,0,0,0,0,0,0,0,0,6,36,36,36,36,36,36,36,51,64,64,64,64,64,65,65
Pakistan,https://dynamospanish.com/wp-content/uploads/flags/images/Pakistan/2/large/Pakistan.png,21,370,1856,2538,2889,3951,4106,4368,5394,5685,5685,5926,6002,6330,6358,80413,80821,81490,81738,81840,84026,84536,85206,85935,86206,86869,87230,87271
Palau,https://dynamospanish.com/wp-content/uploads/flags/images/Palau/2/large/Palau.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,http://www.think-israel.org/jan12pix/palestine.flag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,10,10
Panama,https://dynamospanish.com/wp-content/uploads/flags/images/Panama/2/large/Panama.png,0,42,54,54,54,55,55,55,58,64,66,66,71,76,88,88,102,104,136,136,143,147,154,154,177,178,178,178
Papua New Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Papua_New_Guinea/2/large/Papua_New_Guinea.png,0,199,199,267,271,271,312,343,2525,2527,2528,2528,2569,2581,2581,2582,2597,2768,2778,2797,2797,2797,2862,2862,2862,2862,2862,2862
Paraguay,https://dynamospanish.com/wp-content/uploads/flags/images/Paraguay/2/large/Paraguay.png,0,0,0,0,0,0,6,38,92,92,92,92,93,94,95,97,98,98,98,98,99,100,110,114,116,123,128,128
Peru,https://dynamospanish.com/wp-content/uploads/flags/images/Peru/2/large/Peru.png,293,357,357,443,527,547,567,567,611,726,764,950,1049,1089,1112,1119,1119,1745,1804,2029,2196,2270,2340,2416,2471,2506,2511,2610
Philippines,https://dynamospanish.com/wp-content/uploads/flags/images/Philippines/2/large/Philippines.png,3329,3526,3604,4275,4643,6164,6247,6297,6451,6603,6967,7285,7362,7562,7789,7811,9546,9627,9950,11094,11135,11801,12250,18687,18751,18845,18931,18999
Poland,https://dynamospanish.com/wp-content/uploads/flags/images/Poland/2/large/Poland.png,0,0,0,0,1,1,1,56,65,69,70,78,93,106,118,123,128,130,133,145,165,167,168,173,173,178,178,178
Portugal,https://dynamospanish.com/wp-content/uploads/flags/images/Portugal/2/large/Portugal.png,0,0,1,6,6,6,18,18,28,28,31,43,46,48,48,48,48,48,50,50,99,99,99,99,100,100,100,100
Puerto Rico,https://dynamospanish.com/wp-content/uploads/flags/images/Puerto_Rico/2/large/Puerto_Rico.png,0,0,18,18,18,19,31,31,31,33,35,37,37,39,39,39,39,40,40,40,40,41,41,41,41,41,41,2395
Qatar,https://dynamospanish.com/wp-content/uploads/flags/images/Qatar/2/large/Qatar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,https://dynamospanish.com/wp-content/uploads/flags/images/Romania/2/large/Romania.png,12,119,119,121,122,122,122,153,183,209,224,235,248,253,267,275,284,297,302,312,314,314,314,318,323,324,325,334
Russia,https://dynamospanish.com/wp-content/uploads/flags/images/Russian_Federation/2/large/Russian_Federation.png,87,186,302,807,1001,3299,3454,3582,3707,3806,3901,4023,4463,4543,4641,4746,4825,4879,4948,4999,5071,5071,5323,5370,5420,5510,5620,5636
Rwanda,https://dynamospanish.com/wp-content/uploads/flags/images/Rwanda/2/large/Rwanda.png,0,0,0,0,0,0,0,0,0,0,0,12,125,125,125,125,149,178,213,213,234,248,253,253,253,254,307,309
St. Kitts & Nevis,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Kitts_and_Nevis/2/large/Saint_Kitts_and_Nevis.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Lucia/2/large/Saint_Lucia.png,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10
St. Vincent & the Grenadines,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Vicent_and_the_Grenadines/2/large/Saint_Vicent_and_the_Grenadines.png,0,0,3,3,3,3,3,3,3,3,3,3,10,10,10,11,11,11,11,11,11,11,11,22,22,22,22,22
Samoa,https://dynamospanish.com/wp-content/uploads/flags/images/Samoa/2/large/Samoa.png,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27,27,27,27,174,174,174,185,185,185,185,185,185
San Marino,https://dynamospanish.com/wp-content/uploads/flags/images/San_Marino/2/large/San_Marino.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,https://dynamospanish.com/wp-content/uploads/flags/images/Sao_Tome_and_Principe/2/large/Sao_Tome_and_Principe.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,https://dynamospanish.com/wp-content/uploads/flags/images/Saudi_Arabia/2/large/Saudi_Arabia.png,0,0,0,0,0,0,0,0,0,0,0,0,19,31,35,98,98,98,98,258,281,291,310,349,349,371,394,398
Senegal,https://dynamospanish.com/wp-content/uploads/flags/images/Senegal/2/large/Senegal.png,0,0,0,0,0,0,0,0,0,186,186,186,214,221,222,222,222,229,229,235,237,237,255,262,262,262,266,266
Serbia,https://cdn11.bigcommerce.com/s-qf9b/images/stencil/500x659/products/1641/3280/serbiaPS__19306.1514879366.jpg,0,0,0,0,0,0,0,0,1,13,17,23,26,34,34,37,37,37,37,37,42,43,44,44,100,102,102,102
Seychelles,https://dynamospanish.com/wp-content/uploads/flags/images/Seychelles/2/large/Seychelles.png,0,0,0,0,0,0,0,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Sierra Leone,https://dynamospanish.com/wp-content/uploads/flags/images/Sierra_Leone/2/large/Sierra_Leone.png,0,0,0,0,0,0,11,11,11,23,23,23,23,23,33,52,52,52,52,154,169,190,190,190,190,200,200,450
Singapore,https://dynamospanish.com/wp-content/uploads/flags/images/Singapore/2/large/Singapore.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovakia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovakia/2/large/Slovakia.png,0,0,0,0,0,0,1,1,56,59,60,66,66,66,71,73,73,73,74,84,90,90,90,92,95,95,95,95
Slovenia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovenia/2/large/Slovenia.png,1,1,1,3,3,5,8,8,8,9,9,10,10,11,12,13,14,17,17,20,27,27,28,31,33,34,34,34
Solomon Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Soloman_Islands/2/large/Soloman_Islands.png,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,55,55,75,76,76,76,85,132,140,140,140
Somalia,https://dynamospanish.com/wp-content/uploads/flags/images/Somalia/2/large/Somalia.png,0,0,0,0,129,149,151,2461,2461,2461,2461,2461,2461,2462,2760,2771,2873,2897,2897,2897,2907,2907,2938,3107,3107,3107,3115,3115
South Africa,https://dynamospanish.com/wp-content/uploads/flags/images/South_Africa/2/large/South_Africa.png,12,12,12,30,32,135,306,325,379,441,536,555,595,599,602,604,615,615,631,665,685,750,765,769,803,803,816,830
South Korea,https://dynamospanish.com/wp-content/uploads/flags/images/South_Korea/2/large/South_Korea.png,153,279,284,316,344,467,527,557,1164,1278,1344,1453,1705,1853,1901,1943,2037,2063,2083,2095,2117,2253,2277,2286,2338,2338,2338,2338
South Sudan,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,64,163,163,163,163,163
Spain,https://dynamospanish.com/wp-content/uploads/flags/images/Spain/2/large/Spain.png,9,10,10,10,25,39,129,175,175,181,191,197,213,220,228,234,241,254,269,275,285,300,312,323,326,331,335,335
Sri Lanka,https://dynamospanish.com/wp-content/uploads/flags/images/Sri_Lanka/2/large/Sri_Lanka.png,32,59,74,147,147,149,149,158,159,165,175,175,176,411,35816,35822,35851,35883,35930,35934,35970,36034,36087,36204,36492,36514,36514,36550
Sudan,https://dynamospanish.com/wp-content/uploads/flags/images/Sudan/2/large/Sudan.png,0,0,0,24,31,31,182,190,292,329,329,331,364,383,383,388,414,563,563,583,619,638,673,748,786,806,977,977
Suriname,https://dynamospanish.com/wp-content/uploads/flags/images/Suriname/2/large/Suriname.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4
Swaziland,https://dynamospanish.com/wp-content/uploads/flags/images/Swaziland/2/large/Swaziland.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11
Sweden,https://dynamospanish.com/wp-content/uploads/flags/images/Sweden/2/large/Sweden.png,1,1,1,1,1,1,3,6,6,10,11,14,15,21,23,29,33,36,36,36,36,36,39,49,49,49,50,50
Switzerland,https://dynamospanish.com/wp-content/uploads/flags/images/Switzerland/2/large/Switzerland.png,5,5,5,6,6,14,27,48,52,79,107,126,145,154,164,189,200,208,219,231,247,260,271,286,299,317,317,317
Syria,https://dynamospanish.com/wp-content/uploads/flags/images/Syria/2/large/Syria.png,0,0,0,0,0,0,0,0,0,0,0,27,107,107,111,111,116,116,116,116,116,116,116,116,116,128,128,128
Taiwan,https://dynamospanish.com/wp-content/uploads/flags/images/Taiwan/2/large/Taiwan.png,10,46,57,58,88,91,161,215,234,2586,2624,2761,2772,2775,2821,2858,2868,2875,2892,3492,3505,3505,3524,3533,3533,3541,3664,3669
Tajikistan,https://dynamospanish.com/wp-content/uploads/flags/images/Tajikistan/2/large/Tajikistan.png,0,1,1602,1602,1602,1602,1602,1642,1703,1729,1729,1730,1765,1771,1771,1794,1817,1865,1865,1886,1961,1961,1962,1962,1981,1983,1983,1995
Tanzania,https://dynamospanish.com/wp-content/uploads/flags/images/Tanzania/2/large/Tanzania.png,188,188,188,242,276,278,278,360,420,420,457,475,485,485,495,497,497,497,569,597,606,642,651,651,682,740,773,779
Thailand,https://dynamospanish.com/wp-content/uploads/flags/images/Thailand/2/large/Thailand.png,48,103,109,154,265,522,622,834,835,858,967,1189,1379,1388,9750,9798,10105,10157,10196,10214,10511,11307,11716,11800,11833,11834,11865,11941
Timor,https://dynamospanish.com/wp-content/uploads/flags/images/Timor-Leste/2/large/Timor-Leste.png,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Togo,https://dynamospanish.com/wp-content/uploads/flags/images/Togo/2/large/Togo.png,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,43,48,48,70,70,70,70,70,70,70,70
Tonga,https://dynamospanish.com/wp-content/uploads/flags/images/Tonga/2/large/Tonga.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,9,9,9,9
Trinidad & Tobago,https://dynamospanish.com/wp-content/uploads/flags/images/Trinidad_and_Tobago/2/large/Trinidad_and_Tobago.png,0,0,0,4,4,4,4,4,4,4,4,4,4,6,10,11,11,11,13,13,17,18,18,18,18,18,18,18
Tunisia,https://dynamospanish.com/wp-content/uploads/flags/images/Tunisia/2/large/Tunisia.png,36,36,36,36,36,36,36,36,36,36,36,36,36,48,48,48,48,63,63,79,79,79,79,79,79,79,79,79
Turkey,https://dynamospanish.com/wp-content/uploads/flags/images/Turkey/2/large/Turkey.png,68,111,1025,1159,1188,1345,1345,1345,1583,19564,19568,19589,19674,19860,19935,19961,20020,20035,20035,20093,20157,20813,20828,20839,20843,20860,20860,20860
Turkmenistan,https://dynamospanish.com/wp-content/uploads/flags/images/Turkmenistan/2/large/Turkmenistan.png,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4
Tuvalu,https://dynamospanish.com/wp-content/uploads/flags/images/Tuvalu/2/large/Tuvalu.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,https://dynamospanish.com/wp-content/uploads/flags/images/Uganda/2/large/Uganda.png,0,0,0,0,6,6,6,126,126,126,126,137,154,179,179,179,182,215,263,263,651,701,718,730,730,730,749,765
Ukraine,https://dynamospanish.com/wp-content/uploads/flags/images/Ukraine/2/large/Ukraine.png,0,40,40,48,48,58,58,69,87,87,97,105,105,105,105,105,107,107,144,144,149,149,149,151,151,160,169,169
United Arab Emirates,https://dynamospanish.com/wp-content/uploads/flags/images/UAE/2/large/UAE.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,https://dynamospanish.com/wp-content/uploads/flags/images/United_Kingdom/2/large/United_Kingdom.png,85,185,187,194,209,225,232,232,272,287,303,307,321,321,321,339,339,365,374,382,385,385,393,412,419,423,428,428
United States,https://dynamospanish.com/wp-content/uploads/flags/images/United_States_of_America/2/large/United_States_of_America.png,241,385,532,884,1188,1375,1670,1969,2259,2576,2748,2914,3152,3373,3577,6395,6583,6915,7251,7379,7583,8543,8823,9056,9322,9601,9841,9944
Uruguay,https://dynamospanish.com/wp-content/uploads/flags/images/Uruguay/2/large/Uruguay.png,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,6,6,6,6,7,7,8,8,8
Uzbekistan,https://dynamospanish.com/wp-content/uploads/flags/images/Uzbekistan/2/large/Uzbekistan.png,0,0,10,10,10,10,10,10,10,33,33,33,33,33,33,37,37,37,37,37,37,49,51,53,55,55,55,55
Vanuatu,https://dynamospanish.com/wp-content/uploads/flags/images/Vanuatu/2/large/Vanuatu.png,0,0,2,6,6,6,6,105,105,149,149,150,150,150,150,150,150,150,150,150,150,150,150,150,161,171,171,171
Vatican,https://dynamospanish.com/wp-content/uploads/flags/images/Vatican_City/2/large/Vatican_City.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,https://dynamospanish.com/wp-content/uploads/flags/images/Venezuela/2/large/Venezuela.png,0,0,0,0,43,43,51,147,182,30524,30549,30563,30586,30621,30670,30713,30748,30760,30776,30785,30843,30872,30893,30905,30905,30905,30905,30905
Vietnam,https://dynamospanish.com/wp-content/uploads/flags/images/Vietnam/2/large/Vietnam.png,183,674,761,1030,1369,1637,2453,6135,6548,7347,7939,8331,8478,8605,8738,8970,9531,9857,10055,10415,10626,10764,10808,11027,11037,11078,11221,11417
Yemen,https://dynamospanish.com/wp-content/uploads/flags/images/Yemen/2/large/Yemen.png,0,9,9,40,40,40,385,385,455,455,455,517,570,584,584,670,699,797,887,898,920,920,920,960,960,991,1030,1080
Zambia,https://dynamospanish.com/wp-content/uploads/flags/images/Zambia/2/large/Zambia.png,0,0,0,0,0,0,0,0,0,0,0,5,5,8,9,9,9,18,27,58,66,66,66,66,66,66,66,66
Zimbabwe,https://dynamospanish.com/wp-content/uploads/flags/images/Zimbabwe/2/large/Zimbabwe.png,0,0,0,0,0,0,0,0,0,0,70,83,83,93,93,93,93,107,118,118,118,118,118,243,251,266,296,296
