item,value
LIV,99905
LIII,98190
LII,103471
LI,111319
L,111864
XLIX,114442
XLVIII,112191
XLVII,108693
XLVI,111346
XLV,111041
XLIV,106476
XLIII,98732
XLII,97448
XLI,93184
XL,90745
XXXIX,86072
XXXVIII,89795
XXXVII,88637
XXXVI,86801
XXXV,84335
XXXIV,88465
XXXIII,83720
XXXII,90000
XXXI,87870
XXX,94080
XXIX,83420
XXVIII,90000
XXVII,90990
XXVI,79590
XXV,79510
XXIV,73852
XXIII,81590
XXII,80140
XXI,87190
XX,92570
XIX,85530
XVIII,77620
XVII,81770
XVI,85240
XV,68290
XIV,76240
XIII,74740
XII,78940
XI,62050
X,57710
IX,56050
VIII,51700
VII,53320
VI,56640
V,46040
IV,44270
III,41660
II,39120
I,51180
