Manchester United,38,28,7,3,52,91
Arsenal FC,38,22,7,9,30,73
Leeds United,38,21,6,11,15,69
Liverpool FC,38,19,10,9,21,67
Chelsea FC,38,18,11,9,19,65
Aston Villa,38,15,13,10,11,58
Sunderland AFC,38,16,10,12,1,58
Leicester City,38,16,7,15,0,55
West Ham United,38,15,10,13,-1,55
Tottenham Hotspur,38,15,8,15,8,53
Newcastle United,38,14,10,14,9,52
Middlesbrough FC,38,14,10,14,-6,52
Everton FC,38,12,14,12,10,50
Coventry City,38,12,8,18,-7,44
Southampton FC,38,12,8,18,-17,44
Derby County,38,9,11,18,-13,38
Bradford City,38,9,9,20,-30,36
Milton Keynes Dons,38,7,12,19,-28,33
Sheffield Wednesday,38,8,7,23,-32,31
Watford FC,38,6,6,26,-42,24
