Manchester City,38,27,5,6,65,86
Liverpool FC,38,26,6,6,51,84
Chelsea FC,38,25,7,6,44,82
Arsenal FC,38,24,7,7,27,79
Everton FC,38,21,9,8,22,72
Tottenham Hotspur,38,21,6,11,4,69
Manchester United,38,19,7,12,21,64
Southampton FC,38,15,11,12,8,56
Stoke City,38,13,11,14,-7,50
Newcastle United,38,15,4,19,-16,49
Crystal Palace,38,13,6,19,-15,45
Swansea City,38,11,9,18,0,42
West Ham United,38,11,7,20,-11,40
Sunderland AFC,38,10,8,20,-19,38
Aston Villa,38,10,8,20,-22,38
Hull City,38,10,7,21,-15,37
West Bromwich Albion,38,7,15,16,-16,36
Norwich City,38,8,9,21,-34,33
Fulham FC,38,9,5,24,-45,32
Cardiff City,38,7,9,22,-42,30
