Manchester United,42,27,11,4,42,92
Blackburn Rovers,42,25,9,8,27,84
Newcastle United,42,23,8,11,41,77
Arsenal FC,42,18,17,7,25,71
Leeds United,42,18,16,8,26,70
Milton Keynes Dons,42,18,11,13,3,65
Sheffield Wednesday,42,16,16,10,22,64
Liverpool FC,42,17,9,16,4,60
Queens Park Rangers,42,16,12,14,1,60
Aston Villa,42,15,12,15,-4,57
Coventry City,42,14,14,14,-2,56
Norwich City,42,12,17,13,4,53
West Ham United,42,13,13,16,-11,52
Chelsea FC,42,13,12,17,-4,51
Tottenham Hotspur,42,11,12,19,-5,45
Manchester City,42,9,18,15,-11,45
Everton FC,42,12,8,22,-21,44
Southampton FC,42,12,7,23,-17,43
Ipswich Town,42,9,16,17,-23,43
Sheffield United,42,8,18,16,-18,42
Oldham Athletic,42,9,13,20,-26,40
Swindon Town,42,5,15,22,-53,30
