Manchester City,38,32,4,2,79,100
Manchester United,38,25,6,7,40,81
Tottenham Hotspur,38,23,8,7,38,77
Liverpool FC,38,21,12,5,46,75
Chelsea FC,38,21,7,10,24,70
Arsenal FC,38,19,6,13,23,63
Burnley FC,38,14,12,12,-3,54
Everton FC,38,13,10,15,-14,49
Leicester City,38,12,11,15,-4,47
Newcastle United,38,12,8,18,-8,44
Crystal Palace,38,11,11,16,-10,44
AFC Bournemouth,38,11,11,16,-16,44
West Ham United,38,10,12,16,-20,42
Watford FC,38,11,8,19,-20,41
Brighton & Hove Albion,38,9,13,16,-20,40
Huddersfield Town,38,9,10,19,-30,37
Southampton FC,38,7,15,16,-19,36
Swansea City,38,8,9,21,-28,33
Stoke City,38,7,12,19,-33,33
West Bromwich Albion,38,6,13,19,-25,31
