Manchester City,38,28,5,5,64,89
Manchester United,38,28,5,5,56,89
Arsenal FC,38,21,7,10,25,70
Tottenham Hotspur,38,20,9,9,25,69
Newcastle United,38,19,8,11,5,65
Chelsea FC,38,18,10,10,19,64
Everton FC,38,15,11,12,10,56
Liverpool FC,38,14,10,14,7,52
Fulham FC,38,14,10,14,-3,52
West Bromwich Albion,38,13,8,17,-7,47
Swansea City,38,12,11,15,-7,47
Norwich City,38,12,11,15,-14,47
Sunderland AFC,38,11,12,15,-1,45
Stoke City,38,11,12,15,-17,45
Wigan Athletic,38,11,10,17,-20,43
Aston Villa,38,7,17,14,-16,38
Queens Park Rangers,38,10,7,21,-23,37
Bolton Wanderers,38,10,6,22,-31,36
Blackburn Rovers,38,8,7,23,-30,31
Wolverhampton Wanderers,38,5,10,23,-42,25
