Arsenal FC,38,23,9,6,35,78
Manchester United,38,23,8,7,47,77
Liverpool FC,38,18,11,9,26,65
Chelsea FC,38,20,3,15,28,63
Leeds United,38,17,8,13,11,59
Blackburn Rovers,38,16,10,12,5,58
Aston Villa,38,17,6,15,1,57
West Ham United,38,16,8,14,-1,56
Derby County,38,16,7,15,3,55
Leicester City,38,13,14,11,10,53
Coventry City,38,12,16,10,2,52
Southampton FC,38,14,6,18,-5,48
Newcastle United,38,11,11,16,-9,44
Tottenham Hotspur,38,11,11,16,-12,44
Milton Keynes Dons,38,10,14,14,-12,44
Sheffield Wednesday,38,12,8,18,-15,44
Everton FC,38,9,13,16,-15,40
Bolton Wanderers,38,9,13,16,-20,40
Barnsley FC,38,10,5,23,-45,35
Crystal Palace,38,8,9,21,-34,33
