Manchester United,42,24,12,6,36,84
Aston Villa,42,21,11,10,17,74
Norwich City,42,21,9,12,-4,72
Blackburn Rovers,42,20,11,11,22,71
Queens Park Rangers,42,17,12,13,8,63
Liverpool FC,42,16,11,15,7,59
Sheffield Wednesday,42,15,14,13,4,59
Tottenham Hotspur,42,16,11,15,-6,59
Manchester City,42,15,12,15,5,57
Arsenal FC,42,15,11,16,2,56
Chelsea FC,42,14,14,14,-3,56
Milton Keynes Dons,42,14,12,16,1,54
Everton FC,42,15,8,19,-2,53
Sheffield United,42,14,10,18,1,52
Coventry City,42,13,13,16,-5,52
Ipswich Town,42,12,16,14,-5,52
Leeds United,42,12,15,15,-5,51
Southampton FC,42,13,11,18,-7,50
Oldham Athletic,42,13,10,19,-11,49
Crystal Palace,42,11,16,15,-13,49
Middlesbrough FC,42,11,11,20,-21,44
Nottingham Forest,42,10,10,22,-21,40
