Manchester United,38,25,8,5,40,83
Arsenal FC,38,23,9,6,43,78
Newcastle United,38,21,6,11,15,69
Chelsea FC,38,19,10,9,30,67
Liverpool FC,38,18,10,10,20,64
Blackburn Rovers,38,16,12,10,9,60
Everton FC,38,17,8,13,-1,59
Southampton FC,38,13,13,12,-3,52
Manchester City,38,15,6,17,-7,51
Tottenham Hotspur,38,14,8,16,-11,50
Middlesbrough FC,38,13,10,15,4,49
Charlton Athletic,38,14,7,17,-11,49
Birmingham City,38,13,9,16,-8,48
Fulham FC,38,13,9,16,-9,48
Leeds United,38,14,5,19,1,47
Aston Villa,38,12,9,17,-5,45
Bolton Wanderers,38,10,14,14,-10,44
West Ham United,38,10,12,16,-17,42
West Bromwich Albion,38,6,8,24,-36,26
Sunderland AFC,38,4,7,27,-44,19
