Manchester United,38,28,5,5,56,89
Chelsea FC,38,24,11,3,40,83
Liverpool FC,38,20,8,10,30,68
Arsenal FC,38,19,11,8,28,68
Tottenham Hotspur,38,17,9,12,3,60
Everton FC,38,15,13,10,16,58
Bolton Wanderers,38,16,8,14,-5,56
Reading FC,38,16,7,15,5,55
Portsmouth FC,38,14,12,12,3,54
Blackburn Rovers,38,15,7,16,-2,52
Aston Villa,38,11,17,10,2,50
Middlesbrough FC,38,12,10,16,-5,46
Newcastle United,38,11,10,17,-9,43
Manchester City,38,11,9,18,-15,42
West Ham United,38,12,5,21,-24,41
Fulham FC,38,8,15,15,-22,39
Wigan Athletic,38,10,8,20,-22,38
Sheffield United,38,10,8,20,-23,38
Charlton Athletic,38,8,10,20,-26,34
Watford FC,38,5,13,20,-30,28
