rank,name,games,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,3_point_field_goals_made,3_point_field_goals_attempted,3_point_field_goals_pct,free_throws_made,free_throws_attempted,free_throw_pct,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,effective_field_goal_pct,true_shooting_pct
52,Tony Parker,"1,254",38279,19473,7777,15830,49.1,519,1603,32.4,3400,4525,75.1,441,2955,3396,7036,1053,98,2865,50.8,54.6
53,Terry Cummings,"1,183",33895,19460,8045,16628,48.4,44,149,29.5,3326,4711,70.6,3183,5447,8630,2190,1255,650,2200,48.5,52
54,Jamal Crawford,"1,326",38988,19414,6750,16463,41,2220,6377,34.8,3694,4286,86.2,466,2482,2948,4538,1179,271,2476,47.7,52.9
55,Bob Lanier,959,32103,19248,7761,15092,51.4,2,13,15.4,3724,4858,76.7,1843,4853,9698,3007,777,1100,1112,51.4,55.9
56,Eddie Johnson,"1,199",32603,19202,7727,16361,47.2,562,1679,33.5,3186,3792,84,1786,3046,4832,2550,739,180,2076,48.9,53.3
57,Gail Goodrich,"1,031",33527,19181,7431,16300,45.6,-,-,-,4319,5354,80.7,453,651,3279,4805,545,72,390,45.6,51.4
58,Reggie Theus,"1,026",34603,19015,7057,14973,47.1,238,945,25.2,4663,5644,82.6,1182,2167,3349,6453,1206,236,3493,47.9,54.5
59,Dale Ellis,"1,209",34780,19004,7323,15275,47.9,1719,4266,40.3,2639,3365,78.4,1533,2668,4201,1746,974,183,1771,53.6,56.7
60,Scottie Pippen,"1,178",41068,18940,7420,15700,47.3,978,3002,32.6,3122,4437,70.4,2068,5426,7494,6135,2307,947,3257,50.4,53.6
61,Jason Terry,"1,410",42034,18881,6914,15585,44.4,2282,6010,38,2771,3278,84.5,502,2772,3274,5415,1603,275,2415,51.7,55.4
62,Chet Walker,"1,032",33433,18831,6876,14628,47,-,-,-,5079,6384,79.6,245,593,7314,2126,117,10,-,47,54
63,Isiah Thomas,979,35516,18822,7194,15904,45.2,398,1373,29,4036,5316,75.9,951,2527,3478,9061,1861,249,3682,46.5,51.6
64,Bob McAdoo,852,28327,18787,7420,14751,50.3,3,37,8.1,3944,5229,75.4,1818,5502,8048,1951,751,1147,1223,50.3,55.1
65,Zach Randolph,"1,116",34620,18578,7436,15774,47.1,199,729,27.3,3507,4592,76.4,3279,6929,10208,2049,834,301,2290,47.8,52.2
