country,url,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,2018,2144,2141,2072,2146,2137,2167,2221,2275,2240,2252,2324,2318,2393,2436,2400,2456,2605,2577,2532,2647,2715,2746,2735,2865,2911,2926,2957,3093,3126,3122,3102,3190,3186,3202,3347,3441,3616,3596,3549,3564,3645,3797,3754,3115,2874,2846,2802,2767,2447,2613,2871,3117,3079,3426,3647,3697,3797,3962,4006,3909,3607,3246,3148,3189,3271,3391,3595,4080,4724,4594,4923,4677,4802,4934,2061,2352,2620,3363,4029,4560,4845,5066,5432,5945,6519,7056,7468,7837,8081,8508,9025,9416,9755,10195,10551,11132,11495,12053,12671,13523,14266,15115,15732,16052,16305,16770,17362,17210,17891,18019,17855,18021,18488,18361,18781,19626,20468,21853,23223,24175,25456,26127,26424,27796,28938,29266,31019,32638,33821,35714,34946,35923,35820,36845,37653,39100,40418,40828,40055,40500,41446,43052,43175,44894,44845,45010
Azerbaijan,https://dynamospanish.com/wp-content/uploads/flags/images/Azerbaijan/2/large/Azerbaijan.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8818,8818,8818,8818,8818,8818,8818,8939,9345,9769,9992,10430,10677,10808,11222,11636,10505,9224,13196,9160,5163,4014,2427,2322,2243,2170,2389,2576,2770,2906,3084,3305,4806,6827,9354,10216,10804,12866,16176,16407,15841,16025,16045,15296
Bahamas,https://dynamospanish.com/wp-content/uploads/flags/images/Bahamas/2/large/Bahamas.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,https://dynamospanish.com/wp-content/uploads/flags/images/Bahrain/2/large/Bahrain.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14161,15475,16189,17160,24565,20564,20813,20523,18946,14617,17779,17122,15900,15622,16059,10496,12797,13233,15057,14812,15777,14884,15452,15705,16711,16606,15269,18101,16843,20158,27598,25929,24009,28075,29711,36665,38190,38858,46926,36129,37062,36372,40384,39530,38535,39197,39773
Bangladesh,https://dynamospanish.com/wp-content/uploads/flags/images/Bangladesh/2/large/Bangladesh.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1111,1115,1129,1127,1127,1046,1136,1092,1050,1084,1151,1240,1206,1312,1292,1342,1316,1299,1370,1368,1380,1337,1273,1019,1036,1004,1111,1136,1131,1160,1139,1128,1107,1097,1173,1209,1201,1185,1213,1336,1382,1401,1398,1396,1439,1477,1496,1459,1413,1352,1369,1384,1443,1468,1479,1539,1657,1813,1997,2144,2421,2772,2697,2806,2901,3068,3250
Barbados,https://dynamospanish.com/wp-content/uploads/flags/images/Barbados/2/large/Barbados.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4575,4741,4934,5133,5328,5578,5926,6270,6554,6820,7175,7489,7919,8359,8468,8219,9063,9664,10520,12147,13394,13765,13930,13189,10967,12798,10192,10346,9820,10217,9801,9629,9744,10126,10389,9299,11427,13454,14083,15731,15930,16443,16202,16715,17640,18534,21232,21970,20245,20598,20603,18506,17306,17083,17620,17066,16521,18170,16860,15765,14452,11870,10475,9577,9972,10030,10160
Belarus,https://dynamospanish.com/wp-content/uploads/flags/images/Belarus/2/large/Belarus.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9352,9352,9352,9352,9352,9352,9352,10638,11037,11455,11960,12285,12333,12591,12665,12555,13334,12857,12658,10875,11506,7491,7142,7433,7994,7902,7828,8587,8345,8543,9041,9760,10303,11593,12775,14781,14573,16016,17918,18564,19536,20037,19306,18766
Belgium,https://dynamospanish.com/wp-content/uploads/flags/images/Belgium/2/large/Belgium.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",2120,2205,2195,2241,2311,2360,2407,2455,2590,2591,2715,2767,2768,2750,2869,2891,2946,3008,3086,3064,3132,3125,3215,3332,3368,3357,3534,3564,3687,3685,3738,3787,3899,3938,4136,4180,4309,4359,4386,4427,4487,4665,4700,4932,5046,5040,5151,5214,5276,5385,5489,5587,5676,5786,5950,5977,6055,6155,6281,6428,6535,6608,6657,6771,6979,6986,6944,6825,6215,5983,6192,5223,4152,4805,5485,5480,5816,5823,5803,5682,5667,5668,5746,5482,5446,5361,5124,5248,5227,5578,5644,5745,5640,6057,5408,5206,4811,4738,5025,5335,5673,5998,6324,6585,6975,7338,7388,7701,8027,8453,8690,8799,8844,9104,9113,9635,10445,10917,11672,12048,12548,13142,13747,14763,15724,16337,17359,18446,18728,18421,19691,19867,20396,21042,22057,20536,20060,19497,19417,18703,19640,20574,22312,23118,23658,24295,25562,25349,26373,27199,26748,28630,29919,31291,33427,33294,34649,34312,34665,35284,35065,35943,36634,37260,38592,38130,38907,39398,39182,39531,39733
Belize,https://dynamospanish.com/wp-content/uploads/flags/images/Belize/2/large/Belize.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,https://dynamospanish.com/wp-content/uploads/flags/images/Benin/2/large/Benin.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1230,1222,1213,1170,1194,1184,1173,1162,1193,1224,1281,1331,1294,1336,1425,1529,1563,1531,1617,1613,1752,1765,1817,1897,2003,1683,1769,1798,1710,1755,1842,2296,1630,1569,1623,1776,1529,1380,1388,1225,1240,1276,1268,1252,1082,1171,1201,1283,1302,1382,1489,1548,1662,1719,1783,1829,1821,1887,1897,1857,1864,1836,1906,1962,2092,2141,2166
