country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kyrgyzstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kyrgyzstan/2/large/Kyrgyzstan.png,Asia & the Pacific,3032000,2671000,2408000,2417000,2384000,2480000,2640000,2497000,2522000,2396000,2457000,2489000,2624000,2739000,2753000,2660000,2682000,2679000,2737000,2790000,2771000,2776000,2817000
Laos,https://dynamospanish.com/wp-content/uploads/flags/images/Laos/2/large/Laos.png,Asia & the Pacific,1990000,1959000,1957000,1984000,1976000,2029000,2036000,2050000,2039000,2116000,2092000,2137000,2180000,2209000,2269000,2243000,2278000,2246000,2312000,2340000,2402000,2379000,2451000
Latvia,https://dynamospanish.com/wp-content/uploads/flags/images/Latvia/2/large/Latvia.png,Europe,3032000,3263000,3266000,3174000,3073000,2999000,2919000,2847000,2839000,2785000,2897000,3005000,3047000,3077000,3141000,3213000,3161000,3157000,3174000,3136000,3148000,3108000,3174000
Lebanon,https://dynamospanish.com/wp-content/uploads/flags/images/Lebanon/2/large/Lebanon.png,Asia & the Pacific,3281000,3254000,3252000,3284000,3290000,3290000,3374000,3367000,3382000,3288000,3316000,3270000,3198000,3175000,3122000,3128000,3183000,3127000,3144000,3162000,3126000,3091000,3066000
Lesotho,https://dynamospanish.com/wp-content/uploads/flags/images/Lesotho/2/large/Lesotho.png,Africa,2384000,2382000,2377000,2405000,2296000,2360000,2398000,2427000,2456000,2462000,2485000,2516000,2518000,2541000,2567000,2595000,2560000,2558000,2569000,2572000,2550000,2547000,2529000
Liberia,https://dynamospanish.com/wp-content/uploads/flags/images/Liberia/2/large/Liberia.png,Africa,2351000,2293000,2121000,2068000,1988000,1989000,2170000,2144000,2093000,2122000,2038000,2066000,2051000,2092000,2160000,2116000,2145000,2227000,2231000,2198000,2254000,2200000,2204000
Libya,https://dynamospanish.com/wp-content/uploads/flags/images/Libya/2/large/Libya.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,https://dynamospanish.com/wp-content/uploads/flags/images/Liechtenstein/2/large/Liechtenstein.png,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,https://dynamospanish.com/wp-content/uploads/flags/images/Lithuania/2/large/Lithuania.png,Europe,3032000,2984000,2815000,2781000,2824000,3007000,3183000,3194000,3132000,3160000,3269000,3276000,3288000,3361000,3463000,3466000,3563000,3522000,3470000,3333000,3409000,3390000,3417000
Luxembourg,https://dynamospanish.com/wp-content/uploads/flags/images/Luxembourg/2/large/Luxembourg.png,Europe,0,0,0,0,0,0,0,0,0,3479000,3484000,3484000,3489000,3489000,3502000,3505000,3501000,3511000,3511000,3526000,3532000,3540000,3539000
Macao,https://dynamospanish.com/wp-content/uploads/flags/images/Macao/2/large/Macao.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,https://dynamospanish.com/wp-content/uploads/flags/images/Macedonia/2/large/Macedonia.png,Europe,0,2363000,2316000,2687000,2582000,2584000,2768000,2869000,2794000,2750000,2631000,2722000,2741000,2872000,2780000,2827000,3017000,2960000,2997000,2955000,2910000,2931000,2949000
Madagascar,https://dynamospanish.com/wp-content/uploads/flags/images/Madagascar/2/large/Madagascar.png,Africa,2097000,2099000,2096000,2033000,2027000,2019000,2020000,2013000,2006000,2006000,1993000,1947000,1977000,1980000,2060000,2083000,2096000,2061000,2065000,2068000,2085000,2058000,2052000
Malawi,https://dynamospanish.com/wp-content/uploads/flags/images/Malawi/2/large/Malawi.png,Africa,1913000,1800000,1879000,1901000,2004000,2017000,2057000,2116000,2179000,2204000,2235000,2173000,2168000,2166000,2191000,2269000,2293000,2318000,2311000,2329000,2348000,2333000,2367000
Malaysia,https://dynamospanish.com/wp-content/uploads/flags/images/Malaysia/2/large/Malaysia.png,Asia & the Pacific,2649000,2767000,2797000,2836000,2916000,2924000,2908000,2888000,2910000,2841000,2819000,2774000,2794000,2828000,2792000,2809000,2838000,2787000,2839000,2876000,2889000,2901000,2916000
Maldives,https://dynamospanish.com/wp-content/uploads/flags/images/Maldives/2/large/Maldives.png,Asia & the Pacific,2368000,2365000,2415000,2515000,2421000,2423000,2399000,2428000,2484000,2435000,2475000,2500000,2399000,2440000,2459000,2388000,2494000,2554000,2602000,2718000,2750000,2712000,2732000
Mali,https://dynamospanish.com/wp-content/uploads/flags/images/Mali/2/large/Mali.png,Africa,2372000,2355000,2346000,2331000,2340000,2373000,2360000,2427000,2451000,2451000,2502000,2498000,2521000,2540000,2583000,2654000,2722000,2777000,2831000,2813000,2832000,2860000,2890000
Malta,https://dynamospanish.com/wp-content/uploads/flags/images/Malta/2/large/Malta.png,Europe,3160000,3129000,3125000,3163000,3276000,3293000,3302000,3350000,3374000,3331000,3342000,3343000,3369000,3372000,3369000,3368000,3370000,3371000,3379000,3387000,3374000,3381000,3378000
Marshall Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Marshall_Islands/2/large/Marshall_Islands.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritania/2/large/Mauritania.png,Africa,2518000,2539000,2602000,2530000,2575000,2603000,2622000,2655000,2637000,2632000,2625000,2638000,2712000,2599000,2629000,2603000,2726000,2772000,2762000,2797000,2806000,2873000,2876000
Mauritius,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritius/2/large/Mauritius.png,Africa,2789000,2814000,2790000,2834000,2895000,2871000,2828000,2861000,2862000,2904000,2954000,2953000,2958000,3023000,3009000,3022000,3076000,3001000,3124000,3151000,3058000,3014000,3065000
Mexico,https://dynamospanish.com/wp-content/uploads/flags/images/Mexico/2/large/Mexico.png,Latin America & the Caribbean,2989000,3000000,3008000,3005000,2967000,2991000,2967000,2971000,2982000,3037000,3085000,3103000,3109000,3105000,3065000,3079000,3101000,3079000,3043000,3041000,3028000,3049000,3072000
Moldova,https://dynamospanish.com/wp-content/uploads/flags/images/Moldova/2/large/Moldova.png,Europe,3032000,2475000,2480000,2443000,2492000,2449000,2456000,2462000,2481000,2500000,2525000,2569000,2555000,2582000,2625000,2694000,2754000,2788000,2695000,2680000,2700000,2713000,2714000
Monaco,https://dynamospanish.com/wp-content/uploads/flags/images/Monaco/2/large/Monaco.png,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,https://dynamospanish.com/wp-content/uploads/flags/images/Mongolia/2/large/Mongolia.png,Asia & the Pacific,2188000,1851000,1852000,1852000,2033000,2039000,2032000,2099000,2135000,2177000,2218000,2228000,2221000,2230000,2253000,2288000,2342000,2375000,2451000,2431000,2454000,2487000,2510000
Montenegro,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276000,3411000,3482000,3487000,3463000,3481000,3374000,3491000
Morocco,https://dynamospanish.com/wp-content/uploads/flags/images/Morocco/2/large/Morocco.png,Africa,3072000,2902000,2878000,3000000,2952000,3089000,3097000,3152000,3077000,3063000,3117000,3154000,3203000,3263000,3206000,3271000,3251000,3271000,3293000,3294000,3349000,3366000,3403000
Mozambique,https://dynamospanish.com/wp-content/uploads/flags/images/Mozambique/2/large/Mozambique.png,Africa,1712000,1693000,1696000,1684000,1848000,1940000,1972000,1987000,2000000,1990000,1984000,2041000,2092000,2059000,2038000,2111000,2083000,2164000,2165000,2242000,2259000,2298000,2283000
Myanmar,https://dynamospanish.com/wp-content/uploads/flags/images/Myanmar/2/large/Myanmar.png,Asia & the Pacific,1692000,1693000,1737000,1715000,1770000,1788000,1840000,1837000,1836000,1910000,1957000,2002000,2057000,2093000,2137000,2207000,2282000,2372000,2405000,2500000,2531000,2565000,2571000
Namibia,https://dynamospanish.com/wp-content/uploads/flags/images/Namibia/2/large/Namibia.png,Africa,2068000,2034000,2001000,1997000,2033000,2037000,2082000,2065000,2165000,2246000,2273000,2215000,2247000,2268000,2243000,2230000,2218000,2120000,2062000,2055000,2090000,2145000,2171000
Nauru,https://dynamospanish.com/wp-content/uploads/flags/images/Nauru/2/large/Nauru.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,https://dynamospanish.com/wp-content/uploads/flags/images/Nepal/2/large/Nepal.png,Asia & the Pacific,2220000,2228000,2185000,2253000,2240000,2216000,2273000,2244000,2307000,2257000,2276000,2279000,2339000,2374000,2406000,2378000,2429000,2490000,2533000,2560000,2614000,2655000,2673000
Netherlands,https://dynamospanish.com/wp-content/uploads/flags/images/Netherlands/2/large/Netherlands.png,Europe,3344000,3315000,3323000,3236000,3364000,3374000,3271000,3361000,3283000,3265000,3254000,3249000,3141000,3197000,3231000,3213000,3237000,3228000,3213000,3208000,3212000,3225000,3228000
New Zealand,https://dynamospanish.com/wp-content/uploads/flags/images/New_Zealand/2/large/New_Zealand.png,Oceania,3196000,3188000,3229000,3168000,3208000,3199000,3223000,3209000,3187000,3173000,3117000,3121000,3120000,3157000,3183000,3151000,3184000,3205000,3144000,3139000,3137000,3127000,3137000
Nicaragua,https://dynamospanish.com/wp-content/uploads/flags/images/Nicaragua/2/large/Nicaragua.png,Latin America & the Caribbean,1801000,1785000,1849000,1927000,1965000,1976000,1956000,2068000,2079000,2133000,2301000,2291000,2319000,2360000,2400000,2412000,2471000,2467000,2473000,2513000,2543000,2560000,2638000
Niger,https://dynamospanish.com/wp-content/uploads/flags/images/Niger/2/large/Niger.png,Africa,2090000,2066000,2037000,1990000,2059000,2099000,2173000,2186000,2217000,2328000,2341000,2309000,2401000,2453000,2444000,2442000,2461000,2520000,2523000,2533000,2534000,2567000,2547000
Nigeria,https://dynamospanish.com/wp-content/uploads/flags/images/Nigeria/2/large/Nigeria.png,Africa,2339000,2434000,2524000,2500000,2561000,2556000,2599000,2631000,2633000,2610000,2613000,2605000,2608000,2655000,2705000,2725000,2720000,2723000,2683000,2706000,2706000,2665000,2700000
North Korea,https://dynamospanish.com/wp-content/uploads/flags/images/North_Korea/2/large/North_Korea.png,Asia & the Pacific,2368000,2222000,2276000,2246000,2103000,2080000,2133000,2121000,2112000,2147000,2096000,2182000,2189000,2206000,2180000,2141000,2109000,2095000,2088000,2089000,2100000,2105000,2094000
Norway,https://dynamospanish.com/wp-content/uploads/flags/images/Norway/2/large/Norway.png,Europe,3222000,3219000,3222000,3277000,3224000,3311000,3329000,3402000,3418000,3378000,3418000,3459000,3437000,3477000,3520000,3446000,3464000,3478000,3471000,3486000,3488000,3499000,3485000
Oman,https://dynamospanish.com/wp-content/uploads/flags/images/Oman/2/large/Oman.png,Asia & the Pacific,2333000,2410000,2319000,2397000,2362000,2399000,2358000,2544000,2627000,2591000,2684000,2626000,2631000,2664000,2718000,2768000,2833000,2944000,3026000,3058000,3077000,3115000,3143000
Pakistan,https://dynamospanish.com/wp-content/uploads/flags/images/Pakistan/2/large/Pakistan.png,Asia & the Pacific,2224000,2325000,2349000,2398000,2389000,2406000,2402000,2371000,2422000,2398000,2312000,2255000,2312000,2340000,2359000,2381000,2420000,2422000,2429000,2432000,2426000,2434000,2440000
Palau,https://dynamospanish.com/wp-content/uploads/flags/images/Palau/2/large/Palau.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,http://www.think-israel.org/jan12pix/palestine.flag.jpg,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,https://dynamospanish.com/wp-content/uploads/flags/images/Panama/2/large/Panama.png,Latin America & the Caribbean,2201000,2303000,2340000,2344000,2226000,2252000,2176000,2389000,2209000,2132000,2266000,2346000,2365000,2250000,2334000,2347000,2465000,2523000,2520000,2579000,2646000,2703000,2733000
Papua New Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Papua_New_Guinea/2/large/Papua_New_Guinea.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,https://dynamospanish.com/wp-content/uploads/flags/images/Paraguay/2/large/Paraguay.png,Latin America & the Caribbean,2390000,2383000,2444000,2548000,2537000,2549000,2602000,2596000,2640000,2588000,2640000,2679000,2732000,2660000,2595000,2621000,2572000,2535000,2528000,2575000,2614000,2591000,2589000
Peru,https://dynamospanish.com/wp-content/uploads/flags/images/Peru/2/large/Peru.png,Latin America & the Caribbean,2180000,2138000,2160000,2206000,2202000,2274000,2321000,2258000,2273000,2366000,2322000,2337000,2278000,2296000,2408000,2433000,2461000,2525000,2562000,2617000,2632000,2682000,2700000
Philippines,https://dynamospanish.com/wp-content/uploads/flags/images/Philippines/2/large/Philippines.png,Asia & the Pacific,2214000,2246000,2207000,2313000,2289000,2364000,2343000,2292000,2359000,2392000,2373000,2393000,2391000,2461000,2472000,2514000,2570000,2583000,2595000,2582000,2572000,2584000,2570000
Poland,https://dynamospanish.com/wp-content/uploads/flags/images/Poland/2/large/Poland.png,Europe,3288000,3361000,3425000,3300000,3320000,3340000,3316000,3378000,3384000,3419000,3421000,3429000,3421000,3380000,3370000,3353000,3364000,3346000,3418000,3413000,3443000,3443000,3451000
Portugal,https://dynamospanish.com/wp-content/uploads/flags/images/Portugal/2/large/Portugal.png,Europe,3429000,3405000,3460000,3489000,3456000,3507000,3388000,3508000,3561000,3544000,3538000,3534000,3523000,3535000,3531000,3521000,3530000,3538000,3507000,3498000,3477000,3473000,3477000
Puerto Rico,https://dynamospanish.com/wp-content/uploads/flags/images/Puerto_Rico/2/large/Puerto_Rico.png,Latin America & the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,https://dynamospanish.com/wp-content/uploads/flags/images/Qatar/2/large/Qatar.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,https://dynamospanish.com/wp-content/uploads/flags/images/Romania/2/large/Romania.png,Europe,2922000,2835000,3000000,2931000,3027000,3056000,3046000,3068000,3081000,3141000,3239000,3319000,3365000,3354000,3396000,3430000,3375000,3402000,3379000,3325000,3339000,3341000,3358000
Russia,https://dynamospanish.com/wp-content/uploads/flags/images/Russian_Federation/2/large/Russian_Federation.png,Europe,3032000,2925000,2972000,2918000,2893000,2787000,2856000,2863000,2889000,2877000,2954000,3025000,3064000,3113000,3204000,3247000,3309000,3312000,3273000,3302000,3331000,3366000,3361000
Rwanda,https://dynamospanish.com/wp-content/uploads/flags/images/Rwanda/2/large/Rwanda.png,Africa,1951000,1891000,1938000,1862000,1814000,1771000,1723000,1739000,1739000,1857000,1912000,2094000,2004000,1969000,2037000,2044000,2053000,2101000,2196000,2198000,2213000,2270000,2228000
St. Kitts & Nevis,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Kitts_and_Nevis/2/large/Saint_Kitts_and_Nevis.png,Latin America & the Caribbean,2518000,2506000,2408000,2432000,2493000,2514000,2415000,2399000,2384000,2514000,2539000,2514000,2463000,2466000,2406000,2427000,2454000,2513000,2492000,2487000,2470000,2477000,2492000
St. Lucia,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Lucia/2/large/Saint_Lucia.png,Latin America & the Caribbean,2568000,2687000,2682000,2727000,2669000,2672000,2735000,2684000,2708000,2709000,2610000,2677000,2640000,2649000,2653000,2631000,2589000,2555000,2581000,2596000,2583000,2579000,2595000
St. Vincent & the Grenadines,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Vicent_and_the_Grenadines/2/large/Saint_Vicent_and_the_Grenadines.png,Latin America & the Caribbean,2367000,2354000,2457000,2329000,2327000,2329000,2314000,2375000,2468000,2498000,2474000,2658000,2685000,2712000,2781000,2800000,2832000,2868000,2873000,2907000,2941000,2929000,2968000
Samoa,https://dynamospanish.com/wp-content/uploads/flags/images/Samoa/2/large/Samoa.png,Asia & the Pacific,2571000,2442000,2344000,2397000,2465000,2503000,2553000,2614000,2708000,2772000,2821000,2817000,2830000,2882000,2894000,2860000,2851000,2914000,2881000,2911000,2883000,2962000,2960000
San Marino,https://dynamospanish.com/wp-content/uploads/flags/images/San_Marino/2/large/San_Marino.png,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,https://dynamospanish.com/wp-content/uploads/flags/images/Sao_Tome_and_Principe/2/large/Sao_Tome_and_Principe.png,Africa,2228000,2185000,2193000,2229000,2109000,2167000,2187000,2220000,2238000,2379000,2404000,2460000,2506000,2513000,2546000,2554000,2511000,2466000,2435000,2368000,2331000,2338000,2400000
Saudi Arabia,https://dynamospanish.com/wp-content/uploads/flags/images/Saudi_Arabia/2/large/Saudi_Arabia.png,Asia & the Pacific,2865000,2780000,2742000,2703000,2849000,2913000,2976000,3011000,3072000,3111000,3080000,3021000,3003000,2959000,2991000,3045000,3046000,3014000,3007000,3124000,3103000,3269000,3255000
Senegal,https://dynamospanish.com/wp-content/uploads/flags/images/Senegal/2/large/Senegal.png,Africa,2240000,2108000,2227000,2149000,2167000,2107000,2114000,2107000,2154000,2164000,2174000,2144000,2223000,2248000,2237000,2310000,2342000,2439000,2446000,2435000,2428000,2443000,2456000
Serbia,https://cdn11.bigcommerce.com/s-qf9b/images/stencil/500x659/products/1641/3280/serbiaPS__19306.1514879366.jpg,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750000,2714000,2722000,2760000,2725000,2733000,2717000,2728000
Seychelles,https://dynamospanish.com/wp-content/uploads/flags/images/Seychelles/2/large/Seychelles.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,https://dynamospanish.com/wp-content/uploads/flags/images/Sierra_Leone/2/large/Sierra_Leone.png,Africa,1991000,2018000,2038000,2116000,2136000,2177000,2203000,2153000,2069000,1990000,1995000,2045000,2032000,2024000,2082000,2155000,2194000,2197000,2251000,2275000,2335000,2374000,2404000
Singapore,https://dynamospanish.com/wp-content/uploads/flags/images/Singapore/2/large/Singapore.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovakia/2/large/Slovakia.png,Europe,0,0,2790000,2979000,2835000,2906000,2904000,2939000,2883000,2778000,2785000,2800000,2790000,2817000,2841000,2833000,2794000,2864000,2899000,2950000,2941000,2901000,2944000
Slovenia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovenia/2/large/Slovenia.png,Europe,0,2591000,2781000,2840000,2907000,3048000,2927000,2845000,3062000,3056000,3055000,3081000,3113000,3158000,3071000,3120000,3143000,3156000,3179000,3176000,3165000,3160000,3168000
Solomon Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Soloman_Islands/2/large/Soloman_Islands.png,Asia & the Pacific,2175000,2177000,2161000,2288000,2381000,2307000,2406000,2388000,2311000,2353000,2315000,2392000,2409000,2402000,2427000,2458000,2420000,2480000,2453000,2482000,2491000,2421000,2391000
Somalia,https://dynamospanish.com/wp-content/uploads/flags/images/Somalia/2/large/Somalia.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,https://dynamospanish.com/wp-content/uploads/flags/images/South_Africa/2/large/South_Africa.png,Africa,2816000,2796000,2838000,2826000,2810000,2796000,2815000,2847000,2835000,2886000,2909000,2906000,2929000,2940000,2952000,2927000,2920000,2924000,2936000,2992000,3002000,3014000,3022000
South Korea,https://dynamospanish.com/wp-content/uploads/flags/images/South_Korea/2/large/South_Korea.png,Asia & the Pacific,2950000,3001000,2956000,2980000,3022000,3060000,3074000,2981000,3096000,3094000,3081000,3081000,3059000,3098000,3102000,3113000,3139000,3187000,3203000,3281000,3354000,3325000,3334000
South Sudan,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,https://dynamospanish.com/wp-content/uploads/flags/images/Spain/2/large/Spain.png,Europe,3410000,3405000,3308000,3304000,3217000,3357000,3302000,3337000,3331000,3360000,3332000,3359000,3297000,3246000,3220000,3227000,3223000,3208000,3205000,3183000,3192000,3173000,3174000
Sri Lanka,https://dynamospanish.com/wp-content/uploads/flags/images/Sri_Lanka/2/large/Sri_Lanka.png,Asia & the Pacific,2187000,2153000,2095000,2290000,2221000,2240000,2270000,2297000,2384000,2315000,2356000,2331000,2330000,2348000,2350000,2376000,2383000,2443000,2448000,2465000,2491000,2512000,2539000
Sudan,https://dynamospanish.com/wp-content/uploads/flags/images/Sudan/2/large/Sudan.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301000,2336000
Suriname,https://dynamospanish.com/wp-content/uploads/flags/images/Suriname/2/large/Suriname.png,Latin America & the Caribbean,2547000,2507000,2542000,2513000,2548000,2585000,2544000,2562000,2491000,2545000,2506000,2557000,2559000,2557000,2614000,2632000,2670000,2645000,2736000,2795000,2712000,2726000,2753000
Swaziland,https://dynamospanish.com/wp-content/uploads/flags/images/Swaziland/2/large/Swaziland.png,Africa,2285000,2322000,2282000,2303000,2213000,2217000,2156000,2176000,2265000,2351000,2314000,2388000,2436000,2469000,2372000,2325000,2310000,2257000,2249000,2284000,2283000,2293000,2329000
Sweden,https://dynamospanish.com/wp-content/uploads/flags/images/Sweden/2/large/Sweden.png,Europe,2942000,3053000,3137000,3087000,3088000,3039000,3087000,3063000,3115000,3099000,3124000,3133000,3124000,3147000,3122000,3091000,3089000,3128000,3126000,3151000,3157000,3170000,3179000
Switzerland,https://dynamospanish.com/wp-content/uploads/flags/images/Switzerland/2/large/Switzerland.png,Europe,3350000,3420000,3358000,3332000,3311000,3340000,3318000,3327000,3324000,3440000,3380000,3436000,3432000,3412000,3386000,3432000,3428000,3445000,3465000,3448000,3491000,3382000,3391000
Syria,https://dynamospanish.com/wp-content/uploads/flags/images/Syria/2/large/Syria.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,https://dynamospanish.com/wp-content/uploads/flags/images/Taiwan/2/large/Taiwan.png,Asia & the Pacific,2987000,2974000,3058000,3064000,3077000,3105000,3111000,3065000,3104000,3119000,3011000,3002000,2991000,2986000,2985000,2948000,2964000,2925000,2938000,2962000,2956000,2955000,2997000
Tajikistan,https://dynamospanish.com/wp-content/uploads/flags/images/Tajikistan/2/large/Tajikistan.png,Asia & the Pacific,3032000,2045000,2067000,2030000,1974000,1934000,1914000,1935000,1937000,1959000,1962000,1942000,1956000,1979000,2057000,2063000,2064000,2082000,2097000,2105000,2049000,2159000,2201000
Tanzania,https://dynamospanish.com/wp-content/uploads/flags/images/Tanzania/2/large/Tanzania.png,Africa,2231000,2145000,2100000,2084000,2030000,2040000,2004000,2077000,2060000,2005000,2031000,2109000,1983000,2098000,2134000,2141000,2215000,2132000,2133000,2097000,2200000,2192000,2208000
Thailand,https://dynamospanish.com/wp-content/uploads/flags/images/Thailand/2/large/Thailand.png,Asia & the Pacific,2260000,2271000,2265000,2363000,2415000,2558000,2539000,2600000,2558000,2604000,2578000,2630000,2642000,2651000,2720000,2796000,2766000,2757000,2734000,2756000,2760000,2784000,2784000
Timor,https://dynamospanish.com/wp-content/uploads/flags/images/Timor-Leste/2/large/Timor-Leste.png,Asia & the Pacific,1933000,1986000,2032000,2006000,2033000,1888000,1923000,1798000,1829000,1872000,1940000,2063000,2058000,2040000,2031000,2038000,2046000,2061000,2040000,2082000,2105000,2150000,2131000
Togo,https://dynamospanish.com/wp-content/uploads/flags/images/Togo/2/large/Togo.png,Africa,1930000,1896000,1959000,2042000,2046000,2112000,2154000,2123000,2149000,2171000,2155000,2157000,2199000,2246000,2238000,2283000,2295000,2316000,2340000,2370000,2383000,2414000,2454000
Tonga,https://dynamospanish.com/wp-content/uploads/flags/images/Tonga/2/large/Tonga.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,https://dynamospanish.com/wp-content/uploads/flags/images/Trinidad_and_Tobago/2/large/Trinidad_and_Tobago.png,Latin America & the Caribbean,2668000,2568000,2546000,2550000,2596000,2640000,2616000,2664000,2674000,2777000,2832000,2790000,2749000,2776000,2756000,2801000,2845000,2828000,2841000,2841000,2906000,2989000,3052000
Tunisia,https://dynamospanish.com/wp-content/uploads/flags/images/Tunisia/2/large/Tunisia.png,Africa,3111000,3144000,3165000,3113000,3125000,3199000,3246000,3303000,3374000,3251000,3257000,3191000,3240000,3248000,3220000,3273000,3252000,3302000,3335000,3326000,3360000,3390000,3349000
Turkey,https://dynamospanish.com/wp-content/uploads/flags/images/Turkey/2/large/Turkey.png,Asia & the Pacific,3724000,3710000,3729000,3728000,3715000,3686000,3604000,3658000,3618000,3662000,3621000,3607000,3588000,3609000,3611000,3647000,3630000,3595000,3621000,3650000,3674000,3690000,3706000
Turkmenistan,https://dynamospanish.com/wp-content/uploads/flags/images/Turkmenistan/2/large/Turkmenistan.png,Asia & the Pacific,3032000,2561000,2578000,2546000,2539000,2509000,2540000,2560000,2603000,2613000,2623000,2682000,2742000,2814000,2831000,2835000,2901000,2872000,2874000,2866000,2851000,2842000,2840000
Tuvalu,https://dynamospanish.com/wp-content/uploads/flags/images/Tuvalu/2/large/Tuvalu.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,https://dynamospanish.com/wp-content/uploads/flags/images/Uganda/2/large/Uganda.png,Africa,2272000,2220000,2243000,2229000,2236000,2130000,2155000,2266000,2249000,2267000,2280000,2330000,2382000,2351000,2327000,2276000,2212000,2177000,2194000,2200000,2178000,2160000,2130000
Ukraine,https://dynamospanish.com/wp-content/uploads/flags/images/Ukraine/2/large/Ukraine.png,Europe,3032000,3367000,3242000,2980000,2881000,2803000,2854000,2829000,2782000,2896000,2986000,3048000,3052000,3194000,3210000,3244000,3253000,3297000,3174000,3140000,3177000,3161000,3138000
United Arab Emirates,https://dynamospanish.com/wp-content/uploads/flags/images/UAE/2/large/UAE.png,Asia & the Pacific,3073000,3197000,3232000,3316000,3261000,3254000,3259000,3310000,3375000,3295000,3320000,3355000,3338000,3285000,3205000,3202000,3186000,3149000,3170000,3161000,3210000,3230000,3280000
United Kingdom,https://dynamospanish.com/wp-content/uploads/flags/images/United_Kingdom/2/large/United_Kingdom.png,Europe,3208000,3271000,3218000,3235000,3185000,3268000,3328000,3352000,3400000,3362000,3400000,3416000,3400000,3445000,3438000,3438000,3417000,3422000,3412000,3404000,3417000,3403000,3424000
United States,https://dynamospanish.com/wp-content/uploads/flags/images/United_States_of_America/2/large/United_States_of_America.png,North America,3522000,3559000,3605000,3665000,3580000,3587000,3648000,3658000,3673000,3755000,3707000,3783000,3777000,3809000,3828000,3783000,3757000,3700000,3645000,3650000,3649000,3687000,3682000
Uruguay,https://dynamospanish.com/wp-content/uploads/flags/images/Uruguay/2/large/Uruguay.png,Latin America & the Caribbean,2699000,2762000,2746000,2783000,2678000,2819000,2810000,2821000,2825000,2811000,2869000,2838000,2835000,2831000,2809000,2823000,2890000,2958000,2977000,2984000,3012000,3016000,3050000
