country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Benin,https://dynamospanish.com/wp-content/uploads/flags/images/Benin/2/large/Benin.png,Africa,2198000,2142000,2155000,2179000,2203000,2251000,2243000,2236000,2234000,2245000,2315000,2401000,2360000,2461000,2435000,2450000,2564000,2521000,2565000,2555000,2598000,2610000,2619000
Bermuda,https://dynamospanish.com/wp-content/uploads/flags/images/Bermuda/2/large/Bermuda.png,North America,2792000,3022000,2982000,2817000,2921000,2868000,2792000,2772000,2643000,2651000,2612000,2583000,2490000,2455000,2521000,2590000,2626000,2701000,2716000,2677000,2649000,2649000,2671000
Bhutan,https://dynamospanish.com/wp-content/uploads/flags/images/Bhutan/2/large/Bhutan.png,Asia & the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,https://dynamospanish.com/wp-content/uploads/flags/images/Bolivia/2/large/Bolivia.png,Latin America & the Caribbean,2020000,2022000,2007000,1959000,2106000,2047000,2055000,1951000,2037000,2076000,2083000,2102000,2117000,2051000,2106000,2159000,2165000,2146000,2133000,2177000,2222000,2234000,2256000
Bosnia & Herzegovina,https://dynamospanish.com/wp-content/uploads/flags/images/Bosnia/2/large/Bosnia.png,Europe,0,2349000,2454000,2644000,2636000,2877000,3090000,3023000,2936000,2803000,2903000,2901000,2834000,3091000,3038000,3016000,3064000,3107000,3079000,3099000,3134000,3050000,3154000
Botswana,https://dynamospanish.com/wp-content/uploads/flags/images/Botswana/2/large/Botswana.png,Africa,2224000,2203000,2069000,2186000,2188000,2214000,2165000,2081000,2117000,2080000,2154000,2111000,2113000,2191000,2198000,2150000,2166000,2184000,2199000,2234000,2273000,2342000,2326000
Brazil,https://dynamospanish.com/wp-content/uploads/flags/images/Brazil/2/large/Brazil.png,Latin America & the Caribbean,2777000,2771000,2774000,2818000,2812000,2840000,2854000,2853000,2865000,2880000,2892000,2927000,3067000,3082000,3078000,3096000,3106000,3178000,3166000,3230000,3286000,3248000,3263000
Brunei,https://dynamospanish.com/wp-content/uploads/flags/images/Brunei/2/large/Brunei.png,Asia & the Pacific,2704000,2831000,2801000,2889000,2836000,2912000,2824000,2852000,2809000,2797000,2875000,2927000,2976000,2996000,2976000,2971000,2915000,2908000,2892000,2894000,2941000,2970000,2985000
Bulgaria,https://dynamospanish.com/wp-content/uploads/flags/images/Bulgaria/2/large/Bulgaria.png,Europe,3041000,3022000,2958000,2873000,2896000,2741000,2676000,2818000,2879000,2813000,2816000,2779000,2757000,2764000,2723000,2759000,2734000,2782000,2785000,2762000,2769000,2777000,2829000
Burkina Faso,https://dynamospanish.com/wp-content/uploads/flags/images/Burkina_Faso/2/large/Burkina_Faso.png,Africa,2233000,2292000,2313000,2344000,2337000,2338000,2311000,2285000,2343000,2318000,2332000,2411000,2492000,2505000,2463000,2559000,2546000,2588000,2639000,2681000,2664000,2707000,2720000
Burundi,https://dynamospanish.com/wp-content/uploads/flags/images/Burundi/2/large/Burundi.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,https://dynamospanish.com/wp-content/uploads/flags/images/Cambodia/2/large/Cambodia.png,Asia & the Pacific,2009000,2037000,2026000,2038000,2038000,1901000,1895000,1977000,2052000,2115000,2172000,2264000,2261000,2275000,2327000,2377000,2388000,2403000,2417000,2417000,2426000,2432000,2477000
Cameroon,https://dynamospanish.com/wp-content/uploads/flags/images/Cameroon/2/large/Cameroon.png,Africa,2015000,2113000,2021000,2032000,2048000,2033000,2097000,2100000,2120000,2116000,2162000,2204000,2233000,2246000,2311000,2354000,2378000,2446000,2492000,2510000,2573000,2622000,2671000
