country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.459016393442623,1.8181818181818181,2.197802197802198,1.9138755980861244,1.465201465201465,1.6778523489932886,1.392757660167131,1.25,1.1286681715575622,0.9596928982725527
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4524886877828055,0.42194092827004215,0.390625,0.37174721189591076,0.3508771929824561,0.32679738562091504,0.5988023952095809,0.5899705014749262,0.7692307692307693,0.7159904534606205,0.8733624454148471,0.8583690987124464,0.8456659619450317,0.8,0.7766990291262136,0.7054673721340388,0.7029876977152899,0.6220839813374806,0.6220839813374806,0.5813953488372093
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,1.574803149606299,1.1396011396011396,1.2690355329949239
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.9554140127388535,0.7518796992481203,0.5366726296958855,0.5805515239477503,0.4514672686230248,0.4608294930875576,0.4022526146419952,0.9421265141318977,1.16991643454039,1.639344262295082,2.380106571936057,2.2052337547780065,2.351055303232701,2.8578121339892246,3.6054283978124366,3.5284683239775463,3.9676002196595275,3.8646814101160496,3.9774824658545587,4.311286662744768,5.518590998043052,5.929533085075909,6.587177482408131,6.815742397137746,6.9610981498562206
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5.607476635514018,6.086956521739131,6.504065040650407,6.8181818181818175,7.194244604316546,6.369426751592357
Bosnia & Herzegovina,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.8,0.7751937984496124,1.2345679012345678,1.6574585635359116,1.6574585635359116,1.3100436681222707,1.9455252918287937,1.8575851393188854,2.26628895184136,2.9055690072639226,2.8017241379310347,3.195488721804511,3.0716723549488054,3.322784810126582
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.3436426116838488,0.9345794392523363,0.966183574879227,1.2168141592920354,1.5957446808510638,1.6170763260025873,1.7979904812268643,2.0899591094956835,2.342786683107275,2.6415094339622645,2.692420251682763,2.920081967213115,3.195488721804511,3.4723738807599913,3.5158299807591393,3.5254534815681686,3.7800252844500637,3.964222614840989,4.203152364273205
