country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","",4317,4422,4416,4408,4429,4189,4228,4281,4241,4231,4110,4136,4134,4116,4193,4112,4048,4031,3930,3880,3809,3769,3725,3678,3637,4104,4131,3956,4007,3358,3465,3605,3689,3737,3641,4173,4410,4382,4471,4618,4614,4648,4724,4847,""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1211,"","","","","","","","","","","","","",3269,3613,3650,4130,"","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","",2580,2792,2892,3031,3437,3684,3854,4086,4402,5086,5224,5377,4994,4877,4718,4371,3970,4068,4249,4428,4475,4648,4872,5258,5785,6099,6522,6465,6231,6840,5224,6149,6279,6176,6620,8144,6524,6824,6993,7495,7790,8815,8725,9173,""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18285,16804,12205,10544,4226,4520,5369,8350,10384,10252,13419,12952,13571,13537,14791,15500,16309,16345,18421,19300,20251,22528,21307,20821,25516,""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",8453,8550,8339,8231,8418,8937,8624,9857,10236,10282,10185,11422,11159,10723,10727,10237,10521,11649,11816,12080,12037,12055,11854,11498,11696,11905,12110,12605,11558,12432,11731,13063,13560,14568,""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,"","","","","","","","","","","",8304,8686,9293,9656,9844,10089,10181,10580,10986,10928,10241,10173,10191,10608,11088,11370,11579,11513,11530,10917,10932,10861,10951,11342,11543,11964,12374,12476,12567,12436,12478,12637,12681,13222,13397,13710,14335,14980,14348,15712,15806,16337,16877,17269,""
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","",15188,14362,26965,44525,53258,67487,70228,63289,63595,80932,75535,78827,80900,90617,92322,78813,78594,63507,71673,77607,85288,89133,83431,75333,87931,86335,87069,84750,84541,83218,75491,72334,82437,74294,70638,98993,100123,108638,92210,96961,114315,111428,87204,100393,""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","",25919,26316,27659,28647,30999,32335,34358,35872,37221,37257,37047,38486,39194,39393,39771,40134,39670,40568,39855,37650,29501,27865,30121,29305,31943,31932,29122,28213,25942,26485,28157,28039,28963,28385,30213,31301,31006,30806,27349,28106,30437,29230,27087,28815,""
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3096,3142,3104,3441,3363,3265,3216,3676,3723,3017,3011,2959,2957,2923,4193,4307,4434,4545,4617,4849,""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","",4679,4660,4637,4637,4734,4671,4858,4875,4912,4932,5024,5096,5117,5122,5158,5074,5010,5012,5041,4944,4849,4764,4794,4828,4784,4777,4791,4807,4725,4804,4737,4725,4789,4809,4709,4368,4008,3933,4137,4057,3805,3819,3907,3975,""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,49444,50099,51771,54592,57028,59940,61321,64631,68285,70839,75320,75947,80637,82844,82579,83155,84579,86172,87676,91153,90763,87584,83146,82010,85381,86519,87133,88868,91353,92267,88419,87009,87947,89905,92189,92642,93466,93440,92156,93987,95860,93511,92963,96911,98170,97741,95832,95524,95310,90681,90579,92002,89845,89881,91598,88431
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",988,"","","","","","","","","","","","","",2213,2426,2467,2462,"","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","",10387,10359,9791,9559,8505,8865,9047,9229,9614,9784,9789,8840,8999,9319,9149,9402,9543,10621,11707,12303,12379,13178,13299,14087,14920,16297,18004,18401,19305,19177,18597,19032,19015,20030,20429,21039,21594,21169,20401,21111,22787,24998,25769,23837,23595
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,"","","","","","","","","","","",5407,5549,5625,5654,6134,6247,6712,7177,7199,7087,6944,7057,7232,7572,7649,7806,8076,8377,8421,8920,8569,8753,9165,9491,10081,10253,10138,10110,10217,10455,10802,11453,13007,14748,16208,17621,18958,19455,20683,22733,24265,25064,25746,26013,""
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","",7124,6966,6850,7095,7251,7371,7420,7223,6894,7423,7350,7390,7462,7544,7496,7992,8095,8175,8082,8219,8155,8191,8418,8566,8572,8641,8255,8515,7503,7430,7294,7050,7100,7077,7276,7552,7414,7671,7862,7902,7832,7825,8267,8275,""
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",504,"","","","","","","","","","","","","",662,703,779,743,"","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","",4204,4223,4140,4093,4045,4301,3974,4010,3893,3917,3921,4037,4392,4129,4178,3998,3953,3744,3782,3751,3812,3664,3588,3010,3342,3062,2848,2770,2650,2559,2791,2736,3140,3240,3399,4293,3685,3810,4209,4445,5754,6423,6425,6274,""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","",4950,5154,5471,5222,5517,5424,6154,6487,6527,6117,5592,5307,5082,5369,5383,5501,5716,5712,6203,6301,6518,8204,8162,7843,7809,7655,7571,7359,7943,8513,8411,8704,9200,10741,10583,11289,11999,12040,11818,11887,11767,11825,11967,11992,""
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","",5210,5280,5204,5181,5209,5360,5219,5333,5158,5011,4777,4554,4260,4166,4206,4492,4426,4345,4340,4119,4090,4307,4310,4272,4122,4489,4447,4313,5012,4732,4456,4674,4340,6008,6100,5882,6203,6103,5470,5793,6484,6859,7163,7161,""
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",23028,21068,19460,19375,18954,19473,20883,21709,22781,22246,22035,22801,23457,25165,25159,25520,25389,26424,25770,24950,24712,24893,23501,23072,22071,""
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","",13751,13012,13670,14262,14451,15005,16164,16991,17304,17313,17326,17487,18352,17865,17640,17432,17993,18699,20310,19132,15710,13675,11357,11644,11582,12583,12866,12006,12440,13284,12938,12022,11933,11641,10996,10967,10433,11072,11727,12666,11886,12253,11752,11893,""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","",10999,13824,14318,10754,10108,11611,12494,13066,14051,14671,14329,14512,15008,15435,15197,16984,19021,19098,19490,20709,20688,22780,23916,26729,23043,25092,24096,25292,24950,26346,25605,25512,27293,25139,25116,25678,26658,27779,26746,25531,24484,22815,19628,19912,""
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","","",53712,53658,52931,48784,50508,51619,54852,51518,54696,53001,53125,53888,54039,55137,55408,56288,57897,56710,55114,55788,50581,49106,47559,46093,46750,48298,48670,47187,43995,46380,47812,48420,50678,51872,51182,52236,51974,50366,46924,49286,47419,47149,46403,45532,44891
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","",3777,3772,3802,3802,3793,3745,3752,3748,3804,3735,3819,3731,3878,3975,3873,3847,3896,3926,3904,3964,3825,3745,3674,3555,3588,3608,3583,3588,3520,3435,3454,3470,3491,3518,3539,3557,3568,3580,3567,3577,3674,4409,4482,4530,""
